condition,eeg_snr_db,meg_snr_db,n,auc_macro_scenario,rmse_macro_scenario,surface_sd_mm_macro_scenario,surface_dle_mm_macro_scenario,surface_sd_mm_penalized_macro_scenario,surface_dle_mm_penalized_macro_scenario,deep_sd_mm_conditional_macro_scenario,deep_dle_mm_conditional_macro_scenario,deep_sd_mm_penalized_macro_scenario,deep_dle_mm_penalized_macro_scenario,deep_sensitivity_macro_scenario,deep_specificity,deep_balanced_accuracy
EEG -10 dB / MEG -10 dB,-10,-10,185,0.8630622624513004,0.8013132990164836,4.03237356187463,9.149463526656497,4.03237356187463,9.149463526656497,11.651190170188753,11.186402662275704,11.651190170188753,11.186402662275704,0.4411764705882353,1.0,0.7205882352941176
EEG -10 dB / MEG -5 dB,-10,-5,185,0.8527933868728831,0.7910957757183376,4.429651470827014,9.07938480771179,4.429651470827014,9.07938480771179,10.192110606356442,9.729702335772604,10.192110606356442,9.729702335772604,0.5147058823529412,1.0,0.7573529411764706
EEG -10 dB / MEG +0 dB,-10,0,185,0.8606009291358647,0.7947361220009004,4.655615627072748,9.675115931486692,4.655615627072748,9.675115931486692,7.787809068224738,7.474540232647603,7.787809068224738,7.474540232647603,0.6274509803921569,1.0,0.8137254901960784
EEG -10 dB / MEG +5 dB,-10,5,185,0.8665970636843603,0.8215148110632029,4.5821912259854125,10.368151685581905,4.5821912259854125,10.368151685581905,7.169899564574128,6.5567569737049824,7.169899564574128,6.5567569737049824,0.6519607843137255,0.9852941176470589,0.8186274509803921
EEG -10 dB / MEG +10 dB,-10,10,185,0.8629317627132542,0.8421052442655065,4.8242324537969274,10.725620685520042,4.8242324537969274,10.725620685520042,6.037832151359788,5.391833709898999,6.037832151359788,5.391833709898999,0.6862745098039215,1.0,0.8431372549019607
EEG -10 dB / MEG +15 dB,-10,15,185,0.8636321787027862,0.8440678160253736,4.767768633073816,10.64128636729941,4.767768633073816,10.64128636729941,6.378734724686112,5.621829071000357,6.378734724686112,5.621829071000357,0.6813725490196078,0.9852941176470589,0.8333333333333333
EEG -10 dB / MEG +20 dB,-10,20,185,0.8629887890187691,0.8523782236414346,4.7894471787052995,10.741132568981861,4.7894471787052995,10.741132568981861,6.751238217791147,6.029512085879933,6.751238217791147,6.029512085879933,0.6666666666666666,0.9852941176470589,0.8259803921568627
EEG -5 dB / MEG -10 dB,-5,-10,185,0.8692989409760248,0.7642250040780315,3.639007722073735,6.670856025005743,3.639007722073735,6.670856025005743,10.586942564820239,10.729812897484235,10.586942564820239,10.729812897484235,0.4901960784313726,1.0,0.7450980392156863
EEG -5 dB / MEG -5 dB,-5,-5,185,0.8667686544955797,0.7361080177013857,3.3843943334994235,7.521396572718655,3.3843943334994235,7.521396572718655,8.5307739521394,8.162246916877857,8.5307739521394,8.162246916877857,0.5784313725490197,1.0,0.7892156862745099
EEG -5 dB / MEG +0 dB,-5,0,185,0.8763591855141741,0.7438364632361762,4.091557697745434,8.221447058919788,4.091557697745434,8.221447058919788,6.371523334300059,5.893122518718754,6.371523334300059,5.893122518718754,0.6813725490196078,1.0,0.8406862745098038
EEG -5 dB / MEG +5 dB,-5,5,185,0.8741094988226139,0.7840022997527422,3.8348323332558762,9.646694935439116,3.8348323332558762,9.646694935439116,5.938663233152153,5.683780034879916,5.938663233152153,5.683780034879916,0.715686274509804,0.9705882352941176,0.8431372549019609
EEG -5 dB / MEG +10 dB,-5,10,185,0.8750314385911555,0.8119581568373456,4.147853859013516,10.17405594973235,4.147853859013516,10.17405594973235,5.936682844012772,5.337862114249295,5.936682844012772,5.337862114249295,0.7009803921568628,0.9852941176470589,0.8431372549019609
EEG -5 dB / MEG +15 dB,-5,15,185,0.8692132465707649,0.8350273583459695,4.650483269903169,10.631884608007772,4.650483269903169,10.631884608007772,6.165604311399942,5.486505685459112,6.165604311399942,5.486505685459112,0.6960784313725489,0.9852941176470589,0.8406862745098038
EEG -5 dB / MEG +20 dB,-5,20,185,0.8646796032089648,0.8424389847585979,4.6328520054725235,10.503107351932082,4.6328520054725235,10.503107351932082,6.352895196562134,5.592167408430915,6.352895196562134,5.592167408430915,0.6813725490196078,0.9852941176470589,0.8333333333333333
EEG +0 dB / MEG -10 dB,0,-10,185,0.8736692365978658,0.7490422555432364,3.406635544481878,7.067926973437821,3.406635544481878,7.067926973437821,9.030807082695416,8.833996999705382,9.030807082695416,8.833996999705382,0.5784313725490197,0.9852941176470589,0.7818627450980393
EEG +0 dB / MEG -5 dB,0,-5,185,0.8758686950197864,0.7186872414371734,3.6740187276262035,5.929963761348272,3.6740187276262035,5.929963761348272,7.519878460127207,7.9631047671237765,7.519878460127207,7.9631047671237765,0.6470588235294118,0.9852941176470589,0.8161764705882353
EEG +0 dB / MEG +0 dB,0,0,185,0.8917335710740931,0.7049311570234412,3.4607397385614735,6.76085666225219,3.4607397385614735,6.76085666225219,5.043532862935382,4.75720892340452,5.043532862935382,4.75720892340452,0.7401960784313726,0.9852941176470589,0.8627450980392157
EEG +0 dB / MEG +5 dB,0,5,185,0.8893703960442458,0.7339477114399569,3.4705766953372312,7.533799595993433,3.4705766953372312,7.533799595993433,4.496011171636057,4.174061990858223,4.496011171636057,4.174061990858223,0.7696078431372548,0.9852941176470589,0.8774509803921569
EEG +0 dB / MEG +10 dB,0,10,185,0.8823946002100118,0.7789723442379337,3.8265797503627135,9.193072478994864,3.8265797503627135,9.193072478994864,5.312343376483777,4.764564495735623,5.312343376483777,4.764564495735623,0.7401960784313726,0.9852941176470589,0.8627450980392157
EEG +0 dB / MEG +15 dB,0,15,185,0.8690167267824821,0.8143629590618823,4.014587750631307,9.933569367361459,4.014587750631307,9.933569367361459,6.1380555067072615,5.464616336185578,6.1380555067072615,5.464616336185578,0.6862745098039215,1.0,0.8431372549019607
EEG +0 dB / MEG +20 dB,0,20,185,0.8704285011113861,0.8322794668358667,4.6853123449719405,9.814639804182509,4.6853123449719405,9.814639804182509,6.0546555262853365,5.289772780775994,6.0546555262853365,5.289772780775994,0.6960784313725489,1.0,0.8480392156862744
EEG +5 dB / MEG -10 dB,5,-10,185,0.8706650282412053,0.7774261994672604,3.6029662166181233,7.753131659143018,3.6029662166181233,7.753131659143018,6.530230733480089,6.5123799551213635,6.530230733480089,6.5123799551213635,0.7009803921568626,1.0,0.8504901960784312
EEG +5 dB / MEG -5 dB,5,-5,185,0.8941878998018121,0.717197373350718,3.611169052366796,7.490791933731152,3.611169052366796,7.490791933731152,5.440879275544479,5.227602046479133,5.440879275544479,5.227602046479133,0.7303921568627452,0.9852941176470589,0.857843137254902
EEG +5 dB / MEG +0 dB,5,0,185,0.9046263901114575,0.6930407254774267,3.819482125720187,6.478380142859799,3.819482125720187,6.478380142859799,4.116369664065256,4.41003833489926,4.116369664065256,4.41003833489926,0.7941176470588235,0.9852941176470589,0.8897058823529411
EEG +5 dB / MEG +5 dB,5,5,185,0.9030655917497374,0.6954427278933565,3.5499561773614197,7.026291076011115,3.5499561773614197,7.026291076011115,3.832186893928615,3.8528910969541363,3.832186893928615,3.8528910969541363,0.8088235294117646,0.9852941176470589,0.8970588235294117
EEG +5 dB / MEG +10 dB,5,10,185,0.8920970116736363,0.7393368606698143,3.5387567535908517,8.16712219475245,3.5387567535908517,8.16712219475245,3.8566745809399663,3.406261014764094,3.8566745809399663,3.406261014764094,0.7892156862745098,1.0,0.8946078431372548
