method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,case_weighted,186,4,0.546805219302403,0.5510103470174301,1.680140495348807,21.10327935667933,12.098257095741504,0.0,0.0,0.06451612903225806,0.0,1.956989247311828,21.10327935667933,12.098257095741504,210.2295411590288,210.2295411590288,0.1016949152542373,1.0,0.5508474576271186
Dipole fitting (grid),-10,-5,case_weighted,186,4,0.5568592789449658,0.5612517403078877,1.604948099585635,14.079991773419763,9.468476715988102,0.5882352587855032,0.5882352587855032,0.0913978494623656,0.5882352587855032,1.7795698924731183,14.079991773419763,9.468476715988102,200.39779912613022,200.39779912613022,0.1440677966101695,1.0,0.5720338983050848
Dipole fitting (grid),-10,0,case_weighted,186,4,0.5638619809784255,0.5638320593555137,1.548700381354391,8.554575047661222,9.349368911798667,0.4761904475882643,0.4761904475882643,0.1070225811390352,0.4761904475882643,1.6935483870967742,8.554575047661222,9.349368911798667,192.46460889371406,192.46460889371406,0.17796610169491525,1.0,0.5889830508474576
Dipole fitting (grid),-10,5,case_weighted,186,4,0.568655146983933,0.5629729511314556,1.5317997539803334,7.529095370348595,9.215440610895515,1.0714285763143352,1.0714285763143352,0.13556781537286203,1.0714285763143352,1.7419354838709677,7.529095370348595,9.215440610895515,178.751017518659,178.751017518659,0.23728813559322035,1.0,0.6186440677966102
Dipole fitting (grid),-10,10,case_weighted,186,4,0.573399575072503,0.5633364523720976,1.5166377195844947,6.740600460738935,9.893302055315175,1.8865333098479273,1.8865333098479273,0.15099002142590284,1.8865333098479273,1.7204301075268817,6.740600460738935,9.893302055315175,167.1405722751028,167.1405722751028,0.2796610169491525,1.0,0.6398305084745762
Dipole fitting (grid),-10,15,case_weighted,186,4,0.576635499743375,0.5637612519802723,1.5160660770273335,6.437270974308791,10.747539819626786,0.882352957844059,0.882352957844059,0.1435055505498439,0.882352957844059,1.6666666666666667,6.437270974308791,10.747539819626786,166.85123217367794,166.85123217367794,0.288135593220339,1.0,0.6440677966101696
Dipole fitting (grid),-10,20,case_weighted,186,4,0.5699421640476309,0.5627919265151865,1.5280357424750466,7.135754386769181,11.046708092399316,2.2467313425097104,2.2467313425097104,0.15348551156038556,2.2467313425097104,1.6666666666666667,7.135754386769181,11.046708092399316,169.20861561090166,169.20861561090166,0.2711864406779661,0.9852941176470589,0.6282402791625125
Dipole fitting (grid),-5,-10,case_weighted,186,4,0.5573570803030651,0.5619750282297179,1.6319680547212734,12.801630888579867,9.890967615581904,0.0,0.0,0.08602150537634409,0.0,1.7258064516129032,12.801630888579867,9.890967615581904,202.29635092661263,202.29635092661263,0.13559322033898305,1.0,0.5677966101694916
Dipole fitting (grid),-5,-5,case_weighted,186,4,0.56111527146051,0.5633076183187212,1.5679122019829832,9.31978429807412,8.62706541060728,0.0,0.0,0.09381634591627969,0.0,1.6989247311827957,9.31978429807412,8.62706541060728,198.32975581040455,198.32975581040455,0.15254237288135594,1.0,0.576271186440678
Dipole fitting (grid),-5,0,case_weighted,186,4,0.5605160831650178,0.5642742494536536,1.533606746388741,6.359482501494873,8.394573293025687,1.4999999099030326,1.4999999099030326,0.10752688172043011,1.4999999099030326,1.6612903225806452,6.359482501494873,8.394573293025687,194.61739796706138,194.61739796706138,0.1694915254237288,1.0,0.5847457627118644
