method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,scenario_macro,186,4,0.6049065514999157,0.6083624015585122,1.5746963362251776,19.996695523435637,13.075551191588481,0.0,0.0,19.996695523435637,13.075551191588481,175.52183389220804,175.52183389220804,0.1875,0.0,2.1056985294117645,0.25,1.0,0.625
Dipole fitting (grid),-10,-5,scenario_macro,186,4,0.6359055061837743,0.6394454018314404,1.3850913345096822,13.412014355143492,9.855981582834373,4.999999699676777,4.999999699676777,13.412014355143492,9.855981582834373,154.92122598037648,154.92122598037648,0.2536764705882353,4.999999699676777,2.0330882352941178,0.338235294117647,1.0,0.6691176470588235
Dipole fitting (grid),-10,0,scenario_macro,186,4,0.6407427903844711,0.6413057281279961,1.308481768320365,8.326970586206722,9.400584809624588,0.999999939935355,0.999999939935355,8.326970586206722,9.400584809624588,150.3324198655475,150.3324198655475,0.2643610297494873,0.999999939935355,1.9669117647058822,0.35784313725490197,1.0,0.678921568627451
Dipole fitting (grid),-10,5,scenario_macro,186,4,0.6444599026346429,0.6405850720979914,1.2778705720867483,7.326157844950093,9.49776394821616,2.333333257807187,2.3333332578071864,7.326157844950093,9.49776394821616,140.1546649313823,140.1546649313823,0.2894301976112956,2.3333332578071864,1.9650735294117645,0.40196078431372545,1.0,0.7009803921568627
Dipole fitting (grid),-10,10,scenario_macro,186,4,0.6471703261539022,0.6407992983076451,1.2656101246169955,6.484980914977612,10.658443924202654,4.092047229490492,4.092047229490492,6.484980914977612,10.658443924202654,132.3896568343372,132.3896568343372,0.3029093159001957,4.092047229490492,1.9430147058823528,0.4313725490196078,1.0,0.7156862745098039
Dipole fitting (grid),-10,15,scenario_macro,186,4,0.6499364677262369,0.6411188196360416,1.2647592421424751,6.396000632251969,11.413639352746577,2.083333372687362,2.083333372687362,6.396000632251969,11.413639352746577,133.27145576511654,133.27145576511654,0.29257026717002477,2.083333372687362,1.8740808823529411,0.43137254901960786,1.0,0.7156862745098039
Dipole fitting (grid),-10,20,scenario_macro,186,4,0.64559219778321,0.6407715627623147,1.2683227905914811,7.263609946976897,12.113807060523461,3.0920474562370246,3.0920474562370246,7.263609946976897,12.113807060523461,134.6350403023342,134.6350403023342,0.2994885536381633,3.0920474562370246,1.8988970588235294,0.4215686274509804,0.9852941176470589,0.7034313725490197
Dipole fitting (grid),-5,-10,scenario_macro,186,4,0.6361278248286093,0.6397995199382204,1.4480568293927114,12.727721960821773,10.349289926648085,0.0,0.0,12.727721960821773,10.349289926648085,156.01940790418493,156.01940790418493,0.25,0.0,2.011029411764706,0.3333333333333333,1.0,0.6666666666666666
Dipole fitting (grid),-5,-5,scenario_macro,186,4,0.6389903474514754,0.6410927181460422,1.3424337289340422,8.75909442222689,9.10320172063619,0.0,0.0,8.75909442222689,9.10320172063619,153.72500484677042,153.72500484677042,0.25533029536922064,0.0,2.0073529411764706,0.34313725490196073,1.0,0.6715686274509803
Dipole fitting (grid),-5,0,scenario_macro,186,4,0.638724814576004,0.6419622642556762,1.288639133453009,5.9815752943308285,8.984370306588334,3.7499997747575815,3.7499997747575815,5.9815752943308285,8.984370306588334,151.5776606040523,151.5776606040523,0.2647058823529412,3.7499997747575815,1.9540441176470587,0.35294117647058826,1.0,0.6764705882352942
Dipole fitting (grid),-5,5,scenario_macro,186,4,0.6496730774428194,0.6430177512602,1.2497355080483814,4.901531891908728,8.657271925972475,3.4186329695487516,3.4186329695487516,4.901531891908728,8.657271925972475,132.3322267965465,132.3322267965465,0.30586243285465176,3.4186329695487516,1.931066176470588,0.4215686274509804,1.0,0.7107843137254902
Dipole fitting (grid),-5,10,scenario_macro,186,4,0.6546789532083233,0.6430622268234606,1.2411994652817953,5.150958833279419,9.859843932175062,3.7878785777732396,3.7878785777732396,5.150958833279419,9.859843932175062,128.73166924533837,128.73166924533837,0.3017015683812629,3.7878785777732396,1.9549632352941178,0.4509803921568627,1.0,0.7254901960784313
