method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,deep_only,case_weighted_within_scenario,16,1,0.8746875000000001,0.8749500865167044,1.0267919172395212,nan,nan,0.0,0.0,0.75,0.0,2.4375,nan,nan,58.50727796406934,58.50727796406934,0.75,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.5101906651920417,0.5193062246978232,1.780930292687441,22.705213862195446,11.621638426613387,nan,nan,0.0,nan,1.7647058823529411,22.705213862195446,11.621638426613387,234.02911185627738,234.02911185627738,0.0,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5101488593450033,0.5143895347001384,1.8358262241739736,14.463776357217196,17.96202167082337,nan,nan,0.0,nan,2.411764705882353,14.463776357217196,17.96202167082337,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-10,surface_only,case_weighted_within_scenario,68,1,0.5245991814626177,0.524803760319383,1.6552369107997749,22.821096350894273,9.642993477328687,nan,nan,0.0,nan,1.8088235294117647,22.821096350894273,9.642993477328687,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,-5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.3189133415446791,nan,nan,0.0,0.0,1.0,0.0,2.75,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.5102921218826232,0.5199596344152143,1.7349607686153878,15.252381019441536,8.896092398637595,9.999999399353554,9.999999399353554,0.014705882352941176,9.999999399353554,1.5,15.252381019441536,8.896092398637595,230.73456608485205,230.73456608485205,0.014705882352941176,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5114844646536156,0.515774282378961,1.8129706677465327,10.072127263762136,11.793505917065739,nan,nan,0.0,nan,2.323529411764706,10.072127263762136,11.793505917065739,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-5,surface_only,case_weighted_within_scenario,68,1,0.5218454381988579,0.5220476905315861,1.673520560132129,14.91153478222681,8.878346432799784,nan,nan,0.0,nan,1.5588235294117647,14.91153478222681,8.878346432799784,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,0,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.13004340679942492,nan,nan,0.0,0.0,1.0,0.0,2.75,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.5262419720776179,0.523604507606964,1.688249208325253,10.149378658914507,9.521399784473035,1.99999987987071,1.99999987987071,0.057444118997949205,1.99999987987071,1.4558823529411764,10.149378658914507,9.521399784473035,216.96814774036514,216.96814774036514,0.07352941176470588,nan,nan
Dipole fitting (grid),-10,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5118738388996766,0.516541029726159,1.7966621440486006,7.188948278934223,9.656664298754189,nan,nan,0.0,nan,2.264705882352941,7.188948278934223,9.656664298754189,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,0,surface_only,case_weighted_within_scenario,68,1,0.5248553505605902,0.5250773751788617,1.6189723141081809,7.642584820771433,9.023690345646541,nan,nan,0.0,nan,1.3970588235294117,7.642584820771433,9.023690345646541,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.04026681535977816,nan,nan,0.0,0.0,1.0,0.0,2.625,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.5404324915446062,0.5245385320356861,1.6394861583939788,8.750910693424075,8.995718378496937,2.000000073744783,2.0000000737447827,0.11332667012400402,2.0000000737447827,1.6911764705882353,8.750910693424075,8.995718378496937,199.90718365296377,199.90718365296377,0.14705882352941177,nan,nan
Dipole fitting (grid),-10,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5153892993415092,0.5154756088294987,1.7815343226042673,6.3114702179575835,10.909380634819387,4.999999699676777,4.999999699676777,0.04439412032117844,4.999999699676777,2.176470588235294,6.3114702179575835,10.909380634819387,220.5568111411832,220.5568111411832,0.058823529411764705,nan,nan
Dipole fitting (grid),-10,5,surface_only,case_weighted_within_scenario,68,1,0.5220178196524559,0.522326147526781,1.6501949919889694,6.9160926234686215,8.588192831332158,nan,nan,0.0,nan,1.3676470588235294,6.9160926234686215,8.588192831332158,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,10,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.015215500903471945,nan,nan,0.0,0.0,1.0,0.0,2.625,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.5542682963721278,0.5242957491310678,1.6226105180179005,8.947748627775127,10.155566983603554,2.276142289117925,2.276142289117925,0.14377873596445023,2.276142289117925,1.6470588235294117,8.947748627775127,10.155566983603554,182.9071332752863,182.9071332752863,0.20588235294117646,nan,nan
Dipole fitting (grid),-10,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5111178750110537,0.5152008528961576,1.8047097648860657,5.206883186171003,14.484153268640043,9.999999399353554,9.999999399353554,0.06785852763633267,9.999999399353554,2.1176470588235294,5.206883186171003,14.484153268640043,214.26183722772527,214.26183722772527,0.08823529411764706,nan,nan
Dipole fitting (grid),-10,10,surface_only,case_weighted_within_scenario,68,1,0.5232951332324273,0.5237005912033555,1.619904714660544,5.300310930986707,7.335611520364362,nan,nan,0.0,nan,1.3823529411764706,5.300310930986707,7.335611520364362,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,15,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.003822293065855429,nan,nan,0.0,0.0,1.0,0.0,2.4375,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.5627168885713464,0.5271921423167732,1.5991228792516015,8.176193717818279,10.019086593416493,1.250000023612417,1.250000023612417,0.14419047256316464,1.250000023612417,1.661764705882353,8.176193717818279,10.019086593416493,179.25755613094447,179.25755613094447,0.23529411764705882,nan,nan
Dipole fitting (grid),-10,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5155445961549601,0.5154331197844902,1.8184548322424923,6.189648921967861,14.74413701834552,5.0000000944496685,5.0000000944496685,0.026090596116934494,5.0000000944496685,2.1470588235294117,6.189648921967861,14.74413701834552,220.55681116440513,220.55681116440513,0.058823529411764705,nan,nan
Dipole fitting (grid),-10,15,surface_only,case_weighted_within_scenario,68,1,0.5214843861786409,0.5218500164429027,1.6376369640099513,4.8221592569697656,9.477694446477713,nan,nan,0.0,nan,1.25,4.8221592569697656,9.477694446477713,nan,nan,nan,1.0,nan
