metric,metric_label,n_snr_pairs,method_count,friedman_chi_square,degrees_of_freedom,p_value,kendalls_w,holm_p_value_across_metrics
auc_tie_corrected,An_auc,49,8,318.00680272108843,7,8.599612584467523e-65,0.9271335356299955,6.879690067574018e-64
auc,Parcel AUC,49,8,312.41496598639446,7,1.3476960290477166e-63,0.9108308046250567,9.433872203334016e-63
rmse,Squared relative error (historical RMSE field),49,8,290.5850340136053,7,6.191256651666596e-59,0.8471866880863128,1.8573769954999788e-58
surface_sd_mm_penalized,Surface penalized SD (mm),49,8,297.5238095238094,7,2.0440391469814e-60,0.8674163542968204,8.1761565879256e-60
surface_dle_mm_penalized,Surface penalized DLE (mm),49,8,300.5986394557822,7,4.506990962615357e-61,0.8763808730489276,2.2534954813076785e-60
deep_sd_mm_penalized,Deep penalized SD (mm),49,8,321.87749149246457,7,1.2794479767244572e-65,0.9384183425436284,1.1515031790520115e-64
deep_dle_mm_penalized,Deep penalized DLE (mm),49,8,326.4783665532328,7,1.3282182823280662e-66,0.9518319724584046,1.3282182823280663e-65
deep_sensitivity,Deep sensitivity,49,8,232.32529239766083,7,1.5909625572053273e-46,0.6773332139873494,1.5909625572053273e-46
deep_specificity,Deep specificity,49,8,280.24218349564313,7,9.968450326662516e-57,0.817032604943566,1.993690065332503e-56
deep_balanced_accuracy,Deep balanced accuracy,49,8,301.2810218978101,7,3.22221653279793e-61,0.8783703262326825,1.9333299196787583e-60
