metric,metric_label,baseline,eeg_snr_db,meg_snr_db,oaster_value,baseline_value,oriented_difference_positive_favors_oaster,outcome
auc_tie_corrected,An_auc,dSPM,-10,-10,0.9560867314869632,0.8607403606357384,0.09534637085122477,win
auc_tie_corrected,An_auc,dSPM,-10,-5,0.9569156449078764,0.8958357093231077,0.06107993558476865,win
auc_tie_corrected,An_auc,dSPM,-10,0,0.9556229133235431,0.9205882205838133,0.03503469273972981,win
auc_tie_corrected,An_auc,dSPM,-10,5,0.9542932972776696,0.9327575938402037,0.021535703437465914,win
auc_tie_corrected,An_auc,dSPM,-10,10,0.9516558037399321,0.9384650214825293,0.013190782257402778,win
auc_tie_corrected,An_auc,dSPM,-10,15,0.958538799605704,0.937697874995185,0.020840924610519007,win
auc_tie_corrected,An_auc,dSPM,-10,20,0.9575210500252054,0.9371250912848996,0.020395958740305753,win
auc_tie_corrected,An_auc,dSPM,-5,-10,0.9673686515516934,0.8983790207239026,0.06898963082779075,win
auc_tie_corrected,An_auc,dSPM,-5,-5,0.9660796794486368,0.9142055374046797,0.05187414204395713,win
auc_tie_corrected,An_auc,dSPM,-5,0,0.963079674085445,0.928326169365488,0.034753504719957085,win
auc_tie_corrected,An_auc,dSPM,-5,5,0.960512141962876,0.9394101857806372,0.021101956182238868,win
auc_tie_corrected,An_auc,dSPM,-5,10,0.9586549047719587,0.9398205647263063,0.01883434004565243,win
auc_tie_corrected,An_auc,dSPM,-5,15,0.9517691560640368,0.9384874507164459,0.013281705347590878,win
auc_tie_corrected,An_auc,dSPM,-5,20,0.9566479990533581,0.9377285047013612,0.018919494351996913,win
auc_tie_corrected,An_auc,dSPM,0,-10,0.9696507142668656,0.9136492491248855,0.05600146514198001,win
auc_tie_corrected,An_auc,dSPM,0,-5,0.9770363123512147,0.9257645317468248,0.05127178060438986,win
auc_tie_corrected,An_auc,dSPM,0,0,0.973893334787233,0.9347712491243535,0.03912208566287945,win
auc_tie_corrected,An_auc,dSPM,0,5,0.9652220405458488,0.9442656328355772,0.02095640771027163,win
auc_tie_corrected,An_auc,dSPM,0,10,0.9685215411520542,0.9456745670870086,0.022846974065045655,win
auc_tie_corrected,An_auc,dSPM,0,15,0.9625348469458592,0.9422241001676824,0.02031074677817679,win
auc_tie_corrected,An_auc,dSPM,0,20,0.9597680209604915,0.9406465553087329,0.01912146565175865,win
auc_tie_corrected,An_auc,dSPM,5,-10,0.9682242957474608,0.9252678795606176,0.042956416186843205,win
auc_tie_corrected,An_auc,dSPM,5,-5,0.9695720607504188,0.9348671184085614,0.03470494234185739,win
auc_tie_corrected,An_auc,dSPM,5,0,0.9756938728331866,0.9387410236057605,0.03695284922742614,win
auc_tie_corrected,An_auc,dSPM,5,5,0.9727084772252717,0.9442627868352856,0.02844569038998601,win
auc_tie_corrected,An_auc,dSPM,5,10,0.97004179617158,0.9489540355398862,0.02108776063169382,win
auc_tie_corrected,An_auc,dSPM,5,15,0.9674843947082006,0.9471127913979398,0.020371603310260777,win
auc_tie_corrected,An_auc,dSPM,5,20,0.9624294418029486,0.9436136608164447,0.01881578098650394,win
auc_tie_corrected,An_auc,dSPM,10,-10,0.9682251426535345,0.9322328234276481,0.035992319225886416,win
auc_tie_corrected,An_auc,dSPM,10,-5,0.969371595820609,0.9382211384877694,0.03115045733283961,win
auc_tie_corrected,An_auc,dSPM,10,0,0.977258709036285,0.9430430684323912,0.034215640603893815,win
auc_tie_corrected,An_auc,dSPM,10,5,0.9808959056869275,0.946257511998505,0.034638393688422475,win
auc_tie_corrected,An_auc,dSPM,10,10,0.9767914245190531,0.94833953916244,0.028451885356613138,win
auc_tie_corrected,An_auc,dSPM,10,15,0.9707841586712385,0.9506601281737489,0.020124030497489565,win
auc_tie_corrected,An_auc,dSPM,10,20,0.9690096753191184,0.9493707842401737,0.019638891078944676,win
auc_tie_corrected,An_auc,dSPM,15,-10,0.9631362635469962,0.9339547375849532,0.029181525962043042,win
auc_tie_corrected,An_auc,dSPM,15,-5,0.9666812908729079,0.9380382783279084,0.028643012544999458,win
auc_tie_corrected,An_auc,dSPM,15,0,0.9724156587511952,0.9426128180886824,0.02980284066251282,win
auc_tie_corrected,An_auc,dSPM,15,5,0.9743292916277132,0.9458591782422996,0.02847011338541361,win
auc_tie_corrected,An_auc,dSPM,15,10,0.980554304944744,0.948002797561885,0.03255150738285906,win
auc_tie_corrected,An_auc,dSPM,15,15,0.9770872836342757,0.9506597679554126,0.026427515678863034,win
auc_tie_corrected,An_auc,dSPM,15,20,0.9691559426289091,0.9516118944128316,0.01754404821607758,win
auc_tie_corrected,An_auc,dSPM,20,-10,0.9629209953840071,0.9297955245315562,0.03312547085245088,win
auc_tie_corrected,An_auc,dSPM,20,-5,0.9668149663778639,0.9354450992615853,0.03136986711627865,win
auc_tie_corrected,An_auc,dSPM,20,0,0.9677866253193073,0.939990013922121,0.027796611397186255,win
auc_tie_corrected,An_auc,dSPM,20,5,0.9754206535332337,0.9440260180124952,0.03139463552073851,win
auc_tie_corrected,An_auc,dSPM,20,10,0.9791702831629879,0.9476072793546152,0.031563003808372736,win
auc_tie_corrected,An_auc,dSPM,20,15,0.9810298308704749,0.9489733215835761,0.03205650928689885,win
auc_tie_corrected,An_auc,dSPM,20,20,0.9774160187768441,0.9512098441185026,0.02620617465834152,win
auc_tie_corrected,An_auc,eLORETA,-10,-10,0.9560867314869632,0.7243541886510986,0.23173254283586464,win
auc_tie_corrected,An_auc,eLORETA,-10,-5,0.9569156449078764,0.8463279930277626,0.11058765188011377,win
auc_tie_corrected,An_auc,eLORETA,-10,0,0.9556229133235431,0.907893739733137,0.04772917359040607,win
auc_tie_corrected,An_auc,eLORETA,-10,5,0.9542932972776696,0.9371442634135365,0.017149033864133134,win
auc_tie_corrected,An_auc,eLORETA,-10,10,0.9516558037399321,0.9440879905949437,0.0075678131449883335,win
auc_tie_corrected,An_auc,eLORETA,-10,15,0.958538799605704,0.9432279278323852,0.015310871773318802,win
auc_tie_corrected,An_auc,eLORETA,-10,20,0.9575210500252054,0.942278443946513,0.015242606078692433,win
auc_tie_corrected,An_auc,eLORETA,-5,-10,0.9673686515516934,0.7520852358936055,0.21528341565808784,win
auc_tie_corrected,An_auc,eLORETA,-5,-5,0.9660796794486368,0.8616583107231844,0.10442136872545238,win
auc_tie_corrected,An_auc,eLORETA,-5,0,0.963079674085445,0.9108321676226696,0.05224750646277543,win
auc_tie_corrected,An_auc,eLORETA,-5,5,0.960512141962876,0.9383856093336815,0.022126532629194506,win
auc_tie_corrected,An_auc,eLORETA,-5,10,0.9586549047719587,0.9461637014021367,0.012491203369822013,win
auc_tie_corrected,An_auc,eLORETA,-5,15,0.9517691560640368,0.9459089388154095,0.005860217248627286,win
auc_tie_corrected,An_auc,eLORETA,-5,20,0.9566479990533581,0.9434878399001241,0.013160159153233986,win
auc_tie_corrected,An_auc,eLORETA,0,-10,0.9696507142668656,0.8141326319322132,0.15551808233465236,win
auc_tie_corrected,An_auc,eLORETA,0,-5,0.9770363123512147,0.8850137346264115,0.09202257772480316,win
auc_tie_corrected,An_auc,eLORETA,0,0,0.973893334787233,0.9169841587730467,0.056909176014186214,win
auc_tie_corrected,An_auc,eLORETA,0,5,0.9652220405458488,0.9376778098360787,0.02754423070977008,win
auc_tie_corrected,An_auc,eLORETA,0,10,0.9685215411520542,0.9486035349152744,0.01991800623677986,win
auc_tie_corrected,An_auc,eLORETA,0,15,0.9625348469458592,0.9491359137537605,0.013398933192098728,win
auc_tie_corrected,An_auc,eLORETA,0,20,0.9597680209604915,0.9461439438503108,0.013624077110180766,win
auc_tie_corrected,An_auc,eLORETA,5,-10,0.9682242957474608,0.8829450922069766,0.08527920354048424,win
auc_tie_corrected,An_auc,eLORETA,5,-5,0.9695720607504188,0.9092213764902358,0.060350684260182974,win
auc_tie_corrected,An_auc,eLORETA,5,0,0.9756938728331866,0.9261749789369376,0.04951889389624908,win
auc_tie_corrected,An_auc,eLORETA,5,5,0.9727084772252717,0.9395182635817488,0.033190213643522815,win
auc_tie_corrected,An_auc,eLORETA,5,10,0.97004179617158,0.949583593119905,0.020458203051675006,win
auc_tie_corrected,An_auc,eLORETA,5,15,0.9674843947082006,0.9523820191374794,0.015102375570721138,win
auc_tie_corrected,An_auc,eLORETA,5,20,0.9624294418029486,0.9500977069734271,0.012331734829521546,win
auc_tie_corrected,An_auc,eLORETA,10,-10,0.9682251426535345,0.9185320363111129,0.049693106342421633,win
auc_tie_corrected,An_auc,eLORETA,10,-5,0.969371595820609,0.9266637549281025,0.042707840892506566,win
auc_tie_corrected,An_auc,eLORETA,10,0,0.977258709036285,0.9362545502351589,0.04100415880112607,win
auc_tie_corrected,An_auc,eLORETA,10,5,0.9808959056869275,0.9448762265983661,0.03601967908856141,win
auc_tie_corrected,An_auc,eLORETA,10,10,0.9767914245190531,0.9500900265500094,0.026701397969043694,win
auc_tie_corrected,An_auc,eLORETA,10,15,0.9707841586712385,0.9531016838455812,0.017682474825657213,win
auc_tie_corrected,An_auc,eLORETA,10,20,0.9690096753191184,0.9527113888171775,0.016298286501940873,win
auc_tie_corrected,An_auc,eLORETA,15,-10,0.9631362635469962,0.9328433539829727,0.03029290956402353,win
auc_tie_corrected,An_auc,eLORETA,15,-5,0.9666812908729079,0.9370905925289483,0.029590698343959554,win
auc_tie_corrected,An_auc,eLORETA,15,0,0.9724156587511952,0.9427675330402987,0.029648125710896478,win
auc_tie_corrected,An_auc,eLORETA,15,5,0.9743292916277132,0.9483568436748899,0.025972447952823274,win
auc_tie_corrected,An_auc,eLORETA,15,10,0.980554304944744,0.9516376754322287,0.02891662951251539,win
auc_tie_corrected,An_auc,eLORETA,15,15,0.9770872836342757,0.9533193724458722,0.02376791118840349,win
auc_tie_corrected,An_auc,eLORETA,15,20,0.9691559426289091,0.9549666161043625,0.01418932652454663,win
auc_tie_corrected,An_auc,eLORETA,20,-10,0.9629209953840071,0.937174892255155,0.02574610312885206,win
auc_tie_corrected,An_auc,eLORETA,20,-5,0.9668149663778639,0.9411774450946859,0.025637521283177978,win
auc_tie_corrected,An_auc,eLORETA,20,0,0.9677866253193073,0.9442520500427833,0.023534575276523917,win
auc_tie_corrected,An_auc,eLORETA,20,5,0.9754206535332337,0.9477583375824432,0.027662315950790495,win
auc_tie_corrected,An_auc,eLORETA,20,10,0.9791702831629879,0.9522502535311603,0.026920029631827602,win
auc_tie_corrected,An_auc,eLORETA,20,15,0.9810298308704749,0.954055014638669,0.026974816231805865,win
auc_tie_corrected,An_auc,eLORETA,20,20,0.9774160187768441,0.9545205273879026,0.022895491388941536,win
auc_tie_corrected,An_auc,sLORETA,-10,-10,0.9560867314869632,0.7749060545023647,0.1811806769845985,win
auc_tie_corrected,An_auc,sLORETA,-10,-5,0.9569156449078764,0.8122322577300939,0.1446833871777825,win
auc_tie_corrected,An_auc,sLORETA,-10,0,0.9556229133235431,0.8489555514245001,0.10666736189904302,win
auc_tie_corrected,An_auc,sLORETA,-10,5,0.9542932972776696,0.8866943440758219,0.06759895320184772,win
auc_tie_corrected,An_auc,sLORETA,-10,10,0.9516558037399321,0.9134521988207192,0.03820360491921293,win
auc_tie_corrected,An_auc,sLORETA,-10,15,0.958538799605704,0.9271143517986704,0.03142444780703357,win
auc_tie_corrected,An_auc,sLORETA,-10,20,0.9575210500252054,0.929414791749345,0.02810625827586033,win
auc_tie_corrected,An_auc,sLORETA,-5,-10,0.9673686515516934,0.8264173186713937,0.1409513328802997,win
auc_tie_corrected,An_auc,sLORETA,-5,-5,0.9660796794486368,0.8577090550302013,0.10837062441843548,win
auc_tie_corrected,An_auc,sLORETA,-5,0,0.963079674085445,0.882710568937871,0.080369105147574,win
auc_tie_corrected,An_auc,sLORETA,-5,5,0.960512141962876,0.9051016976199143,0.05541044434296172,win
auc_tie_corrected,An_auc,sLORETA,-5,10,0.9586549047719587,0.9206439456829794,0.038010959088979335,win
auc_tie_corrected,An_auc,sLORETA,-5,15,0.9517691560640368,0.9301722943179758,0.021596861746061013,win
auc_tie_corrected,An_auc,sLORETA,-5,20,0.9566479990533581,0.9320132083122478,0.024634790741110302,win
auc_tie_corrected,An_auc,sLORETA,0,-10,0.9696507142668656,0.8675171156683228,0.10213359859854276,win
auc_tie_corrected,An_auc,sLORETA,0,-5,0.9770363123512147,0.8936219688987472,0.08341434345246745,win
auc_tie_corrected,An_auc,sLORETA,0,0,0.973893334787233,0.9100919685909795,0.06380136619625343,win
auc_tie_corrected,An_auc,sLORETA,0,5,0.9652220405458488,0.9221212649992778,0.04310077554657099,win
auc_tie_corrected,An_auc,sLORETA,0,10,0.9685215411520542,0.9300409476945216,0.03848059345753263,win
auc_tie_corrected,An_auc,sLORETA,0,15,0.9625348469458592,0.9347891210799703,0.02774572586588897,win
auc_tie_corrected,An_auc,sLORETA,0,20,0.9597680209604915,0.9361383928872751,0.023629628073216447,win
auc_tie_corrected,An_auc,sLORETA,5,-10,0.9682242957474608,0.8994477929122119,0.06877650283524894,win
