case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,v3_auc_tie_corrected,v3_surface_auc_tie_corrected,v3_deep_auc_tie_corrected,v3_surface_sd_mm,v3_surface_dle_mm,v3_deep_sd_mm,v3_deep_dle_mm,v3_deep_detected,v3_deep_false_positive,v4_auc_tie_corrected,v4_surface_auc_tie_corrected,v4_deep_auc_tie_corrected,v4_surface_sd_mm,v4_surface_dle_mm,v4_deep_sd_mm,v4_deep_dle_mm,v4_deep_detected,v4_deep_false_positive
erp-v3-development-00000-surface_only-eeg-10-meg-10,erp-v3-development-source-000-surface_only,surface_only,-10,-10,0.9516927546543341,0.9520647653000593,nan,107.68434182847433,122.0595792568882,nan,nan,0,0,0.9800634412427369,0.9800207961972669,nan,86.92007659751583,100.4743283813331,nan,nan,0,0
erp-v3-development-00068-deep_only-eeg-10-meg-10,erp-v3-development-source-068-deep_only,deep_only,-10,-10,0.9980034606681751,nan,1.0,nan,nan,21.079943670130856,0.0,0,0,0.0009982696659124324,nan,0.5,nan,nan,nan,nan,0,0
erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,erp-v3-development-source-086-deep_plus_surface,deep_plus_surface,-10,-10,0.9681963414205962,0.9668597742127154,0.9333333333333333,59.435006846177274,105.10877252955277,24.316939409465416,10.00000054854849,0,0,0.9307713914539517,0.9823900772430185,0.5,0.0,4.2852815273583476,nan,nan,0,0
erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,erp-v3-development-source-154-deep_plus_two_surface,deep_plus_two_surface,-10,-10,0.9129787992161054,0.9117594101596945,0.6,28.934947842423902,25.25822607353167,32.69991636892225,41.23105720329179,0,0,0.9328278104400496,0.9648893587748901,0.5,51.5233461248388,55.60141196395661,nan,nan,0,0
erp-v3-development-01128-surface_only-eeg-10-meg+20,erp-v3-development-source-000-surface_only,surface_only,-10,20,0.9702952685876912,0.9708259061200237,nan,0.0,3.113665596949317,nan,nan,0,1,0.9917363334519151,0.9917186571598336,nan,5.544409156333246,11.88893221290573,nan,nan,0,0
erp-v3-development-01196-deep_only-eeg-10-meg+20,erp-v3-development-source-068-deep_only,deep_only,-10,20,1.0,nan,1.0,nan,nan,0.0,0.0,1,0,1.0,nan,1.0,nan,nan,0.0,0.0,1,0
erp-v3-development-01214-deep_plus_surface-eeg-10-meg+20,erp-v3-development-source-086-deep_plus_surface,deep_plus_surface,-10,20,0.9703802535023349,0.9689913844325609,1.0,11.604004905773008,3.113665596949317,0.0,0.0,1,0,0.9435026860011938,0.995855614973262,0.5,7.8102124594737194,11.88893221290573,nan,nan,0,0
erp-v3-development-01282-deep_plus_two_surface-eeg-10-meg+20,erp-v3-development-source-154-deep_plus_two_surface,deep_plus_two_surface,-10,20,0.9725592374844112,0.9717868338557993,1.0,2.312781055846577,4.0899374079944915,0.0,0.0,1,0,0.9490802601104575,0.9817360030655444,0.5,12.04376212083947,12.237695848670121,nan,nan,0,0
erp-v3-development-04512-surface_only-eeg+05-meg+05,erp-v3-development-source-000-surface_only,surface_only,5,5,0.9992736867069845,0.9992721330956625,nan,3.4428197319374862,11.506110153272395,nan,nan,0,0,0.9989105300604768,0.9989081996434939,nan,1.593894759106314,4.627401780579963,nan,nan,0,0
erp-v3-development-04580-deep_only-eeg+05-meg+05,erp-v3-development-source-068-deep_only,deep_only,5,5,1.0,nan,1.0,nan,nan,0.0,0.0,1,0,1.0,nan,1.0,nan,nan,0.0,0.0,1,0
