manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,OASTER-ERP-v4,ok,,38.723027600033674,3,0,1,0.9409259259259259,0.9969168741847505,0.9969102792632205,nan,1.1569502296248728,0.0,4.627401780579963,nan,nan,0,0.0,nan,0,0,2,2,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,MNE,ok,,0.9860952999442816,,,1,0.8446913580246915,0.9561988616150836,0.9561423054070113,nan,1.698566424465777,17.376000478570067,22.28269957055816,nan,nan,0,0.1308549515739935,nan,0,0,277,273,4
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,dSPM,ok,,0.9873544999863952,,,1,0.8154938271604938,0.9421839796039368,0.9421865715983364,nan,1.7319338282193117,18.0525849517098,27.54469387881552,nan,nan,0,0.2142164722438415,nan,0,1,245,241,4
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,sLORETA,ok,,0.9974201000295579,,,1,0.7987962962962962,0.9308297758804696,0.9308006535947713,nan,1.759069736539864,21.391872040094402,15.816278383873863,nan,nan,0,0.27288075008432083,nan,0,1,430,425,5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,eLORETA,ok,,1.0061207999824546,,,1,0.8154012345679011,0.9339499584963833,0.9338755199049317,nan,1.712493327622311,19.187681135270353,7.755141529980423,nan,nan,0,0.19499968263643092,nan,0,1,484,479,5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,LCMV,ok,,0.3702294999966398,,,1,0.39913580246913577,0.5263177398316139,0.5273469994058229,nan,1.9961122425843574,72.33206604656326,65.5873418793903,nan,nan,0,0.0,nan,0,0,1097,1081,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,Dipole fitting (grid),ok,,0.3286019000224769,,,1,0.49972222222222223,0.4997998932764141,0.4997994652406417,nan,2.0000000000000004,8.102887450881932,12.401312126886046,nan,nan,0,0.0,nan,0,0,1,1,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7896,erp-v3-development-07896-surface_only-eeg+20-meg-10,0,erp-v3-development-source-000-surface_only,42,20,-10,surface_only,[1317],,,,RAP-MUSIC,ok,,0.3570391000248492,,,1,0.49972222222222223,0.4997998932764141,0.4997994652406417,nan,2.0000000000000004,8.102887450881932,12.401312126886046,nan,nan,0,0.0,nan,0,0,1,1,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,OASTER-ERP-v4,ok,,17.448063399991952,3,0,0,1.0,1.0,nan,1.0,0.004260724684540168,nan,nan,0.0,0.0,1,1.0,0.0,1,0,4,3,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,42,eeg_+20_meg_-10.csv,7964,erp-v3-development-07964-deep_only-eeg+20-meg-10,68,erp-v3-development-source-068-deep_only,42,20,-10,deep_only,[],7498,,,MNE,ok,,0.9531984000350349,,,0,0.92,0.9932117662717955,nan,1.0,1.9295036225405253,nan,nan,22.46822938048521,0.0,1,0.6571238140968098,0.0,1,0,733,717,16
