method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,case_weighted,4,4,0.6283964646464646,0.631480564899369,0.5091279467113305,0.6666666666666666,1.5319945464440305,20.730762838889774,8.682205143081584,0.0,0.0,0.25,0.0,2.25,2.0,0.25,20.730762838889774,8.682205143081584,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
Dipole fitting (grid),-10,20,case_weighted,4,4,0.6369953002244669,0.6425917027484176,0.5241343652227469,0.6666666666666666,1.5029960374976201,21.279521951775674,26.6634894081164,0.0,0.0,0.25,0.0,2.0,1.75,0.25,21.279521951775674,26.6634894081164,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
Dipole fitting (grid),5,5,case_weighted,4,4,0.6247127525252525,0.6248498330688244,0.49979936679451537,0.6666666666666666,1.5048161643963285,16.202713483268127,8.048154664836838,0.0,0.0,0.25,0.0,2.25,2.0,0.25,16.202713483268127,8.048154664836838,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
Dipole fitting (grid),20,-10,case_weighted,4,4,0.6286837121212121,0.6290332020337273,0.5055688076866011,0.6666666666666666,1.4575116658338465,7.666777764163321,11.526124577839559,0.0,0.0,0.25,0.0,1.25,1.0,0.25,7.666777764163321,11.526124577839559,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
Dipole fitting (grid),20,20,case_weighted,4,4,0.6245391414141414,0.6248498330688244,0.49979936679451537,0.6666666666666666,1.5001647676475982,8.93884919892203,8.048154664836838,0.0,0.0,0.25,0.0,2.25,2.0,0.25,8.93884919892203,8.048154664836838,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
LCMV,-10,-10,case_weighted,4,4,0.7245897208618168,0.6549199058641236,0.5301830980267233,0.5333333333333333,1.9755159006488354,57.51272419038242,55.53872200906084,26.685512546110044,24.019196853499796,0.0,nan,1208.5,1192.5,16.0,57.51272419038242,55.53872200906084,234.02911185627735,234.02911185627735,0.0,1.0,0.5
LCMV,-10,20,case_weighted,4,4,0.787407598714417,0.7279129441303385,0.6297423125997393,1.0,1.7383038809336244,49.13594435141717,52.471782134092145,8.515831918744993,0.0,0.8131374065758592,0.0,279.75,272.75,7.0,49.13594435141717,52.471782134092145,8.515831918744993,0.0,1.0,0.0,0.5
LCMV,5,5,case_weighted,4,4,0.7641531263816617,0.6742190672257455,0.5551036018367316,0.8444444444444444,1.9089939772105837,55.47603471957376,63.525521336957354,17.665338780564042,10.487548200858845,0.0,nan,1072.75,1060.5,12.25,55.47603471957376,63.525521336957354,234.02911185627735,234.02911185627735,0.0,1.0,0.5
LCMV,20,-10,case_weighted,4,4,0.7889874332551101,0.7271966148309545,0.6279727698819206,1.0,1.835987503596329,59.59075094852356,53.23817609217133,10.516499857963142,0.0,0.5,0.0,850.0,840.75,9.25,59.59075094852356,53.23817609217133,88.5262038100556,78.00970395209245,0.6666666666666666,1.0,0.8333333333333333
LCMV,20,20,case_weighted,4,4,0.7696058863041186,0.6849246651592327,0.5703236266911221,1.0,1.601253266850174,53.13846792059951,56.60634562743746,1.7984748679597315,0.0,0.8609834273894086,0.0,857.25,852.25,5.0,53.13846792059951,56.60634562743746,1.7984748679597315,0.0,1.0,0.0,0.5
