manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,edge_fraction,noise_multiplier,mrf_strength
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,4.807541099959053,3,0,1,0.4952777777777779,0.49899946638207043,0.49906417112299467,nan,2.0000000000000004,10.708233207452203,11.066851428702554,nan,nan,0,1.0,nan,0,1,8,7,1,0.5,1.0,0.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,3.863843600032851,3,0,0,1.0,1.0,nan,1.0,0.02000494386853522,nan,nan,0.0,0.0,1,1.0,0.0,1,0,3,2,1,0.5,1.0,0.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,6.7243027000222355,3,0,1,0.49777777777777776,0.49886591060707136,0.49886363636363634,0.5,2.0000000000000004,11.23132862041294,11.94345982554302,nan,nan,1,0.0,nan,0,0,10,10,0,0.5,1.0,0.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,6.159883100073785,3,0,1,0.49828282828282827,0.4975280598610369,0.49765698219306465,0.43333333333333335,2.0000000000000004,12.868387169505354,14.041292748969306,20.953818926417398,14.142136204249597,1,1.0,14.142136204249597,0,0,11,9,2,0.5,1.0,0.0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,8.533710300049279,3,0,1,0.9983950617283952,0.9987474801375549,0.9987448009506833,nan,1.0840073687809113,1.870125445109515,4.627401780579963,nan,nan,0,0.0,nan,0,0,2,2,0,0.5,1.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,4.455658200022299,3,0,0,1.0,1.0,nan,1.0,0.020056598690385747,nan,nan,0.0,0.0,1,1.0,0.0,1,0,1,0,1,0.5,1.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,9.110144200036302,3,0,1,0.7011496913580246,0.9424212632983393,0.9947118241235888,0.5,1.6900260484727687,4.895256149761732,8.925067057469208,nan,nan,1,0.0,nan,0,0,3,3,0,0.5,1.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,8.542684599990025,3,0,1,0.5713922899023909,0.9517659896668444,0.9845199237307306,0.5,1.9138331825175363,8.820674234058451,13.922088938290743,nan,nan,1,0.0,nan,0,0,8,8,0,0.5,1.0,0.5
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v4,ok,,13.243951599986758,3,0,1,0.9970679012345678,0.9985547847741019,0.9985516934046346,nan,0.9367171712104201,3.2685916509822928,7.4710220134631795,nan,nan,0,0.0,nan,0,0,12,12,0,0.5,1.0,0.8
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v4,ok,,13.685923799988814,3,0,0,0.465,0.0009982696659124324,nan,0.5,1.9999999999999833,nan,nan,nan,nan,1,0.0,nan,0,0,20,20,0,0.5,1.0,0.8
