manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,setting
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v5,ok,,1.8925692000193521,3,0,1,0.9990432098765433,0.9991476935847267,0.9991458704694,nan,0.994039759771857,2.5646826509584253,5.604759461494428,nan,nan,0,4.1275328960181436e-05,nan,0,0,24,8,16,irls_global_v4
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v5,ok,,3.948635100037791,3,0,0,1.0,1.0,nan,1.0,0.42411889773291583,nan,nan,7.245546990457366,0.0,1,1.0,0.0,1,0,13,10,3,irls_global_v4
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,5.843082399980631,3,0,1,0.7495987654320988,0.94784593237597,0.9995543672014261,0.1333333333333333,0.8848405126302389,0.0,5.604759461494428,27.088736746583518,22.360681050326836,1,2.275163712248727e-05,22.360681050326836,0,0,18,2,16,irls_global_v4
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,3.8772894000285305,3,0,1,0.8329828588919499,0.9696107251024405,0.9985364795176384,0.1333333333333333,1.0173318015770343,3.288545162347746,5.817833823522295,29.861576433136275,33.166248402824905,1,3.3141171834675314e-05,33.166248402824905,0,0,26,10,16,irls_global_v4
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v5,ok,,2.539163400011603,10,0,1,0.9955864197530864,0.9979099964425471,0.9979055258467023,nan,1.3394260127433724,4.40528217771226,5.604759461494428,nan,nan,0,6.496153452755377e-05,nan,0,0,22,7,15,irls_global_smooth
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v5,ok,,2.251025600009598,10,0,0,1.0,1.0,nan,1.0,0.08509023592802327,nan,nan,0.0,0.0,1,1.0,0.0,1,0,15,14,1,irls_global_smooth
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4598,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,86,erp-v3-development-source-086-deep_plus_surface,24,5,5,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,2.3739661999279633,10,0,1,0.7448765432098765,0.9457813981250659,0.9982323232323232,0.0,1.376465631471107,4.031929750311525,5.604759461494428,33.61010509959398,36.05551397372256,1,3.428770087291371e-05,36.05551397372256,0,0,22,8,14,irls_global_smooth
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4666,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,154,erp-v3-development-source-154-deep_plus_two_surface,24,5,5,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,2.608632999996189,10,0,1,0.7677909567050981,0.9590548726171385,0.9914958841371923,0.0,1.5369990056402933,6.842291004839385,9.878241180813637,28.603378887353124,24.494898618727973,1,3.200589354361483e-05,24.494898618727973,0,0,23,7,16,irls_global_smooth
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4512,erp-v3-development-04512-surface_only-eeg+05-meg+05,0,erp-v3-development-source-000-surface_only,24,5,5,surface_only,[1317],,,,OASTER-ERP-v5,ok,,1.8672232999815606,3,0,1,0.9990432098765433,0.9991476935847267,0.9991458704694,nan,0.9936910120233102,2.563617684709214,5.604759461494428,nan,nan,0,0.0002132451038120801,nan,0,0,23,8,15,irls_layer_v4
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,24,eeg_+05_meg_+05.csv,4580,erp-v3-development-04580-deep_only-eeg+05-meg+05,68,erp-v3-development-source-068-deep_only,24,5,5,deep_only,[],7498,,,OASTER-ERP-v5,ok,,2.4362073999946006,3,0,0,1.0,0.9997337947557566,nan,0.8666666666666667,1.4061472300927662,nan,nan,19.21502129241075,17.320508398326936,1,1.0,17.320508398326936,0,0,12,2,10,irls_layer_v4
