setting_id,case_id,scenario,solver_windows,converged,inner_converged,outer_converged,objective_steps_checked,objective_monotonicity_violations,objective_delta_min,objective_delta_max
S01,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,False,True,False,5,0,-354.4580710916191,-2.5073636802412693
S01,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,False,True,4,0,-14.258684384091794,-0.033058249119676475
S01,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,False,True,False,5,0,-575.7891021326107,-3.411628019216778
S01,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,False,False,False,5,0,-323.46669421865045,-7.708134345996314
S02,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,23,0,-1303.7930769716488,-4.6118032059894176e-08
S02,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,62,0,-1177.679955563799,-2.785350261547137e-08
S02,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,93,0,-1142.8457453491442,-1.4599891073885374e-08
S02,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,55,0,-1451.0723834244925,-2.177944224968087e-08
S03,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,33,0,-2136.124355508164,-9.167479220195673e-09
S03,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,29,0,-1767.519980153913,-3.513753199513303e-08
S03,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,31,0,-2047.661490010693,-5.676645287167048e-08
S03,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,34,0,-2366.9073913792,-4.33283275924623e-09
S04,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,23,0,-1303.6923223030058,-9.000234513223404e-08
S04,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,34,0,-1182.5835037360735,-5.4417057526734425e-09
S04,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,93,0,-1142.7481160933735,-2.046050440185354e-08
S04,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,41,0,-1451.0234632757579,-3.929642389266519e-09
S05,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,41,0,-2135.974451941417,-6.311893230304122e-09
S05,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,43,0,-1770.5902739845214,-2.4645032681291923e-09
S05,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,42,0,-2047.4657717810205,-4.957746568834409e-08
S05,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,46,0,-2366.6746241417713,-2.711334445848479e-07
S06,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,17,0,-1282.025747635706,-9.595964911568444e-09
S06,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,55,0,-817.2202344630458,-1.866874299594201e-08
S06,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,54,0,-1016.0720649349821,-7.468025557955116e-06
S06,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,22,0,-1123.292704152333,-7.594161388624343e-08
S07,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,29,0,-2175.0751849690755,-4.677755896409508e-06
S07,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,50,0,-1213.4895032468773,-9.695895641925745e-09
S07,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,25,0,-1895.1373227929946,-2.2675408217764925e-08
S07,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,38,0,-1813.8572475084525,-5.730498742195778e-09
S08,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,20,0,-1281.941714750389,-5.017170678911498e-09
S08,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,31,0,-823.0494223221021,-8.420755648330669e-09
S08,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,54,0,-1015.9684916428386,-7.5530466006057395e-06
S08,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,68,0,-1123.3721517193806,-1.1975998859270476e-08
S09,erp-v3-development-04512-surface_only-eeg+05-meg+05,surface_only,1,True,True,True,29,0,-2174.9391646159975,-4.746868171423557e-06
S09,erp-v3-development-04580-deep_only-eeg+05-meg+05,deep_only,1,True,True,True,27,0,-1217.0145358456407,-1.743467237247387e-08
S09,erp-v3-development-04598-deep_plus_surface-eeg+05-meg+05,deep_plus_surface,1,True,True,True,27,0,-1894.9537461894754,-7.022663339739665e-09
S09,erp-v3-development-04666-deep_plus_two_surface-eeg+05-meg+05,deep_plus_two_surface,1,True,True,True,33,0,-1813.794096059631,-3.2024900065152906e-08
