version,manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,original_deep_detected,original_deep_false_positive,original_deep_threshold,comparison_deep_threshold,solver_converged,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,0,erp-v3-development-00000-surface_only-eeg-10-meg-10,0,erp-v3-development-source-000-surface_only,0,-10,-10,surface_only,[1317],,,,OASTER-ERP-v3,ok,,2.2828176000039093,3,3,1,0.8977314814814815,0.9516927546543341,0.9520647653000593,nan,1.3567653743567814,107.68434182847433,122.0595792568882,nan,nan,0,0.051163697227976514,nan,0,0,27,11,16,0,0,0.125,0.14,,107.68434182847433,122.0595792568882,nan,nan
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,0,erp-v3-development-00000-surface_only-eeg-10-meg-10,0,erp-v3-development-source-000-surface_only,0,-10,-10,surface_only,[1317],,,,OASTER-ERP-v4,ok,,44.85380680003436,3,0,1,0.7633024691358024,0.9800634412427369,0.9800207961972669,nan,1.875414886854761,86.92007659751583,100.4743283813331,nan,nan,0,0.0,nan,0,0,9,9,0,0,0,0.14,0.14,1,86.92007659751583,100.4743283813331,nan,nan
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,0,erp-v3-development-00000-surface_only-eeg-10-meg-10,0,erp-v3-development-source-000-surface_only,0,-10,-10,surface_only,[1317],,,,OASTER-ERP-v5,ok,,181.5569894000073,10,0,1,0.6096296296296296,0.992610873947587,0.9931298276886513,nan,1.948522800385173,39.731809296222096,7.28359507759414,nan,nan,0,1.0,nan,0,1,6,3,3,0,1,0.14,0.14,1,39.731809296222096,7.28359507759414,nan,nan
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,68,erp-v3-development-00068-deep_only-eeg-10-meg-10,68,erp-v3-development-source-068-deep_only,0,-10,-10,deep_only,[],7498,,,OASTER-ERP-v3,ok,,1.4707292999810306,3,3,0,0.98,0.9980034606681751,nan,1.0,1.9716578793882458,nan,nan,21.079943670130856,0.0,1,0.04739953499999307,0.0,0,0,17,5,12,0,0,0.125,0.14,,nan,nan,234.02911185627735,234.02911185627735
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,68,erp-v3-development-00068-deep_only-eeg-10-meg-10,68,erp-v3-development-source-068-deep_only,0,-10,-10,deep_only,[],7498,,,OASTER-ERP-v4,ok,,64.92123760003597,3,0,0,0.485,0.0009982696659124324,nan,0.5,1.9999999999999865,nan,nan,nan,nan,1,0.0,nan,0,0,4,4,0,0,0,0.14,0.14,0,nan,nan,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,68,erp-v3-development-00068-deep_only-eeg-10-meg-10,68,erp-v3-development-source-068-deep_only,0,-10,-10,deep_only,[],7498,,,OASTER-ERP-v5,ok,,63.45622180000646,10,0,0,1.0,1.0,nan,1.0,0.5244016263028789,nan,nan,7.032212906784249,0.0,1,1.0,0.0,1,0,4,2,2,1,0,0.14,0.14,1,nan,nan,7.032212906784249,0.0
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,86,erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,86,erp-v3-development-source-086-deep_plus_surface,0,-10,-10,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v3,ok,,2.4418533999851206,3,2,1,0.9716820987654322,0.9681963414205962,0.9668597742127154,0.9333333333333333,1.0520986668209125,59.435006846177274,105.10877252955277,24.316939409465416,10.00000054854849,1,0.04547141720645276,10.00000054854849,0,0,25,9,16,0,0,0.125,0.14,,59.435006846177274,105.10877252955277,234.02911185627735,234.02911185627735
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,86,erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,86,erp-v3-development-source-086-deep_plus_surface,0,-10,-10,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v4,ok,,61.01481209998019,3,0,1,0.6296759259259259,0.9307713914539517,0.9823900772430185,0.5,1.7044165799640094,0.0,4.2852815273583476,nan,nan,1,0.0,nan,0,0,1,1,0,0,0,0.14,0.14,0,0.0,4.2852815273583476,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,86,erp-v3-development-00086-deep_plus_surface-eeg-10-meg-10,86,erp-v3-development-source-086-deep_plus_surface,0,-10,-10,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,150.31203719996847,10,0,1,0.8301851851851851,0.9922755521224677,0.9922385620915033,0.9333333333333333,2.0553631862009833,4.336040431655803,7.755141529980423,29.488025295416733,41.23105692695092,1,1.0,41.23105692695092,0,0,5,1,4,0,0,0.14,0.14,1,4.336040431655803,7.755141529980423,234.02911185627735,234.02911185627735
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,154,erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,0,-10,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v3,ok,,2.9623866000038106,3,3,1,0.9154150086725844,0.9129787992161054,0.9117594101596945,0.6,1.7131182447792512,28.934947842423902,25.25822607353167,32.69991636892225,41.23105720329179,1,0.04803494060182396,41.23105720329179,0,0,27,11,16,0,0,0.125,0.14,,28.934947842423902,25.25822607353167,234.02911185627735,234.02911185627735
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,154,erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,0,-10,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v4,ok,,58.13915790000465,3,0,1,0.6170209672482401,0.9328278104400496,0.9648893587748901,0.5,1.7624831219636756,51.5233461248388,55.60141196395661,nan,nan,1,0.0,nan,0,0,18,18,0,0,0,0.14,0.14,1,51.5233461248388,55.60141196395661,234.02911185627735,234.02911185627735
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,0,eeg_-10_meg_-10.csv,154,erp-v3-development-00154-deep_plus_two_surface-eeg-10-meg-10,154,erp-v3-development-source-154-deep_plus_two_surface,0,-10,-10,deep_plus_two_surface,"[1317, 7204]",7498,0.5,0.0,OASTER-ERP-v5,ok,,133.28928560001077,10,0,1,0.7650865557936265,0.990294851238197,0.9904801916888656,0.9333333333333333,2.0470922246379146,6.511345271813278,10.892982850438937,11.525665216427578,14.142136204249597,1,1.0,14.142136204249597,0,0,5,3,2,0,0,0.14,0.14,1,6.511345271813278,10.892982850438937,234.02911185627735,234.02911185627735
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,OASTER-ERP-v3,ok,,2.261795800019172,3,4,1,0.9156790123456789,0.9702952685876912,0.9708259061200237,nan,0.7473817684570055,0.0,3.113665596949317,nan,nan,0,1.0,nan,0,1,12,11,1,0,1,0.125,0.14,,0.0,3.113665596949317,nan,nan
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,OASTER-ERP-v4,ok,,37.63296950003132,3,0,1,0.7645061728395062,0.9917363334519151,0.9917186571598336,nan,1.680531601234691,5.544409156333246,11.88893221290573,nan,nan,0,0.0,nan,0,0,1,1,0,0,0,0.14,0.14,1,5.544409156333246,11.88893221290573,nan,nan
v5,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,OASTER-ERP-v5,ok,,688.6672741000075,10,0,1,0.7488425925925927,0.9974134353136488,0.9979129530600119,nan,1.6910590591497832,0.0,7.28359507759414,nan,nan,0,1.0,nan,0,1,4,2,2,0,1,0.14,0.14,0,0.0,7.28359507759414,nan,nan
v3,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,OASTER-ERP-v3,ok,,1.6639659000065876,3,2,0,1.0,1.0,nan,1.0,0.349634095216626,nan,nan,0.0,0.0,1,1.0,0.0,1,0,578,577,1,1,0,0.125,0.14,,nan,nan,0.0,0.0
v4,0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,OASTER-ERP-v4,ok,,23.16553070000373,3,0,0,1.0,1.0,nan,1.0,0.0006592895283853803,nan,nan,0.0,0.0,1,1.0,0.0,1,0,1,0,1,1,0,0.14,0.14,0,nan,nan,0.0,0.0
