manifest_sha256,chunk_index,chunk_file,case_number,case_id,configuration_number,configuration_id,pair_index,eeg_snr_db,meg_snr_db,scenario,surface_centers,deep_index,deep_surface_ratio,correlation,method,status,error,elapsed_seconds,temporal_rank,selected_templates,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,OASTER-ERP-v5,ok,,688.6672741000075,10,0,1,0.7488425925925927,0.9974134353136488,0.9979129530600119,nan,1.6910590591497832,0.0,7.28359507759414,nan,nan,0,1.0,nan,0,1,4,2,2
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,MNE,ok,,1.4861205000197515,,,1,0.7420987654320987,0.8901636428317325,0.8902777777777776,nan,1.8995556537326794,28.264954479505466,45.1544855186095,nan,nan,0,0.2857398120241825,nan,0,1,349,340,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,dSPM,ok,,1.4802777000004426,,,1,0.7894753086419751,0.9002282698920906,0.9002822341057632,nan,1.8854782076576138,16.46088660704027,13.651898821213333,nan,nan,0,0.2035658245258845,nan,0,1,273,264,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,sLORETA,ok,,1.4876815000316128,,,1,0.6921913580246914,0.856553124629432,0.8569518716577538,nan,1.9455022948362135,30.99226018247954,11.887781338386977,nan,nan,0,0.41655156526653325,nan,0,1,396,387,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,eLORETA,ok,,1.482958500040695,,,1,0.7838271604938271,0.9099816198268706,0.9101604278074865,nan,1.8605440494894494,22.811186627615857,6.34456081436325,nan,nan,0,0.3215519621462468,nan,0,1,524,515,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,LCMV,ok,,0.4489948999835178,,,1,0.37932098765432104,0.5167348511798886,0.5178327391562686,nan,1.9995977107059404,54.62995412840494,65.65176164771285,nan,nan,0,0.3455419871234679,nan,0,1,404,388,16
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,Dipole fitting (grid),ok,,0.3523372000781819,,,1,0.5274845679012345,0.5276443732953872,0.5276440879382056,nan,1.7338648445486111,30.591184313202803,45.1544855186095,nan,nan,0,0.0,nan,0,0,2,2,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1128,erp-v3-development-01128-surface_only-eeg-10-meg+20,0,erp-v3-development-source-000-surface_only,6,-10,20,surface_only,[1317],,,,RAP-MUSIC,ok,,0.4324365999782458,,,1,0.527253086419753,0.52765178465552,0.5276515151515151,nan,1.6572727677068855,8.291974326966113,6.34456081436325,nan,nan,0,0.0,nan,0,0,2,2,0
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,OASTER-ERP-v5,ok,,113.04800810001325,10,0,0,1.0,1.0,nan,1.0,0.0006796732110155843,nan,nan,0.0,0.0,1,1.0,0.0,1,0,3,2,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,MNE,ok,,0.7233643999206834,,,0,1.0,1.0,nan,1.0,1.8471054597436132,nan,nan,12.617808432446742,0.0,1,1.0,0.0,1,0,452,445,7
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,dSPM,ok,,0.7249135999009013,,,0,1.0,0.9997337947557566,nan,0.9333333333333333,1.8876568774848785,nan,nan,14.930946085725013,10.00000054854849,1,1.0,10.00000054854849,1,0,837,828,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,sLORETA,ok,,0.7268465998931788,,,0,1.0,1.0,nan,1.0,1.8539570523763484,nan,nan,15.074112473895823,0.0,1,1.0,0.0,1,0,530,521,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,eLORETA,ok,,0.7233965998748317,,,0,1.0,1.0,nan,1.0,1.8885746232097123,nan,nan,15.30493656071926,0.0,1,1.0,0.0,1,0,939,930,9
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,LCMV,ok,,0.22631659999024123,,,0,1.0,1.0,nan,1.0,1.1073620730269913,nan,nan,0.0,0.0,1,1.0,0.0,1,0,245,244,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,Dipole fitting (grid),ok,,0.1925243999576196,,,0,1.0,1.0,nan,1.0,0.0006809237082915827,nan,nan,0.0,0.0,1,1.0,0.0,1,0,2,1,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1196,erp-v3-development-01196-deep_only-eeg-10-meg+20,68,erp-v3-development-source-068-deep_only,6,-10,20,deep_only,[],7498,,,RAP-MUSIC,ok,,0.2295352999935858,,,0,1.0,1.0,nan,1.0,0.0006896426326494932,nan,nan,0.0,0.0,1,1.0,0.0,1,0,2,1,1
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1214,erp-v3-development-01214-deep_plus_surface-eeg-10-meg+20,86,erp-v3-development-source-086-deep_plus_surface,6,-10,20,deep_plus_surface,[1317],7498,0.5,0.0,OASTER-ERP-v5,ok,,572.2324067000882,10,0,1,0.9301543209876544,0.9979424879744391,0.998083778966132,0.9333333333333333,1.1881361444569616,2.231160636897264,6.34456081436325,10.554095375485021,14.142136031724077,1,1.0,14.142136031724077,0,0,6,4,2
0989782ea769bc0a698e8e6f250795ee829398afc5984a904eeb9544a32432b5,6,eeg_-10_meg_+20.csv,1214,erp-v3-development-01214-deep_plus_surface-eeg-10-meg+20,86,erp-v3-development-source-086-deep_plus_surface,6,-10,20,deep_plus_surface,[1317],7498,0.5,0.0,MNE,ok,,0.8964345000567846,,,1,0.8494444444444444,0.91850005266669,0.919726678550208,0.7333333333333334,1.9033310170172546,26.739797790830213,26.223786202013184,18.026219664272976,14.142136031724077,1,0.24519764185153153,14.142136031724077,0,0,297,288,9
