method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.4035312353187274,nan,nan,0.0,0.0,1.0,0.0,2.0,1.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_surface,case_weighted_within_scenario,1,1,0.5138888888888888,0.5261893894175064,0.5276515151515151,0.5,1.7244469504573943,41.25519988262993,6.34456081436325,nan,nan,0.0,nan,3.0,3.0,0.0,41.25519988262993,6.34456081436325,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.4996969696969697,0.49979957242116513,0.4997991699022627,0.5,1.9999999999999996,16.601048202383588,11.946913084901082,nan,nan,0.0,nan,3.0,3.0,0.0,16.601048202383588,11.946913084901082,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-10,surface_only,case_weighted_within_scenario,1,1,0.5,0.4999332977588047,0.4999331550802139,nan,2.0000000000000004,4.336040431655803,7.755141529980423,nan,nan,0.0,nan,1.0,1.0,0.0,4.336040431655803,7.755141529980423,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,20,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.0006809237082915827,nan,nan,0.0,0.0,1.0,0.0,2.0,1.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,20,deep_plus_surface,case_weighted_within_scenario,1,1,0.5113888888888889,0.5261893894175064,0.5276515151515151,0.5,2.402476168061914,0.0,7.576068850441642,nan,nan,0.0,nan,1.0,1.0,0.0,0.0,7.576068850441642,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,20,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.5091077441077441,0.5165330482807768,0.51710749257852,0.5,1.8749622136716635,33.247381542124224,27.259913855298052,nan,nan,0.0,nan,3.0,3.0,0.0,33.247381542124224,27.259913855298052,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,20,surface_only,case_weighted_within_scenario,1,1,0.5274845679012345,0.5276443732953872,0.5276440879382056,nan,1.7338648445486111,30.591184313202803,45.1544855186095,nan,nan,0.0,nan,2.0,2.0,0.0,30.591184313202803,45.1544855186095,nan,nan,nan,1.0,nan
Dipole fitting (grid),5,5,deep_only,case_weighted_within_scenario,1,1,1.0,1.0,nan,1.0,0.019264657585312466,nan,nan,0.0,0.0,1.0,0.0,1.0,0.0,1.0,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),5,5,deep_plus_surface,case_weighted_within_scenario,1,1,0.4998611111111111,0.49979986657771847,0.4997994652406417,0.5,2.0000000000000004,25.477236071425594,7.755141529980423,nan,nan,0.0,nan,3.0,3.0,0.0,25.477236071425594,7.755141529980423,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),5,5,deep_plus_two_surface,case_weighted_within_scenario,1,1,0.49926767676767675,0.49979957242116513,0.4997991699022627,0.5,1.9999999999999996,5.61153654610642,8.634180934549669,nan,nan,0.0,nan,2.0,2.0,0.0,5.61153654610642,8.634180934549669,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),5,5,surface_only,case_weighted_within_scenario,1,1,0.49972222222222223,0.4997998932764141,0.4997994652406417,nan,2.0000000000000004,17.519367832272366,7.755141529980423,nan,nan,0.0,nan,3.0,3.0,0.0,17.519367832272366,7.755141529980423,nan,nan,nan,1.0,nan
