case_id,scenario,eeg_snr_db,meg_snr_db,score_kind,predictive_score,development_threshold,decision_p_value,decision_rule,training_eeg_weight,training_meg_weight,amplitude_evidence_mix,deep_present_decision,has_deep_true_posthoc,family_correct_posthoc,selected_family,conditional_local_AUC,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,active_count
erp-v6-development-00-eeg-10-meg-10,surface_only,-10,-10,excess,0.024168313458590534,0.12,nan,labeled development threshold; not deployable,1.0,0.7661064322699367,0.38305321613496834,0,0,1,null,0.9466975308641976,0.9865567439096852,nan,10.299228932614962,12.641081973653314,nan,47
erp-v6-development-01-eeg-10-meg-10,surface_only,-10,-10,excess,0.031629633352150334,0.12,nan,labeled development threshold; not deployable,0.925658234463111,1.0,0.5,0,0,1,null,0.9109362565044383,0.9747508090913708,nan,10.847552282577961,8.357090921099998,nan,274
erp-v6-development-02-eeg-10-meg-10,deep_only,-10,-10,excess,0.28195854590657177,0.12,nan,labeled development threshold; not deployable,1.0,0.716553365258214,0.358276682629107,1,1,1,full,1.0,nan,1.0,nan,nan,0.0,1
erp-v6-development-03-eeg-10-meg-10,deep_plus_surface,-10,-10,excess,0.14305210695261925,0.12,nan,labeled development threshold; not deployable,0.0,1.0,0.5,1,1,1,full,0.9484413580246913,0.9856283422459893,1.0,11.656647169020344,11.822374003563763,0.0,194
erp-v6-development-04-eeg-10-meg-10,deep_plus_two_surface,-10,-10,excess,0.14461724892423675,0.12,nan,labeled development threshold; not deployable,1.0,0.9323659189957721,0.4661829594978861,1,1,1,full,0.943282488181478,0.9801986140414864,1.0,12.74747289229784,8.357090921099998,0.0,202
erp-v6-development-00-eeg-10-meg+20,surface_only,-10,20,excess,0.10101470289797837,0.12,nan,labeled development threshold; not deployable,0.02961367179399312,1.0,0.5,0,0,1,null,0.966358024691358,0.9913101604278075,nan,10.616100042127345,7.28359507759414,nan,200
erp-v6-development-01-eeg-10-meg+20,surface_only,-10,20,excess,0.0071706980127854095,0.12,nan,labeled development threshold; not deployable,0.04054383476538944,1.0,0.5,0,0,1,null,0.967070707070707,0.9864866736533996,nan,11.286545576531694,6.635398365662565,nan,367
erp-v6-development-02-eeg-10-meg+20,deep_only,-10,20,excess,0.986389006014247,0.12,nan,labeled development threshold; not deployable,0.0,1.0,0.5,1,1,1,full,1.0,nan,1.0,nan,nan,0.0,1
erp-v6-development-03-eeg-10-meg+20,deep_plus_surface,-10,20,excess,0.6452922373072347,0.12,nan,labeled development threshold; not deployable,0.04774848293534993,1.0,0.5,1,1,1,full,0.9890586419753087,0.9947341057635175,1.0,9.520702102352391,7.28359507759414,0.0,195
erp-v6-development-04-eeg-10-meg+20,deep_plus_two_surface,-10,20,excess,0.3871846160725838,0.12,nan,labeled development threshold; not deployable,0.03801853068671838,1.0,0.5,1,1,1,full,0.9599631840288406,0.9820314772323303,1.0,10.421248023526436,11.592156564316303,0.0,287
erp-v6-development-00-eeg+20-meg-10,surface_only,20,-10,excess,0.06396211489506487,0.12,nan,labeled development threshold; not deployable,1.0,0.0366840795134566,0.0183420397567283,0,0,1,null,0.9890123456790124,0.9937537136066548,nan,10.842217987641645,9.582599556323082,nan,25
erp-v6-development-01-eeg+20-meg-10,surface_only,20,-10,excess,0.04175586379163441,0.12,nan,labeled development threshold; not deployable,1.0,0.056718203674533174,0.028359101837266587,0,0,1,null,0.9896648301193754,0.9895753020530839,nan,7.538750487379739,9.35550340252774,nan,49
erp-v6-development-02-eeg+20-meg-10,deep_only,20,-10,excess,0.8643095203206087,0.12,nan,labeled development threshold; not deployable,1.0,0.10953300857806403,0.054766504289032014,1,1,1,full,1.0,nan,1.0,nan,nan,0.0,1
erp-v6-development-03-eeg+20-meg-10,deep_plus_surface,20,-10,excess,0.6145272751377516,0.12,nan,labeled development threshold; not deployable,1.0,0.05628573362483462,0.02814286681241731,1,1,1,full,0.9914814814814814,0.9915923945335711,1.0,11.049103600728467,9.582599556323082,0.0,24
erp-v6-development-04-eeg+20-meg-10,deep_plus_two_surface,20,-10,excess,0.5722732510705408,0.12,nan,labeled development threshold; not deployable,1.0,0.06893139229050536,0.03446569614525268,1,1,1,full,0.9927634084957316,0.9902262685767841,1.0,7.964898945109162,9.35550340252774,0.0,45
erp-v6-development-00-eeg+05-meg+05,surface_only,5,5,excess,0.026489000755437146,0.12,nan,labeled development threshold; not deployable,1.0,0.807019710423496,0.403509855211748,0,0,1,null,0.9759567901234567,0.994281045751634,nan,7.680491587750084,7.755141529980423,nan,110
erp-v6-development-01-eeg+05-meg+05,surface_only,5,5,excess,0.0032011614400145496,0.12,nan,labeled development threshold; not deployable,0.7426804643711875,1.0,0.5,0,0,1,null,0.9742896133047647,0.9866020932498003,nan,9.53410520693521,7.046692973792214,nan,317
erp-v6-development-02-eeg+05-meg+05,deep_only,5,5,excess,0.8415430820256588,0.12,nan,labeled development threshold; not deployable,0.5674847472575333,1.0,0.5,1,1,1,full,0.995,nan,1.0,nan,nan,0.0,49
erp-v6-development-03-eeg+05-meg+05,deep_plus_surface,5,5,excess,0.432627873282545,0.12,nan,labeled development threshold; not deployable,0.6781957966968007,1.0,0.5,1,1,1,full,0.9881327160493827,0.9944221628045157,1.0,9.725884435318337,7.28359507759414,0.0,220
erp-v6-development-04-eeg+05-meg+05,deep_plus_two_surface,5,5,excess,0.35965929965512844,0.12,nan,labeled development threshold; not deployable,0.5662981516302072,1.0,0.5,1,1,1,full,0.9432489031731457,0.9740259740259739,1.0,10.284775595464005,13.132546972484306,0.0,269
