case_id,scenario,eeg_snr_db,meg_snr_db,score_kind,predictive_score,development_threshold,deep_present_decision,has_deep_true_posthoc,family_correct_posthoc,selected_family,conditional_local_AUC,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,active_count
erp-v6-development-00-eeg-10-meg-10,surface_only,-10,-10,excess,0.024168313458590534,0.12,0,0,1,null,0.9436111111111112,0.985925430778372,nan,10.691713034284025,12.641081973653314,nan,134
erp-v6-development-01-eeg-10-meg-10,surface_only,-10,-10,excess,0.031629633352150334,0.12,0,0,1,null,0.9109362565044383,0.9747508090913708,nan,10.847552282577961,8.357090921099998,nan,274
erp-v6-development-02-eeg-10-meg-10,deep_only,-10,-10,excess,0.28195854590657177,0.12,1,1,1,full,1.0,nan,1.0,nan,nan,0.0,1
erp-v6-development-03-eeg-10-meg-10,deep_plus_surface,-10,-10,excess,0.14305210695261925,0.12,1,1,1,full,0.9484413580246913,0.9856283422459893,1.0,11.656647169020344,11.822374003563763,0.0,194
erp-v6-development-04-eeg-10-meg-10,deep_plus_two_surface,-10,-10,excess,0.14461724892423675,0.12,1,1,1,full,0.9439954256368398,0.9803879021795837,1.0,13.58294442795599,8.357090921099998,0.0,227
erp-v6-development-00-eeg-10-meg+20,surface_only,-10,20,excess,0.10101470289797837,0.12,0,0,1,null,0.966358024691358,0.9913101604278075,nan,10.616100042127345,7.28359507759414,nan,200
erp-v6-development-01-eeg-10-meg+20,surface_only,-10,20,excess,0.0071706980127854095,0.12,0,0,1,null,0.967070707070707,0.9864866736533996,nan,11.286545576531694,6.635398365662565,nan,367
erp-v6-development-02-eeg-10-meg+20,deep_only,-10,20,excess,0.986389006014247,0.12,1,1,1,full,1.0,nan,1.0,nan,nan,0.0,1
erp-v6-development-03-eeg-10-meg+20,deep_plus_surface,-10,20,excess,0.6452922373072347,0.12,1,1,1,full,0.9890586419753087,0.9947341057635175,1.0,9.520702102352391,7.28359507759414,0.0,195
erp-v6-development-04-eeg-10-meg+20,deep_plus_two_surface,-10,20,excess,0.3871846160725838,0.12,1,1,1,full,0.9599631840288406,0.9820314772323303,1.0,10.421248023526436,11.592156564316303,0.0,287
erp-v6-development-00-eeg+20-meg-10,surface_only,20,-10,excess,0.06396211489506487,0.12,0,0,1,null,0.9333950617283949,0.9839275103980987,nan,16.86312327927298,27.054572893232315,nan,223
erp-v6-development-01-eeg+20-meg-10,surface_only,20,-10,excess,0.04175586379163441,0.12,0,0,1,null,0.9587030660136722,0.9846722775979797,nan,16.50769494215051,17.43821202485782,nan,288
erp-v6-development-02-eeg+20-meg-10,deep_only,20,-10,excess,0.8643095203206087,0.12,1,1,1,full,1.0,nan,1.0,nan,nan,0.0,1
erp-v6-development-03-eeg+20-meg-10,deep_plus_surface,20,-10,excess,0.6145272751377516,0.12,1,1,1,full,0.9658333333333333,0.9847593582887701,1.0,17.187639446113888,27.054572893232315,0.0,284
erp-v6-development-04-eeg+20-meg-10,deep_plus_two_surface,20,-10,excess,0.5722732510705408,0.12,1,1,1,full,0.9768892630003739,0.9881210151384343,1.0,16.752470345161985,16.682133785700874,0.0,347
erp-v6-development-00-eeg+05-meg+05,surface_only,5,5,excess,0.026489000755437146,0.12,0,0,1,null,0.9681790123456789,0.9927436125965539,nan,9.726329947404272,7.755141529980423,nan,207
erp-v6-development-01-eeg+05-meg+05,surface_only,5,5,excess,0.0032011614400145496,0.12,0,0,1,null,0.9742896133047647,0.9866020932498003,nan,9.53410520693521,7.046692973792214,nan,317
erp-v6-development-02-eeg+05-meg+05,deep_only,5,5,excess,0.8415430820256588,0.12,1,1,1,full,0.995,nan,1.0,nan,nan,0.0,49
erp-v6-development-03-eeg+05-meg+05,deep_plus_surface,5,5,excess,0.432627873282545,0.12,1,1,1,full,0.9881327160493827,0.9944221628045157,1.0,9.725884435318337,7.28359507759414,0.0,220
erp-v6-development-04-eeg+05-meg+05,deep_plus_two_surface,5,5,excess,0.35965929965512844,0.12,1,1,1,full,0.9432489031731457,0.9740259740259739,1.0,10.284775595464005,13.132546972484306,0.0,269
