case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,conditional_family,method,An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,deep_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_amplitude_ratio,deep_peak_distance_mm
erp-v6-development-00-eeg-10-meg-10,erp-v6-development-00,surface_only,-10,-10,H0_surface_only,selected_OASTER_baseline,0.9416512345679012,0.9908099134353137,0.9907902554961379,nan,14.058827165880029,nan,31.530702327656556,nan,0.0,nan
erp-v6-development-00-eeg-10-meg-10,erp-v6-development-00,surface_only,-10,-10,H0_surface_only,conditional_cross_eLORETA,0.9555555555555556,0.990676508952923,0.9906565656565657,nan,13.060946603960964,nan,7.755141529980423,nan,0.0,nan
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,H0_surface_only,selected_OASTER_baseline,0.7166792929292929,0.9285605694146915,0.9284075327445396,nan,6.584720898794917,nan,nan,nan,0.0,nan
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,H0_surface_only,conditional_cross_eLORETA,0.9638175951433527,0.9829313800013821,0.982894815813408,nan,28.776920182226828,nan,37.41071561828437,nan,0.0,nan
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,H1_surface_deep,selected_OASTER_baseline,1.0,0.9997337947557567,nan,0.8666666666666667,nan,11.568216712608088,nan,10.00000054854849,1.0,10.00000054854849
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,H1_surface_deep,conditional_cross_eLORETA,1.0,0.9997337947557567,nan,0.8666666666666667,nan,11.65519856667821,nan,14.142136031724077,1.0,14.142136031724077
erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,H1_surface_deep,selected_OASTER_baseline,0.7381944444444444,0.9690741195884974,0.9674242424242424,1.0,8.138812798339742,27.607259729502125,11.822374003563763,0.0,1.0,0.0
erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,H1_surface_deep,conditional_cross_eLORETA,0.8997222222222222,0.8435026860011938,0.8364824717765894,1.0,45.16364777541352,27.22030320784466,27.28245918731176,0.0,1.0,0.0
erp-v6-development-04-eeg-10-meg-10,erp-v6-development-04,deep_plus_two_surface,-10,-10,H1_surface_deep,selected_OASTER_baseline,0.732913393191171,0.7231204347051486,0.7135955050992377,1.0,7.2813609639742,21.484713762399238,nan,0.0,1.0,0.0
erp-v6-development-04-eeg-10-meg-10,erp-v6-development-04,deep_plus_two_surface,-10,-10,H1_surface_deep,conditional_cross_eLORETA,0.9819305853144238,0.9663014430785676,0.9670823311065044,0.9333333333333333,48.050343492047446,22.888529517440016,38.639858768420176,10.00000054854849,1.0,10.00000054854849
