case_id,scenario,eeg_snr_db,meg_snr_db,score,development_threshold,deep_present_decision,has_deep_true_posthoc,correct_posthoc
erp-v6-development-00-eeg-10-meg-10,surface_only,-10,-10,0.024168313458590534,0.12,0,0,1
erp-v6-development-01-eeg-10-meg-10,surface_only,-10,-10,0.031629633352150334,0.12,0,0,1
erp-v6-development-02-eeg-10-meg-10,deep_only,-10,-10,0.28195854590657177,0.12,1,1,1
erp-v6-development-03-eeg-10-meg-10,deep_plus_surface,-10,-10,0.14305210695261925,0.12,1,1,1
erp-v6-development-04-eeg-10-meg-10,deep_plus_two_surface,-10,-10,0.14461724892423675,0.12,1,1,1
erp-v6-development-00-eeg-10-meg+20,surface_only,-10,20,0.10101470289797837,0.12,0,0,1
erp-v6-development-01-eeg-10-meg+20,surface_only,-10,20,0.0071706980127854095,0.12,0,0,1
erp-v6-development-02-eeg-10-meg+20,deep_only,-10,20,0.986389006014247,0.12,1,1,1
erp-v6-development-03-eeg-10-meg+20,deep_plus_surface,-10,20,0.6452922373072347,0.12,1,1,1
erp-v6-development-04-eeg-10-meg+20,deep_plus_two_surface,-10,20,0.3871846160725838,0.12,1,1,1
erp-v6-development-00-eeg+20-meg-10,surface_only,20,-10,0.06396211489506487,0.12,0,0,1
erp-v6-development-01-eeg+20-meg-10,surface_only,20,-10,0.04175586379163441,0.12,0,0,1
erp-v6-development-02-eeg+20-meg-10,deep_only,20,-10,0.8643095203206087,0.12,1,1,1
erp-v6-development-03-eeg+20-meg-10,deep_plus_surface,20,-10,0.6145272751377516,0.12,1,1,1
erp-v6-development-04-eeg+20-meg-10,deep_plus_two_surface,20,-10,0.5722732510705408,0.12,1,1,1
erp-v6-development-00-eeg+05-meg+05,surface_only,5,5,0.026489000755437146,0.12,0,0,1
erp-v6-development-01-eeg+05-meg+05,surface_only,5,5,0.0032011614400145496,0.12,0,0,1
erp-v6-development-02-eeg+05-meg+05,deep_only,5,5,0.8415430820256588,0.12,1,1,1
erp-v6-development-03-eeg+05-meg+05,deep_plus_surface,5,5,0.432627873282545,0.12,1,1,1
erp-v6-development-04-eeg+05-meg+05,deep_plus_two_surface,5,5,0.35965929965512844,0.12,1,1,1
