case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,conditional_family,method,An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,deep_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_amplitude_ratio,deep_peak_distance_mm
erp-v6-development-00-eeg-10-meg-10,erp-v6-development-00,surface_only,-10,-10,H0_surface_only,selected_OASTER_baseline,0.9416512345679012,0.9908099134353137,0.9907902554961379,nan,14.058827165880029,nan,31.530702327656556,nan,0.0,nan
erp-v6-development-00-eeg-10-meg-10,erp-v6-development-00,surface_only,-10,-10,H0_surface_only,conditional_geometric_consensus,0.9710493827160493,0.9921513696193527,0.9921345811051693,nan,11.782642602057695,nan,9.582599556323082,nan,0.0,nan
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,H0_surface_only,selected_OASTER_baseline,0.7166792929292929,0.9285605694146915,0.9284075327445396,nan,6.584720898794917,nan,nan,nan,0.0,nan
erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,H0_surface_only,conditional_geometric_consensus,0.7088488419549026,0.9358901711468914,0.9357528358594835,nan,7.063445613224156,nan,nan,nan,0.0,nan
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,H1_surface_deep,selected_OASTER_baseline,1.0,0.9997337947557567,nan,0.8666666666666667,nan,11.568216712608088,nan,10.00000054854849,1.0,10.00000054854849
erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,H1_surface_deep,conditional_geometric_consensus,1.0,0.9997337947557567,nan,0.8666666666666667,nan,11.568216712608088,nan,10.00000054854849,1.0,10.00000054854849
erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,H1_surface_deep,selected_OASTER_baseline,0.7381944444444444,0.9690741195884974,0.9674242424242424,1.0,8.138812798339742,27.607259729502125,11.822374003563763,0.0,1.0,0.0
erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,H1_surface_deep,conditional_geometric_consensus,0.8227932098765433,0.9705417646852286,0.9689765300059417,1.0,8.330944025111052,27.607259729502125,11.822374003563763,0.0,1.0,0.0
erp-v6-development-04-eeg-10-meg-10,erp-v6-development-04,deep_plus_two_surface,-10,-10,H1_surface_deep,selected_OASTER_baseline,0.732913393191171,0.7231204347051486,0.7135955050992377,1.0,7.2813609639742,21.484713762399238,nan,0.0,1.0,0.0
erp-v6-development-04-eeg-10-meg-10,erp-v6-development-04,deep_plus_two_surface,-10,-10,H1_surface_deep,conditional_geometric_consensus,0.8197287691732136,0.7233787635845358,0.7138632785628874,1.0,7.440994231029171,21.484713762399238,nan,0.0,1.0,0.0
