candidate,family,formula,exponent,eeg_weight,balance_power,current_all_An_auc,current_all_H1_positive,current_all_H1_count,retired113_An_auc,hard6_An_auc,hard6_H0_max,hard6_H1_min,hard6_separation_margin,current_m10_m10_An_auc,current_m10_m10_H1_positive,current_m10_m10_H1_count,current_m10_p20_An_auc,current_m10_p20_H1_positive,current_m10_p20_H1_count,current_p20_m10_An_auc,current_p20_m10_H1_positive,current_p20_m10_H1_count,passes_frozen_rule,selected
per_modality_fixed_3_to_1_e05,per_modality_exponent,0.75*gE/(1+qE)^0.5 + 0.25*gM/(1+qM)^0.5,0.5,0.75,,0.9259259259259259,9,9,0.9909147869674184,1.0,0.012212093106158138,0.02235423734281175,0.010142144236653612,1.0,3,3,1.0,3,3,0.6666666666666666,3,3,0,0
per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.75*gE/(1+qE)^0.625 + 0.25*gM/(1+qM)^0.625,0.625,0.75,,0.9444444444444445,9,9,0.9902882205513784,1.0,0.012056394825365448,0.012926653622076196,0.0008702587967107482,1.0,3,3,1.0,3,3,0.8333333333333333,3,3,0,0
per_modality_fixed_3_to_1_e075,per_modality_exponent,0.75*gE/(1+qE)^0.75 + 0.25*gM/(1+qM)^0.75,0.75,0.75,,0.9814814814814815,9,9,0.9899749373433584,0.888888888888889,0.011902756122319802,0.006785201103112679,-0.005117555019207123,1.0,3,3,1.0,3,3,1.0,3,3,0,0
per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.75*gE/(1+qE)^0.875 + 0.25*gM/(1+qM)^0.875,0.875,0.75,,1.0,9,9,0.9874686716791979,0.888888888888889,0.011751148595091824,0.0031436324134079268,-0.008607516181683898,1.0,3,3,1.0,3,3,1.0,3,3,0,0
per_modality_fixed_3_to_1_e10,per_modality_exponent,0.75*gE/(1+qE)^1 + 0.25*gM/(1+qM)^1,1.0,0.75,,1.0,9,9,0.9833959899749374,0.7777777777777778,0.01160154425076273,0.0009843675683422451,-0.010617176682420485,1.0,3,3,1.0,3,3,1.0,3,3,0,0
sqrt_weight_eeg_0p5,sqrt_weight,0.5*hE + 0.5*hM; hm=gm/sqrt(1+qm),0.5,0.5,,0.9259259259259259,8,9,0.9918546365914787,1.0,0.011788660551552886,0.024388348614531357,0.012599688062978471,0.8333333333333333,2,3,1.0,3,3,1.0,3,3,0,0
sqrt_weight_eeg_0p6,sqrt_weight,0.6*hE + 0.4*hM; hm=gm/sqrt(1+qm),0.5,0.6,,0.9074074074074074,8,9,0.9915413533834585,1.0,0.011958033573394988,0.023574704105843516,0.011616670532448529,0.8333333333333333,2,3,1.0,3,3,0.8333333333333333,3,3,0,0
sqrt_weight_eeg_0p666667,sqrt_weight,0.666667*hE + 0.333333*hM; hm=gm/sqrt(1+qm),0.5,0.6666666666666666,,0.9444444444444445,8,9,0.9909147869674185,1.0,0.01207094892128972,0.023032274433384955,0.010961325512095235,1.0,2,3,1.0,3,3,0.8333333333333333,3,3,0,0
sqrt_weight_eeg_0p75,sqrt_weight,0.75*hE + 0.25*hM; hm=gm/sqrt(1+qm),0.5,0.75,,0.9259259259259259,9,9,0.9909147869674184,1.0,0.012212093106158138,0.02235423734281175,0.010142144236653612,1.0,3,3,1.0,3,3,0.6666666666666666,3,3,0,0
adaptive_balance_p0p5,adaptive_balance,wE*hE+(1-wE)*hM; b=min(1+q)/max(1+q); wE=0.5+0.25*b^0.5,0.5,,0.5,0.9629629629629629,9,9,0.9918546365914787,1.0,0.012202034004019433,0.02239224205228712,0.010190208048267686,1.0,3,3,1.0,3,3,1.0,3,3,1,0
adaptive_balance_p1,adaptive_balance,wE*hE+(1-wE)*hM; b=min(1+q)/max(1+q); wE=0.5+0.25*b^1,0.5,,1.0,0.9629629629629629,9,9,0.9918546365914787,1.0,0.012192213866822692,0.02242953669345777,0.010237322826635078,1.0,3,3,1.0,3,3,1.0,3,3,1,1
adaptive_balance_p2,adaptive_balance,wE*hE+(1-wE)*hM; b=min(1+q)/max(1+q); wE=0.5+0.25*b^2,0.5,,2.0,0.9629629629629629,9,9,0.9921679197994986,1.0,0.012173267914624142,0.022502048589805423,0.010328780675181282,1.0,3,3,1.0,3,3,1.0,3,3,1,0
reference_global_sqrt_fixed_3_to_1,reference_global,"(0.75*gE+0.25*gM)/sqrt(1+max(qE,qM))",0.5,0.75,,0.9259259259259259,8,9,0.9924812030075187,1.0,0.01198696508668583,0.02206949610277804,0.01008253101609221,1.0,3,3,1.0,3,3,0.6666666666666666,2,3,0,0
reference_snr_blind_consensus,reference_consensus,"[min(gE,gM)+sqrt(max(gE,0)*max(gM,0))]/[1+max(qE,qM)]^0.25",0.25,,,0.888888888888889,6,9,0.9890350877192982,0.7777777777777778,0.02336300856564151,-0.0010130548500368007,-0.02437606341567831,1.0,1,3,1.0,3,3,0.6666666666666666,2,3,0,0
