dataset,case_id,label_posthoc,eeg_snr_db_posthoc,meg_snr_db_posthoc,candidate,family,score
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,-0.012067486874077864
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,-0.011903906079060101
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,-0.011742334511544885
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,-0.011582748679942419
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,-0.011425125359850175
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.003350303541007923
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p6,sqrt_weight,-0.00281681262502639
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p666667,sqrt_weight,-0.006928223402382602
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p75,sqrt_weight,-0.012067486874077868
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,adaptive_balance_p0p5,adaptive_balance,-0.01183426663624241
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,adaptive_balance_p1,adaptive_balance,-0.01160457425018543
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,adaptive_balance_p2,adaptive_balance,-0.011155560381665194
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,reference_global_sqrt_fixed_3_to_1,reference_global,-0.012196766749290409
current15,erp-v6-localization-v5-development-00-eeg-10-meg-10,0,-10,-10,reference_snr_blind_consensus,reference_consensus,-0.02809332014853098
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,-0.06651155410748948
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,-0.06622917176929209
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,-0.06595465077203676
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,-0.06568777226109607
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,-0.06542832347461339
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p5,sqrt_weight,-0.057865409841764415
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p6,sqrt_weight,-0.06132386754805444
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p666667,sqrt_weight,-0.06362950601891444
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,sqrt_weight_eeg_0p75,sqrt_weight,-0.06651155410748948
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,adaptive_balance_p0p5,adaptive_balance,-0.06558820702228324
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,adaptive_balance_p1,adaptive_balance,-0.06476346687833968
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,adaptive_balance_p2,adaptive_balance,-0.06336880990281524
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,reference_global_sqrt_fixed_3_to_1,reference_global,-0.06049182095324252
current15,erp-v6-localization-v5-development-01-eeg-10-meg-10,0,-10,-10,reference_snr_blind_consensus,reference_consensus,-0.07103126475832257
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.025767086953535273
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.02541549221940974
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.025069015279537768
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.024727579022328475
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.02439110751810957
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.025025052442522896
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p6,sqrt_weight,0.025321866246927845
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p666667,sqrt_weight,0.02551974211653115
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.025767086953535277
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,adaptive_balance_p0p5,adaptive_balance,0.025742298082074632
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,adaptive_balance_p1,adaptive_balance,0.025718337323241063
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,adaptive_balance_p2,adaptive_balance,0.02567279040982666
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,reference_global_sqrt_fixed_3_to_1,reference_global,0.025570480729900313
current15,erp-v6-localization-v5-development-02-eeg-10-meg-10,1,-10,-10,reference_snr_blind_consensus,reference_consensus,0.048822600845068356
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e05,per_modality_exponent,0.015556033412507903
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0625,per_modality_exponent,0.015497698798113368
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e075,per_modality_exponent,0.01543859784735517
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e0875,per_modality_exponent,0.01537876531767483
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,per_modality_fixed_3_to_1_e10,per_modality_exponent,0.01531823497230793
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p5,sqrt_weight,0.007243907582873473
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p6,sqrt_weight,0.010568757914727245
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p666667,sqrt_weight,0.012785324802629758
current15,erp-v6-localization-v5-development-03-eeg-10-meg-10,1,-10,-10,sqrt_weight_eeg_0p75,sqrt_weight,0.015556033412507903
