case_id,development_role,label_posthoc,eeg_snr_db_posthoc_not_used,meg_snr_db_posthoc_not_used,old_fixed_3_to_1_score,eeg_gain,meg_gain,eeg_response_excess,meg_response_excess,cross_modal_consensus,snr_blind_consensus
erp-v6-hierarchical-v1-gate-calibration-000-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.013234145813510368,-0.01670628902709384,-0.0028177161727599522,0.5537147116172314,0.13676856510700208,-0.01670628902709384,-0.01496363724015665
erp-v6-hierarchical-v1-gate-calibration-001-eeg-10-meg-10,pure_surface_H0,0,-10,-10,0.015880585508640195,0.018416165325155172,0.00827384605909526,0.09626183182868853,0.15026424118729853,0.020617772375271237,0.01990867403234396
erp-v6-hierarchical-v1-gate-calibration-002-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.01751034275070327,-0.016247685253126157,-0.021298315243434607,0.1563997536254842,0.1195645362581188,-0.021298315243434607,-0.02053847781662108
erp-v6-hierarchical-v1-gate-calibration-003-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.004275552180711514,-0.005112217643938441,-0.0017655557910307318,0.3165920546410681,0.10610341968863501,-0.005112217643938441,-0.004772506487440194
erp-v6-hierarchical-v1-gate-calibration-004-eeg-10-meg-10,pure_surface_H0,0,-10,-10,5.735876246042383e-06,5.308070456400277e-06,7.0192936149687005e-06,0.15655470558723583,0.09323108460479546,1.1412077751809946e-05,1.1004572523933522e-05
erp-v6-hierarchical-v1-gate-calibration-005-eeg-10-meg-10,pure_surface_H0,0,-10,-10,0.010184381126564938,0.01893151957692805,-0.016057034224524397,0.27633737728542695,0.19703732033538301,-0.016057034224524397,-0.015106851534938591
erp-v6-hierarchical-v1-gate-calibration-006-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.014533403105760739,-0.018736906147497505,-0.001922893980550442,0.14532683650601896,0.07338367779063848,-0.018736906147497505,-0.018111962995272003
erp-v6-hierarchical-v1-gate-calibration-007-eeg-10-meg-10,pure_surface_H0,0,-10,-10,3.8089099364430932e-06,2.2685819351021856e-06,8.429893940465816e-06,0.783702182377439,0.14835874837290963,6.641670672844439e-06,5.747073499702353e-06
erp-v6-hierarchical-v1-gate-calibration-008-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.16738433874625228,-0.20066667275307318,-0.06753733672578956,0.18117815327938613,0.12514323346937273,-0.20066667275307318,-0.19248478143705447
erp-v6-hierarchical-v1-gate-calibration-009-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.0020726273710240505,0.0076717971392975285,-0.03130590090198879,0.0,0.17031657447632975,-0.03130590090198879,-0.030098882199188753
erp-v6-hierarchical-v1-gate-calibration-010-eeg-10-meg-10,pure_surface_H0,0,-10,-10,2.5400010311504987e-05,2.9535695476012857e-05,1.2992954817981384e-05,0.6163195233598557,0.25215017075695223,3.258264488284694e-05,2.8897117934846413e-05
erp-v6-hierarchical-v1-gate-calibration-011-eeg-10-meg-10,pure_surface_H0,0,-10,-10,2.332535493873023e-05,2.1988783886362258e-05,2.7335068095834142e-05,0.11889153618083736,0.14910783252904647,4.650540895749089e-05,4.4917261614408295e-05
erp-v6-hierarchical-v1-gate-calibration-012-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.0003815002056443025,-0.002131978182156837,0.004869933723893301,0.13568958727927272,0.06297020217697735,-0.002131978182156837,-0.002065227241482707
erp-v6-hierarchical-v1-gate-calibration-013-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.011110094854284948,-0.011817425240532824,-0.008988103695541315,0.0,0.19233099809402887,-0.011817425240532824,-0.011308985698022507
erp-v6-hierarchical-v1-gate-calibration-014-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.005878771932786492,-0.005816500201980509,-0.006065587125204442,0.17553384424535512,0.12990348789105655,-0.006065587125204442,-0.005825243191530204
erp-v6-hierarchical-v1-gate-calibration-015-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-3.4561312237480734e-05,-3.577404052841191e-05,-3.0923127364687206e-05,0.38434852312725165,0.2575502599144639,-3.577404052841191e-05,-3.298045434219675e-05
erp-v6-hierarchical-v1-gate-calibration-016-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.014445214636113951,-0.020149825637209552,0.0026686183671728553,0.9307678753672581,0.1712208931115462,-0.020149825637209552,-0.017093806218428445
erp-v6-hierarchical-v1-gate-calibration-017-eeg-10-meg-10,pure_surface_H0,0,-10,-10,4.473990943580079e-06,1.6999790934285837e-07,1.738597004629174e-05,0.1133136230901397,0.18167623327594384,1.889177527581498e-06,1.8119580787028476e-06
erp-v6-hierarchical-v1-gate-calibration-018-eeg-10-meg-10,pure_surface_H0,0,-10,-10,-0.01864017362664824,-0.022780987643150966,-0.006217731577140068,0.5758668063965942,0.3345247741183457,-0.022780987643150966,-0.02033258851152357
erp-v6-hierarchical-v1-gate-calibration-019-eeg-10-meg+20,pure_surface_H0,0,-10,20,0.0047964732040367206,0.011529518956523481,-0.015402664053423562,0.4158412173223174,142.17577640771478,-0.015402664053423562,-0.004452751477602445
erp-v6-hierarchical-v1-gate-calibration-020-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.4086457084086942,-0.04086854883433087,-1.5119771871317842,0.10912510666266972,148.08610947983024,-1.5119771871317842,-0.4326990514239515
erp-v6-hierarchical-v1-gate-calibration-021-eeg-10-meg+20,pure_surface_H0,0,-10,20,0.006939478483241061,-0.0028722814655095844,0.036374758329492995,0.2075720598756159,134.2342908516713,-0.0028722814655095844,-0.0008422776733263959
erp-v6-hierarchical-v1-gate-calibration-022-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.014645391314795324,0.006243523712243004,-0.07731213639591031,0.08928706894723315,66.28341109304614,-0.07731213639591031,-0.026994213237965328
erp-v6-hierarchical-v1-gate-calibration-023-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.15364703723888226,-0.006488231223285171,-0.5951234552856736,0.27025407661780165,66.44906061400212,-0.5951234552856736,-0.20766489692351553
erp-v6-hierarchical-v1-gate-calibration-024-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.027153301392069003,-0.009866977664413829,-0.07901227257503453,0.3240844513480057,130.58549057368393,-0.07901227257503453,-0.0233288081874367
erp-v6-hierarchical-v1-gate-calibration-025-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.016740701545624605,0.005511717081836538,-0.08349795742800803,0.17690482081809722,154.31783811778345,-0.08349795742800803,-0.023652144163878248
erp-v6-hierarchical-v1-gate-calibration-026-eeg-10-meg+20,pure_surface_H0,0,-10,20,0.007678314099872271,-0.00529996902453558,0.046613163473095826,1.061114211575637,199.32162304360313,-0.00529996902453558,-0.001408774149293308
erp-v6-hierarchical-v1-gate-calibration-027-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.005487478928979087,0.0002629345801927295,-0.022738719456494538,0.04642520328740796,215.2290373109811,-0.022738719456494538,-0.005929765238272217
erp-v6-hierarchical-v1-gate-calibration-028-eeg-10-meg+20,pure_surface_H0,0,-10,20,0.01727485502992474,-0.003118433619172818,0.07845472097721741,0.0,139.25423169791736,-0.003118433619172818,-0.0009061654728485454
erp-v6-hierarchical-v1-gate-calibration-029-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.1437659119187792,-0.09351284988391087,-0.29452509802338417,0.5647142922884296,221.23627818133403,-0.29452509802338417,-0.07628138512106884
erp-v6-hierarchical-v1-gate-calibration-030-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.033662928791147996,-0.0004052247858753719,-0.13343604080696586,0.08387677814676908,125.96843210859038,-0.13343604080696586,-0.03975110524370889
erp-v6-hierarchical-v1-gate-calibration-031-eeg-10-meg+20,pure_surface_H0,0,-10,20,0.0018030459715500271,0.0007638443248938673,0.004920650911518507,0.0,88.48071975925544,0.0027025581442976614,0.0008787041533491548
erp-v6-hierarchical-v1-gate-calibration-032-eeg-10-meg+20,pure_surface_H0,0,-10,20,-0.040124696116127546,-0.0072758105536452474,-0.13867135280357445,0.002135451666571919,87.95378235027947,-0.13867135280357445,-0.04515393957989293
erp-v6-hierarchical-v1-gate-calibration-033-eeg-10-meg+20,pure_surface_H0,0,-10,20,0.030863550707272647,0.022284683327786957,0.056600152845729716,0.1679362830551525,111.56689985886472,0.057799701031167404,0.017744873824928526
