method,case,selected_family,temporal_rotation,local_An_cal_AUC,An_auc,surface_An_auc,deep_An_auc,surface_SD_mm,surface_DLE_mm,deep_DLE_mm,deep_detected,negative_H1_deep_false_positive,held_out_score,all_converged,wall_seconds
Fixed source,01,v6-surface-only,none,0.6099137843077238,0.9583765231612651,0.9582873578607669,nan,21.561597415758904,17.21976185001905,nan,0,1,0.040437822777805714,1,507.284585299989
Fixed source,03,v6-full-ungated,none,0.834429012345679,0.9790035462237981,0.9783422459893047,0.8666666666666667,14.904171470720353,9.90334530420756,20.000001097096984,0,0,-0.04394132547439009,1,318.6869674000045
SVD source,01,v6-surface-only,training_sensor_svd_with_blockwise_null,0.5700258902152842,0.961458549282473,0.9613759862604513,nan,14.885643341286,21.687917683551042,nan,0,1,0.029287760655475507,1,1432.7983938999969
SVD source,03,v6-full-ungated,training_sensor_svd_with_blockwise_null,0.73625,0.9678662968294651,0.9665478312537136,1.0,8.01572496147177,11.822374003563763,0.0,1,0,0.01080446131108715,1,255.1981373000017
Fixed edge,01,v6-surface-only,none,0.6444332210998878,0.9589477806187087,0.9588598390589147,nan,6.5708729246946245,8.590118035656378,nan,0,1,0.0011409809794305148,1,139.53189870000642
Fixed edge,03,v6-full-ungated,none,0.8511882716049382,0.9961588427372633,0.9960710041592394,1.0,7.2813609657722385,9.90334530420756,0.0,1,0,0.02648673395770265,1,121.20188300000154
SVD edge,01,v6-surface-only,training_sensor_svd_with_blockwise_null,0.627488266503418,0.9772280192569046,0.9771792373996427,nan,13.894267970570688,17.21976185001905,nan,0,1,0.01152164890004852,1,226.02189220000582
SVD edge,03,v6-full-ungated,training_sensor_svd_with_blockwise_null,0.7381944444444444,0.9686949194199641,0.9674242424242424,1.0,8.147230191032557,11.822374003563763,0.0,1,0,0.006750669412821255,1,169.90382930000487
SVD convex source+edge,01,v6-surface-only,training_sensor_svd_with_blockwise_null,0.6454576063666972,0.9407781079400179,0.9406512435307315,nan,23.743236524891454,11.557318679391829,nan,0,1,-0.01067979489331411,1,123.98288239999965
SVD convex source+edge,03,v6-full-ungated,training_sensor_svd_with_blockwise_null,0.73625,0.962403005512447,0.9607694592988711,1.0,8.013854136919885,11.822374003563763,0.0,1,0,0.01120824632133633,1,162.75150980000035
