case,scenario,family,base_local_AUC,base_deep_false_positive,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count
00,surface_only,null,0.8874382716049383,0,0.9406790123456791,0.9861704019921737,0.9861408199643493,nan,2.0000000000000004,9.816564904855172,nan,11.246353654562752,nan,0,0.0,nan,0,0,160,160,0
00,surface_only,full,0.513179012345679,1,0.9396604938271605,0.985762777184869,0.9859997029114675,nan,1.9999999999999996,9.750302017703632,nan,11.246353654562752,nan,0,1.0,nan,0,1,161,159,2
01,surface_only,null,0.5620973625140291,0,0.9219249311294764,0.9813281735885564,0.9812881750315097,nan,1.9999999999999996,14.813037728494189,nan,11.557318679391829,nan,0,0.0,nan,0,0,172,172,0
01,surface_only,full,0.5159743265993266,1,0.9213827670645853,0.9811531108193399,0.9813805107086302,nan,2.0000000000000004,15.025792054352653,nan,11.557318679391829,nan,0,1.0,nan,0,1,173,171,2
02,deep_only,null,0.5,0,0.485,0.2516305071209903,nan,0.5,1.9999999999999991,nan,nan,nan,nan,1,0.0,nan,0,0,44,44,0
02,deep_only,full,1.0,0,1.0,1.0,nan,1.0,2.0000000000000004,nan,7.010854794885345,nan,0.0,1,1.0,0.0,1,0,2,0,2
03,deep_plus_surface,null,0.48569444444444443,0,0.703395061728395,0.9484112215160984,0.9870617944147355,0.5,1.9999999999999991,11.967480393214775,nan,11.822374003563763,nan,1,0.0,nan,0,0,201,201,0
03,deep_plus_surface,full,0.7381944444444444,0,0.9560030864197531,0.9886836838594151,0.988116458704694,1.0,2.0000000000000004,11.966890056233941,16.496557864312454,11.822374003563763,0.0,1,1.0,0.0,1,0,203,201,2
04,deep_plus_two_surface,null,0.6964808863041186,0,0.7842380879502091,0.9480870301086761,0.9807064602656498,0.5,2.0000000000000004,8.188724622262633,nan,nan,nan,1,0.0,nan,0,0,92,92,0
04,deep_plus_two_surface,full,0.8712880488385538,0,0.9590452504846444,0.9821240869410297,0.981652900956136,1.0,1.9999999999999996,8.188728079322342,3.3119828896559724,nan,0.0,1,1.0,0.0,1,0,94,92,2
