variant,scope,method,null_converged,full_converged,both_converged,raw_amplitude_deep_TP,raw_amplitude_deep_FP,true_deep_cases,true_surface_only_cases,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,raw_amplitude_deep_sensitivity,raw_amplitude_deep_specificity,raw_amplitude_deep_balanced_accuracy
"IRLS wide, 100",paired_5_5,v6-full-ungated,4,4,4,1,1,3,2,5,4,0.6582796483352038,0.8516206291030773,0.8227283957109113,0.5555555555555555,1.7028123582001,10.143118984539806,12.4640786980245,13.602452132886185,9.428090802833065,0.8003452751706011,9.428090802833065,343.4,338.8,4.6,10.143118984539806,12.4640786980245,160.19376923423803,156.0194079041849,0.3333333333333333,0.5,0.41666666666666663
"IRLS wide, 100",paired_5_5,v6-surface-only,4,4,4,0,0,3,2,5,4,0.49969837261503935,0.651799227828033,0.8321199475788332,0.5,1.9373057759287218,10.215282004514618,11.939030973079175,nan,nan,0.0,nan,5.2,5.2,0.0,10.215282004514618,11.939030973079175,234.02911185627735,234.02911185627735,0.0,1.0,0.5
"IRLS wide, 300",paired_5_5,v6-full-ungated,5,5,5,1,1,3,2,5,4,0.65828582117471,0.8518800267077257,0.8230533362932047,0.5555555555555555,1.702560533227763,10.144018724970762,12.4640786980245,13.602452132886185,9.428090802833065,0.80034817622732,9.428090802833065,343.4,338.8,4.6,10.144018724970762,12.4640786980245,160.19376923423803,156.0194079041849,0.3333333333333333,0.5,0.41666666666666663
"IRLS wide, 300",paired_5_5,v6-surface-only,5,5,5,0,0,3,2,5,4,0.49969837261503935,0.651809603732219,0.832132945202125,0.5,1.9372925482251149,10.21532885858566,11.939030973079175,nan,nan,0.0,nan,5.2,5.2,0.0,10.21532885858566,11.939030973079175,234.02911185627735,234.02911185627735,0.0,1.0,0.5
"IRLS wide, 300",all_20_development,v6-full-ungated,20,20,20,6,5,12,8,20,4,0.7186504735911302,0.8710911553144511,0.8440140204408255,0.6833333333333335,1.5810219141111872,8.526431303296565,12.975657029755983,12.80845105370261,11.260009292976173,0.8005266530329169,9.002599209722659,460.25,455.6,4.65,8.526431303296565,26.791497956413572,120.98096732370993,118.68122268623007,0.5,0.375,0.4375
"IRLS wide, 300",all_20_development,v6-surface-only,20,20,20,0,0,12,8,20,4,0.5109034654201953,0.6621029864431123,0.8455476616048232,0.5,1.8101384168539632,8.695305499861341,12.749572398523387,nan,nan,0.0,nan,81.0,81.0,0.0,8.695305499861341,26.57954361463301,234.02911185627735,234.02911185627735,0.0,1.0,0.5
ADMM,paired_5_5,v6-full-ungated,3,5,3,1,2,3,2,5,4,0.7409312825221916,0.9863200091212496,0.9830431355583094,0.9111111111111111,1.5109043064424228,8.464816611298088,12.892953805827684,13.26919962818556,9.428090802833065,1.0,9.428090802833065,5.8,2.6,3.2,8.464816611298088,12.892953805827684,156.0194079041849,156.0194079041849,0.3333333333333333,0.0,0.16666666666666666
ADMM,paired_5_5,v6-surface-only,3,5,3,0,0,3,2,5,4,0.5826783746556474,0.7671749654624587,0.9798569135719656,0.5,1.915817298463908,8.353326496717996,12.603002863125596,nan,nan,0.0,nan,5.6,5.6,0.0,8.353326496717996,67.95953011141353,234.02911185627735,234.02911185627735,0.0,1.0,0.5
IRLS near-convex,paired_5_5,v6-full-ungated,3,4,3,1,0,3,2,5,4,0.8510150749923477,0.9536428645085963,0.9424877996771751,0.7777777777777778,1.3544798938359306,8.289867530860516,13.038346289436124,9.428090802833063,9.428090802833065,0.6089003930508712,9.428090802833065,314.2,310.6,3.6,8.289867530860516,13.038346289436124,156.0194079041849,156.0194079041849,0.3333333333333333,1.0,0.6666666666666666
IRLS near-convex,paired_5_5,v6-surface-only,3,4,3,0,0,3,2,5,4,0.5979915654865151,0.7383007038844516,0.9428890193168047,0.5,1.6932987448831223,8.291652765563313,13.038346289436124,nan,nan,0.0,nan,14.4,14.4,0.0,8.291652765563313,13.038346289436124,234.02911185627735,234.02911185627735,0.0,1.0,0.5
