variant,paired_5_5,case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,method,status,has_surface_true,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,deep_sd_mm,surface_dle_mm,deep_dle_mm,has_deep_true,deep_score,deep_peak_distance_mm,deep_detected,deep_false_positive,active_count,surface_active_count,deep_active_count,null_converged,full_converged,both_converged,prediction_score,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized
"IRLS wide, 100",1,erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-surface-only,ok,1,0.659969135802469,0.9327270840744692,0.932583184789067,nan,1.8352224069112417,10.460359754599942,nan,10.364375893930148,nan,0,0.0,nan,0,0,7,7,0,0,0,0,-5.232597545204484e-05,10.460359754599942,10.364375893930148,nan,nan
"IRLS wide, 100",1,erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-full-ungated,ok,1,0.6599382716049381,0.9312966915688367,0.9312537136066547,nan,1.8365109077525557,10.456650803477515,nan,10.364375893930148,nan,0,0.0017263758530054495,nan,0,0,23,7,16,0,0,0,-5.232597545204484e-05,10.456650803477515,10.364375893930148,nan,nan
"IRLS wide, 100",1,erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-surface-only,ok,1,0.5437093153759821,0.7276944693985672,0.7271111398377661,nan,1.9581702659344007,9.325054530842706,nan,13.132546972484306,nan,0,0.0,nan,0,0,6,6,0,1,1,1,0.006514946568334512,9.325054530842706,13.132546972484306,nan,nan
"IRLS wide, 100",1,erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-full-ungated,ok,1,0.5169346240179574,0.6886186165434316,0.6885517610722018,nan,1.9765980696394554,9.335425250600874,nan,13.132546972484306,nan,0,1.0,nan,0,1,7,6,1,1,1,1,0.006514946568334512,9.335425250600874,13.132546972484306,nan,nan
"IRLS wide, 100",1,erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-surface-only,ok,0,0.49,0.0009982696659124324,nan,0.5,2.0000000000000036,nan,nan,nan,nan,1,0.0,nan,0,0,2,2,0,1,1,1,0.10801807279875363,nan,nan,234.02911185627735,234.02911185627735
"IRLS wide, 100",1,erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-full-ungated,ok,0,1.0,1.0,nan,1.0,0.791649165415007,nan,12.523083990159359,nan,0.0,1,1.0,0.0,1,0,1672,1668,4,1,1,1,0.10801807279875363,nan,nan,12.523083990159359,0.0
"IRLS wide, 100",1,erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-surface-only,ok,1,0.3508641975308642,0.8007408447737088,0.8448603683897801,0.5,1.9442570486988955,10.855836820934439,nan,10.364375893930148,nan,1,0.0,nan,0,0,6,6,0,1,1,1,-0.0025640821853482824,10.855836820934439,10.364375893930148,234.02911185627735,234.02911185627735
"IRLS wide, 100",1,erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-full-ungated,ok,1,0.5479166666666666,0.8172676521189565,0.8308303624480095,0.5333333333333333,1.9709276932405793,10.650068848517494,14.142136204249597,10.364375893930148,14.142136204249597,1,1.0,14.142136204249597,0,0,7,6,1,1,1,1,-0.0025640821853482824,10.650068848517494,10.364375893930148,234.02911185627735,234.02911185627735
"IRLS wide, 100",1,erp-v6-development-04-eeg+05-meg+05,erp-v6-development-04,deep_plus_two_surface,5,5,v6-surface-only,ok,1,0.45394921436588104,0.7968354712275074,0.8239250972987198,0.5,1.9488791580990676,10.219876911681387,nan,13.8948251319721,nan,1,0.0,nan,0,0,5,5,0,1,1,1,-0.0022645409105274336,10.219876911681387,13.8948251319721,234.02911185627735,234.02911185627735
"IRLS wide, 100",1,erp-v6-development-04-eeg+05-meg+05,erp-v6-development-04,deep_plus_two_surface,5,5,v6-full-ungated,ok,1,0.5666086793864572,0.8209201852841618,0.8402777457167787,0.1333333333333333,1.9383759549529027,10.130331035563335,14.142136204249597,15.995016031753396,14.142136204249597,1,1.0,14.142136204249597,0,0,8,7,1,1,1,1,-0.0022645409105274336,10.130331035563335,15.995016031753396,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-00-eeg-10-meg-10,erp-v6-development-00,surface_only,-10,-10,v6-surface-only,ok,1,0.7414660493827161,0.8933949958496383,0.893166963755199,nan,1.6426428688013341,9.600534224673675,nan,8.574673646301777,nan,0,0.0,nan,0,0,2,2,0,1,1,1,-2.9266979062529184e-05,9.600534224673675,8.574673646301777,nan,nan
"IRLS wide, 300",0,erp-v6-development-00-eeg-10-meg-10,erp-v6-development-00,surface_only,-10,-10,v6-full-ungated,ok,1,0.7414660493827161,0.8930021937625994,0.893100118835413,nan,1.6426886319274998,9.601007998198229,nan,8.574673646301777,nan,0,0.003858722275394737,nan,0,0,18,2,16,1,1,1,-2.9266979062529184e-05,9.601007998198229,8.574673646301777,nan,nan
"IRLS wide, 300",0,erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,v6-surface-only,ok,1,0.5091412228344047,0.4970538778706839,0.49597647286946966,nan,1.9945322361152111,9.403958357129873,nan,11.960061875354995,nan,0,0.0,nan,0,0,4,4,0,1,1,1,0.002432743769072754,9.403958357129873,11.960061875354995,nan,nan
"IRLS wide, 300",0,erp-v6-development-01-eeg-10-meg-10,erp-v6-development-01,surface_only,-10,-10,v6-full-ungated,ok,1,0.509314738292011,0.5030106189390274,0.5029755171952115,nan,2.0002348142204576,8.170470148848835,nan,11.960061875354995,nan,0,1.0,nan,0,1,5,3,2,1,1,1,0.002432743769072754,8.170470148848835,11.960061875354995,nan,nan
"IRLS wide, 300",0,erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,v6-surface-only,ok,0,0.0,0.0009982696659124324,nan,0.5,2.0000000000000004,nan,nan,nan,nan,1,0.0,nan,0,0,1541,1541,0,1,1,1,-0.011894515563641158,nan,nan,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-02-eeg-10-meg-10,erp-v6-development-02,deep_only,-10,-10,v6-full-ungated,ok,0,1.0,0.999600692133635,nan,0.8,1.800857423492748,nan,13.464436967415917,nan,10.00000054854849,1,1.0,10.00000054854849,1,0,2773,2769,4,1,1,1,-0.011894515563641158,nan,nan,13.464436967415917,10.00000054854849
"IRLS wide, 300",0,erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,v6-surface-only,ok,1,0.3570679012345679,0.6934412415294406,0.7313725490196078,0.5,1.9256496559806469,5.904875959208941,nan,10.364375893930148,nan,1,0.0,nan,0,0,1,1,0,1,1,1,-6.516293630756518e-05,5.904875959208941,10.364375893930148,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-03-eeg-10-meg-10,erp-v6-development-03,deep_plus_surface,-10,-10,v6-full-ungated,ok,1,0.7195679012345679,0.7345247708998981,0.7312165775401069,0.7333333333333334,1.9251182443093797,5.904875959208941,28.397799399522647,10.364375893930148,41.23105720329179,1,0.0030419638522241736,14.142136204249597,0,0,17,1,16,1,1,1,-6.516293630756518e-05,5.904875959208941,10.364375893930148,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-04-eeg-10-meg-10,erp-v6-development-04,deep_plus_two_surface,-10,-10,v6-surface-only,ok,1,0.428963030983233,0.715025387493319,0.7391240114311568,0.5,1.934786814873465,5.544409156333246,nan,nan,nan,1,0.0,nan,0,0,1,1,0,1,1,1,-0.020440424120774726,5.544409156333246,234.02911185627735,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-04-eeg-10-meg-10,erp-v6-development-04,deep_plus_two_surface,-10,-10,v6-full-ungated,ok,1,0.5647126993844166,0.6881703189025477,0.7115571950268004,0.1333333333333333,1.9820612755353928,0.0,16.833745213690758,nan,10.00000054854849,1,1.0,10.00000054854849,1,0,4,1,3,1,1,1,-0.020440424120774726,0.0,234.02911185627735,16.833745213690758,10.00000054854849
"IRLS wide, 300",0,erp-v6-development-00-eeg-10-meg+20,erp-v6-development-00,surface_only,-10,20,v6-surface-only,ok,1,0.8049691358024691,0.9976283647575004,0.9976232917409389,nan,1.4181011318756445,2.365311761913497,nan,6.34456081436325,nan,0,0.0,nan,0,0,2,2,0,1,1,1,-0.010545945698647476,2.365311761913497,6.34456081436325,nan,nan
"IRLS wide, 300",0,erp-v6-development-00-eeg-10-meg+20,erp-v6-development-00,surface_only,-10,20,v6-full-ungated,ok,1,0.7772222222222223,0.9978877623621487,0.9980169340463458,nan,1.628908258701335,2.6782770298800083,nan,6.34456081436325,nan,0,1.0,nan,0,1,3,2,1,1,1,1,-0.010545945698647476,2.6782770298800083,6.34456081436325,nan,nan
"IRLS wide, 300",0,erp-v6-development-01-eeg-10-meg+20,erp-v6-development-01,surface_only,-10,20,v6-surface-only,ok,1,0.6951305989184777,0.8268905627346648,0.8265197298258087,nan,1.7483374207640217,5.92506883753192,nan,13.839603434909534,nan,0,0.0,nan,0,0,6,6,0,1,1,1,0.1739602446559775,5.92506883753192,13.839603434909534,nan,nan
"IRLS wide, 300",0,erp-v6-development-01-eeg-10-meg+20,erp-v6-development-01,surface_only,-10,20,v6-full-ungated,ok,1,0.6396362616059585,0.8366848639808351,0.8370229130982776,nan,1.9501664705401527,6.627364004609715,nan,13.839603434909534,nan,0,1.0,nan,0,1,10,8,2,1,1,1,0.1739602446559775,6.627364004609715,13.839603434909534,nan,nan
"IRLS wide, 300",0,erp-v6-development-02-eeg-10-meg+20,erp-v6-development-02,deep_only,-10,20,v6-surface-only,ok,0,0.485,0.0009982696659124324,nan,0.5,2.0000000000000058,nan,nan,nan,nan,1,0.0,nan,0,0,4,4,0,1,1,1,0.7932280880364696,nan,nan,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-02-eeg-10-meg+20,erp-v6-development-02,deep_only,-10,20,v6-full-ungated,ok,0,1.0,1.0,nan,1.0,0.0012796197440966624,nan,0.0,nan,0.0,1,1.0,0.0,1,0,3209,3208,1,1,1,1,0.7932280880364696,nan,nan,0.0,0.0
"IRLS wide, 300",0,erp-v6-development-03-eeg-10-meg+20,erp-v6-development-03,deep_plus_surface,-10,20,v6-surface-only,ok,1,0.4825462962962963,0.944773708788315,0.9971999405822936,0.5,1.2963016715559779,0.0,nan,7.28359507759414,nan,1,0.0,nan,0,0,2,2,0,1,1,1,0.0793365854464775,0.0,7.28359507759414,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-03-eeg-10-meg+20,erp-v6-development-03,deep_plus_surface,-10,20,v6-full-ungated,ok,1,0.9299999999999999,0.9940591973596433,0.9938576945929888,1.0,1.1836506104661788,3.5772183459836766,4.775670575589159,8.574673646301777,0.0,1,1.0,0.0,1,0,7,5,2,1,1,1,0.0793365854464775,3.5772183459836766,8.574673646301777,4.775670575589159,0.0
"IRLS wide, 300",0,erp-v6-development-04-eeg-10-meg+20,erp-v6-development-04,deep_plus_two_surface,-10,20,v6-surface-only,ok,1,0.5101589973812196,0.8029284696240869,0.830240857613769,0.5,1.794251386308777,7.309176437467774,nan,13.8948251319721,nan,1,0.0,nan,0,0,6,6,0,1,1,1,0.1080153136050388,7.309176437467774,13.8948251319721,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-04-eeg-10-meg+20,erp-v6-development-04,deep_plus_two_surface,-10,20,v6-full-ungated,ok,1,0.7525252525252526,0.8324826296098342,0.8270414264015402,0.8,1.786829815236911,7.780839042590275,21.138131681055075,13.8948251319721,17.320508398326936,1,1.0,17.320508398326936,0,0,12,7,5,1,1,1,0.1080153136050388,7.780839042590275,13.8948251319721,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-00-eeg+20-meg-10,erp-v6-development-00,surface_only,20,-10,v6-surface-only,ok,1,0.7156481481481481,0.9694948416933477,0.9694295900178254,nan,1.609174094831408,9.021867671250615,nan,18.312121599088904,nan,0,0.0,nan,0,0,2,2,0,1,1,1,-0.06407780517835614,9.021867671250615,18.312121599088904,nan,nan
"IRLS wide, 300",0,erp-v6-development-00-eeg+20-meg-10,erp-v6-development-00,surface_only,20,-10,v6-full-ungated,ok,1,0.663827160493827,0.9800486185224713,0.9801693404634582,nan,1.737954189942666,9.579844322671844,nan,18.312121599088904,nan,0,1.0,nan,0,1,3,2,1,1,1,1,-0.06407780517835614,9.579844322671844,18.312121599088904,nan,nan
"IRLS wide, 300",0,erp-v6-development-01-eeg+20-meg-10,erp-v6-development-01,surface_only,20,-10,v6-surface-only,ok,1,0.6039478114478114,0.8581116255499504,0.8578076740181255,nan,1.7458917539304615,17.015495649017755,nan,20.057893136838867,nan,0,0.0,nan,0,0,6,6,0,1,1,1,0.0005597770885227518,17.015495649017755,20.057893136838867,nan,nan
"IRLS wide, 300",0,erp-v6-development-01-eeg+20-meg-10,erp-v6-development-01,surface_only,20,-10,v6-full-ungated,ok,1,0.6039478114478114,0.8578398175661668,0.8581077649687675,nan,1.7458436312962762,17.010790911363117,nan,20.057893136838867,nan,0,0.0018914933941200785,nan,0,0,20,6,14,1,1,1,0.0005597770885227518,17.010790911363117,20.057893136838867,nan,nan
"IRLS wide, 300",0,erp-v6-development-02-eeg+20-meg-10,erp-v6-development-02,deep_only,20,-10,v6-surface-only,ok,0,0.49,0.0009982696659124324,nan,0.5,1.9999999999999964,nan,nan,nan,nan,1,0.0,nan,0,0,9,9,0,1,1,1,0.07957775456434248,nan,nan,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-02-eeg+20-meg-10,erp-v6-development-02,deep_only,20,-10,v6-full-ungated,ok,0,1.0,1.0,nan,1.0,0.1267973589288835,nan,0.0,nan,0.0,1,1.0,0.0,1,0,1398,1397,1,1,1,1,0.07957775456434248,nan,nan,0.0,0.0
"IRLS wide, 300",0,erp-v6-development-03-eeg+20-meg-10,erp-v6-development-03,deep_plus_surface,20,-10,v6-surface-only,ok,1,0.41078703703703706,0.9225062322249922,0.973648247177659,0.5,1.6181173895805625,9.186951832066377,nan,7.28359507759414,nan,1,0.0,nan,0,0,3,3,0,1,1,1,0.04921946162820459,9.186951832066377,7.28359507759414,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-03-eeg+20-meg-10,erp-v6-development-03,deep_plus_surface,20,-10,v6-full-ungated,ok,1,0.6085493827160493,0.9537165127628946,0.9643790849673203,0.6,1.734301154634542,8.769062197882906,14.142136204249597,7.28359507759414,14.142136204249597,1,1.0,14.142136204249597,0,0,4,3,1,1,1,1,0.04921946162820459,8.769062197882906,7.28359507759414,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-04-eeg+20-meg-10,erp-v6-development-04,deep_plus_two_surface,20,-10,v6-surface-only,ok,1,0.484751215862327,0.8587675930874753,0.8881214768168197,0.5,1.7885191713361808,16.985922676845128,nan,25.57215639758625,nan,1,0.0,nan,0,0,5,5,0,1,1,1,0.005437028322229079,16.985922676845128,25.57215639758625,234.02911185627735,234.02911185627735
"IRLS wide, 300",0,erp-v6-development-04-eeg+20-meg-10,erp-v6-development-04,deep_plus_two_surface,20,-10,v6-full-ungated,ok,1,0.57081088664422,0.8913949759486904,0.9145664147441609,0.4666666666666667,1.8609441171084113,16.147075991624458,14.142136204249596,25.57215639758625,14.142136204249597,1,1.0,14.142136204249597,0,0,5,4,1,1,1,1,0.005437028322229079,16.147075991624458,25.57215639758625,234.02911185627735,234.02911185627735
"IRLS wide, 300",1,erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-surface-only,ok,1,0.659969135802469,0.932778963595399,0.9326351752822339,nan,1.8351562683932057,10.460547170884114,nan,10.364375893930148,nan,0,0.0,nan,0,0,7,7,0,1,1,1,-4.815624059522428e-06,10.460547170884114,10.364375893930148,nan,nan
"IRLS wide, 300",1,erp-v6-development-00-eeg+05-meg+05,erp-v6-development-00,surface_only,5,5,v6-full-ungated,ok,1,0.659969135802469,0.9325936795920786,0.9325534759358287,nan,1.8352517828908708,10.460249765201343,nan,10.364375893930148,nan,0,0.001740881136600205,nan,0,0,23,7,16,1,1,1,-4.815624059522428e-06,10.460249765201343,10.364375893930148,nan,nan
"IRLS wide, 300",1,erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-surface-only,ok,1,0.5437093153759821,0.7276944693985672,0.7271111398377661,nan,1.9581702659344007,9.325054530842706,nan,13.132546972484306,nan,0,0.0,nan,0,0,6,6,0,1,1,1,0.006514946568334512,9.325054530842706,13.132546972484306,nan,nan
"IRLS wide, 300",1,erp-v6-development-01-eeg+05-meg+05,erp-v6-development-01,surface_only,5,5,v6-full-ungated,ok,1,0.5169346240179574,0.6886186165434316,0.6885517610722018,nan,1.9765980696394554,9.335425250600874,nan,13.132546972484306,nan,0,1.0,nan,0,1,7,6,1,1,1,1,0.006514946568334512,9.335425250600874,13.132546972484306,nan,nan
"IRLS wide, 300",1,erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-surface-only,ok,0,0.49,0.0009982696659124324,nan,0.5,2.0000000000000036,nan,nan,nan,nan,1,0.0,nan,0,0,2,2,0,1,1,1,0.10801807279875363,nan,nan,234.02911185627735,234.02911185627735
"IRLS wide, 300",1,erp-v6-development-02-eeg+05-meg+05,erp-v6-development-02,deep_only,5,5,v6-full-ungated,ok,0,1.0,1.0,nan,1.0,0.791649165415007,nan,12.523083990159359,nan,0.0,1,1.0,0.0,1,0,1672,1668,4,1,1,1,0.10801807279875363,nan,nan,12.523083990159359,0.0
"IRLS wide, 300",1,erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-surface-only,ok,1,0.3508641975308642,0.8007408447737088,0.8448603683897801,0.5,1.9442570486988955,10.855836820934439,nan,10.364375893930148,nan,1,0.0,nan,0,0,6,6,0,1,1,1,-0.0025640821853482824,10.855836820934439,10.364375893930148,234.02911185627735,234.02911185627735
"IRLS wide, 300",1,erp-v6-development-03-eeg+05-meg+05,erp-v6-development-03,deep_plus_surface,5,5,v6-full-ungated,ok,1,0.5479166666666666,0.8172676521189565,0.8308303624480095,0.5333333333333333,1.9709276932405793,10.650068848517494,14.142136204249597,10.364375893930148,14.142136204249597,1,1.0,14.142136204249597,0,0,7,6,1,1,1,1,-0.0025640821853482824,10.650068848517494,10.364375893930148,234.02911185627735,234.02911185627735
