method,data_use,case_count,mean_local_AUC,minimum_local_AUC,mean_surface_An_auc,mean_deep_An_auc,mean_surface_SD_mm,maximum_surface_SD_mm,mean_surface_DLE_mm,maximum_surface_DLE_mm,deep_DLE_available_count,mean_deep_DLE_mm,maximum_deep_DLE_mm,localized_deep_detections_of_12,h0_false_positives_of_12,deep_decision_definition,used_for_formal_acceptance
MNE,train20,24,0.756422762705265,0.23,0.79607829398442,0.7444444444444445,43.49067255925077,85.31489871815772,31.976999231658375,109.64872619133666,12,16.522852767680806,41.23105712545175,4,7,legacy deep score >=0.14 and peak within 10 mm,False
MNE,combined40,24,0.7871034402466878,0.39,0.8128170960686336,0.777777777777778,41.42767525442181,86.0664302460353,32.97040506927319,109.64872619133666,12,15.850785415267097,33.166248402824905,5,8,legacy deep score >=0.14 and peak within 10 mm,False
dSPM,train20,24,0.7952176614428978,0.01,0.8747201519263176,0.75,37.27529186951628,82.44690024974028,21.6171694522888,55.6852871494852,12,13.791641936846188,33.166248402824905,6,10,legacy deep score >=0.14 and peak within 10 mm,False
dSPM,combined40,24,0.8682329933866774,0.6271735567291932,0.8881202765858284,0.8722222222222223,37.084002468970716,80.31148472068416,20.302890813639028,35.99878311100413,12,9.225889736759784,14.142136204249596,8,11,legacy deep score >=0.14 and peak within 10 mm,False
sLORETA,train20,24,0.7606970047545843,0.28204152249134945,0.7249230978815936,0.8666666666666667,45.139987791490306,81.80480596103504,39.45930704600923,98.62249272811704,12,7.410930088245209,33.166248402824905,8,11,legacy deep score >=0.14 and peak within 10 mm,False
sLORETA,combined40,24,0.7896629195651532,0.39754325259515566,0.7495251867018474,0.9555555555555556,44.068348049095576,75.92578554165904,35.719700852543355,98.62249272811704,12,2.845177968331413,14.142136031724077,10,11,legacy deep score >=0.14 and peak within 10 mm,False
eLORETA,train20,24,0.8233510762731718,0.02,0.8785017169462082,0.8388888888888889,39.86807803194006,86.87420306804339,23.00208042377689,109.64872619133666,12,11.008117405093415,33.166248402824905,7,11,legacy deep score >=0.14 and peak within 10 mm,False
eLORETA,combined40,24,0.8510041965353583,0.19,0.8904908601275818,0.9222222222222222,39.282368265231284,83.62567971745385,12.934259010352836,58.8979032929763,12,5.609032001900155,33.166248402824905,9,11,legacy deep score >=0.14 and peak within 10 mm,False
LCMV,train20,24,0.6502604142760207,0.21011834319526623,0.46515295856135147,0.9111111111111111,60.48529324654003,86.93656387505291,67.48823716342005,109.66043955944929,12,3.597187394839336,33.1662485491727,1,0,legacy deep score >=0.14 and peak within 10 mm,False
LCMV,combined40,24,0.6598118800921599,0.1602958579881657,0.4719418489142042,0.9444444444444445,59.498607757250234,78.57569844913503,64.4028403613409,133.89945230130257,12,1.6666666981498885,10.000000188899332,2,0,legacy deep score >=0.14 and peak within 10 mm,False
Dipole fitting (grid),train20,24,0.6212049318929153,0.4988461538461539,0.5162577841420956,0.7916666666666666,8.544246834205332,42.199683927129456,10.88166088250759,32.95524645660926,7,0.0,0.0,7,0,legacy deep score >=0.14 and peak within 10 mm,False
Dipole fitting (grid),combined40,24,0.666326694501702,0.4988461538461539,0.522055038670003,0.875,5.885007563206147,42.44637364641095,8.80156735738503,32.95524645660926,9,0.0,0.0,9,0,legacy deep score >=0.14 and peak within 10 mm,False
RAP-MUSIC,train20,24,0.6284372959371596,0.4988235294117647,0.5174082421968885,0.8333333333333334,7.58809095454207,18.517087407845768,10.052869151117518,20.37450861754307,8,0.0,0.0,8,0,legacy deep score >=0.14 and peak within 10 mm,False
RAP-MUSIC,combined40,24,0.6742047512983612,0.4996153846153846,0.5239816979007659,0.9166666666666666,4.237409105981722,11.63109127747345,7.470479194913257,13.563191780903853,10,0.0,0.0,10,0,legacy deep score >=0.14 and peak within 10 mm,False
OASTER-ERP-v6,train20/check20 gate + combined40 localization,24,0.9548615091714384,0.7250524300419131,0.9846649504278641,0.9444444444444445,7.429017295014104,16.106711649257427,7.3543727473325955,14.389517719963798,12,1.178511335977006,14.142136031724073,11,0,frozen independent-confirmation gate and post-decision DLE <=10 mm,True
