case_id,configuration_id,scenario,eeg_snr_db,meg_snr_db,score,null_converged,full_converged,all_converged,p_value,deep_present_decision,elapsed_seconds
erp-v6-component-balanced-v4-calibration-009-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-009,surface_only,-10,-10,-0.0225843910059674,1,1,1,nan,,26.34188239998184
erp-v6-component-balanced-v4-calibration-010-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-010,surface_only,-10,-10,-0.01379769297845437,1,1,1,nan,,34.32471630000509
erp-v6-component-balanced-v4-calibration-020-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-020,surface_only,-10,-10,0.15597725772150595,1,1,1,nan,,52.694529400003375
erp-v6-component-balanced-v4-calibration-032-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-032,surface_only,-10,-10,-0.018533815117456748,1,1,1,nan,,20.957681700005196
erp-v6-component-balanced-v4-calibration-039-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-039,surface_only,-10,-10,0.0001103605311295185,1,1,1,nan,,20.04914240000653
erp-v6-component-balanced-v4-calibration-043-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-043,surface_only,-10,-10,0.00037295247026518553,1,1,1,nan,,22.93695659999503
erp-v6-component-balanced-v4-calibration-044-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-044,surface_only,-10,-10,0.0757979762351293,1,1,1,nan,,25.42289200000232
erp-v6-component-balanced-v4-calibration-053-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-053,surface_only,-10,-10,0.05895772876295505,1,1,1,nan,,65.56993679999141
erp-v6-component-balanced-v4-calibration-054-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-054,surface_only,-10,-10,0.030598122540413348,1,1,1,nan,,26.61216439999407
erp-v6-component-balanced-v4-calibration-056-eeg-10-meg-10,erp-v6-component-balanced-v4-calibration-056,surface_only,-10,-10,9.480934645699733e-05,1,1,1,nan,,33.08070359998965
