case_id,scenario,eeg_snr_db,meg_snr_db,gate_score,gate_eeg_score,gate_meg_score,gate_threshold,deep_present_decision,selected_deep_index,secondary_surface_score,surface_threshold,surface_present_decision,null_converged,full_converged,selection_surface_converged,final_surface_converged,all_converged,status,error,elapsed_seconds
erp-v6-hierarchical-v1-surface-calibration-000-eeg-10-meg-10,deep_only,-10,-10,0.0,0.0,0.0,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,12.072880600055214
erp-v6-hierarchical-v1-surface-calibration-001-eeg-10-meg-10,deep_only,-10,-10,0.0456389252907852,0.03698250437430319,0.07160818804023121,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,36.38729929999681
erp-v6-hierarchical-v1-surface-calibration-002-eeg-10-meg-10,deep_only,-10,-10,0.02197633865408971,0.013374791572827631,0.04778097989787595,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,129.47534820000874
erp-v6-hierarchical-v1-surface-calibration-003-eeg-10-meg-10,deep_only,-10,-10,0.0443843454697022,0.03134780524733712,0.08349396613679744,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,86.06256629998097
erp-v6-hierarchical-v1-surface-calibration-004-eeg-10-meg-10,deep_only,-10,-10,0.024237148603524227,0.02556434443455766,0.020255561110423922,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,79.2540558000328
erp-v6-hierarchical-v1-surface-calibration-005-eeg-10-meg-10,deep_only,-10,-10,0.010598796459112964,0.011243166815652437,0.008665685389494538,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,17.344703700044192
erp-v6-hierarchical-v1-surface-calibration-006-eeg-10-meg-10,deep_only,-10,-10,0.027719269826722844,0.008681126854722818,0.08483369874272292,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,127.50419770000735
erp-v6-hierarchical-v1-surface-calibration-007-eeg-10-meg-10,deep_only,-10,-10,0.030297734791712508,0.014801268500230284,0.07678713366615918,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,118.46245049999561
erp-v6-hierarchical-v1-surface-calibration-008-eeg-10-meg-10,deep_only,-10,-10,0.02249168743033199,0.01707114850354393,0.03875330421069616,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,66.8342193000135
erp-v6-hierarchical-v1-surface-calibration-009-eeg-10-meg-10,deep_only,-10,-10,0.04180179079651474,0.03981328273343547,0.04776731498575255,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,91.2177309000399
erp-v6-hierarchical-v1-surface-calibration-010-eeg-10-meg-10,deep_only,-10,-10,0.011893706425264005,0.01202127778697071,0.01151099234014389,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,55.34661139996024
erp-v6-hierarchical-v1-surface-calibration-011-eeg-10-meg-10,deep_only,-10,-10,0.03061431471268738,0.012612597688176616,0.08461946578621968,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,72.10124410002027
erp-v6-hierarchical-v1-surface-calibration-012-eeg-10-meg-10,deep_only,-10,-10,0.017826448926461715,0.010990908632404596,0.038333069808633075,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,18.176819299987983
erp-v6-hierarchical-v1-surface-calibration-013-eeg-10-meg-10,deep_only,-10,-10,0.03782800328070586,0.039712056004953485,0.032175845107962994,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,85.61253290000604
erp-v6-hierarchical-v1-surface-calibration-014-eeg-10-meg-10,deep_only,-10,-10,0.03984093175375607,0.033963580169091956,0.057472986507748396,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,138.95140590000665
erp-v6-hierarchical-v1-surface-calibration-015-eeg-10-meg-10,deep_only,-10,-10,0.028208057849840908,0.02078347964016041,0.050481792478882404,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,38.41370759997517
erp-v6-hierarchical-v1-surface-calibration-016-eeg-10-meg-10,deep_only,-10,-10,0.021458334266555766,0.020069567466158296,0.025624634667748176,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,88.15573689999292
erp-v6-hierarchical-v1-surface-calibration-017-eeg-10-meg-10,deep_only,-10,-10,0.01915249925304415,0.01762509440285438,0.02373471380361347,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,33.7301279999665
erp-v6-hierarchical-v1-surface-calibration-018-eeg-10-meg-10,deep_only,-10,-10,0.01416230236605023,0.0069708446003272926,0.03573667566321904,0.09002687749433512,0,,0.0,,0,1,1,,,1,ok,,50.23103089997312
erp-v6-hierarchical-v1-surface-calibration-019-eeg-10-meg+20,deep_only,-10,20,0.4177718819561406,0.004498378975989733,1.6575923908965933,0.09002687749433512,1,7498,0.0,,,1,1,1,,1,ok,,101.29274419997819
erp-v6-hierarchical-v1-surface-calibration-020-eeg-10-meg+20,deep_only,-10,20,0.30549214864967233,0.027130459353485875,1.1405772165382317,0.09002687749433512,1,7511,0.0,,,1,1,1,,1,ok,,325.186543799995
erp-v6-hierarchical-v1-surface-calibration-021-eeg-10-meg+20,deep_only,-10,20,0.8354311297553115,0.008294148736401281,3.3168420728120425,0.09002687749433512,1,7505,0.0,,,1,1,1,,1,ok,,225.85436049994314
erp-v6-hierarchical-v1-surface-calibration-022-eeg-10-meg+20,deep_only,-10,20,0.27905013395312667,0.016085789441795232,1.067943167487121,0.09002687749433512,1,7499,0.0,,,1,1,1,,1,ok,,146.67952100001276
erp-v6-hierarchical-v1-surface-calibration-023-eeg-10-meg+20,deep_only,-10,20,0.2530077926824582,0.01103694082260222,0.9789203482620261,0.09002687749433512,1,7507,0.0,,,1,1,1,,1,ok,,105.49654960003681
erp-v6-hierarchical-v1-surface-calibration-024-eeg-10-meg+20,deep_only,-10,20,0.3035348289653522,0.01116994852546018,1.1806294702850284,0.09002687749433512,1,7508,0.0,,,1,1,1,,1,ok,,124.62006110005314
erp-v6-hierarchical-v1-surface-calibration-025-eeg-10-meg+20,deep_only,-10,20,0.2446167876813807,0.026539392839450567,0.8988489722071711,0.09002687749433512,1,7503,0.0,,,1,1,1,,1,ok,,123.16782660002355
erp-v6-hierarchical-v1-surface-calibration-026-eeg-10-meg+20,deep_only,-10,20,0.36532961336530034,0.02775028076073397,1.3780676111789993,0.09002687749433512,1,7499,0.0,,,1,1,1,,1,ok,,122.44617289997404
erp-v6-hierarchical-v1-surface-calibration-027-eeg-10-meg+20,deep_only,-10,20,0.2025508063533091,-0.0029053066666127315,0.8189191454130746,0.09002687749433512,1,7503,0.0,,,1,1,1,,1,ok,,168.25071079999907
erp-v6-hierarchical-v1-surface-calibration-028-eeg-10-meg+20,deep_only,-10,20,0.3974387537008126,0.02252068334370634,1.5221929647721315,0.09002687749433512,1,7498,0.0,,,1,1,1,,1,ok,,232.93980089999968
erp-v6-hierarchical-v1-surface-calibration-029-eeg-10-meg+20,deep_only,-10,20,0.3421778782988956,0.026377779943991996,1.2895781733636065,0.09002687749433512,1,7511,0.0,,,1,1,1,,1,ok,,179.65215270000044
erp-v6-hierarchical-v1-surface-calibration-030-eeg-10-meg+20,deep_only,-10,20,0.21114866902900406,0.005410289054159435,0.8283638089535379,0.09002687749433512,1,7507,0.0,,,1,1,1,,1,ok,,200.3377263000002
erp-v6-hierarchical-v1-surface-calibration-031-eeg-10-meg+20,deep_only,-10,20,0.8694200919936907,0.026169579901351943,3.399171628270707,0.09002687749433512,1,7505,0.0,,,1,1,1,,1,ok,,194.6556090999511
erp-v6-hierarchical-v1-surface-calibration-032-eeg-10-meg+20,deep_only,-10,20,0.30008161204581035,0.018074278014909108,1.1461036141385141,0.09002687749433512,1,7508,0.0,,,1,1,1,,1,ok,,174.3330056000268
erp-v6-hierarchical-v1-surface-calibration-033-eeg-10-meg+20,deep_only,-10,20,0.2511124133277356,0.006468386845848872,0.9850444927733957,0.09002687749433512,1,7508,0.0,,,1,1,1,,1,ok,,160.21548939996865
erp-v6-hierarchical-v1-surface-calibration-034-eeg-10-meg+20,deep_only,-10,20,0.4505938473360612,0.012203200051522575,1.7657657891896772,0.09002687749433512,1,7498,0.0,,,1,1,1,,1,ok,,130.8554338000249
erp-v6-hierarchical-v1-surface-calibration-035-eeg-10-meg+20,deep_only,-10,20,0.2867326992022242,0.011221362769599421,1.1132667085000987,0.09002687749433512,1,7499,0.0,,,1,1,1,,1,ok,,114.77097860001959
erp-v6-hierarchical-v1-surface-calibration-036-eeg-10-meg+20,deep_only,-10,20,0.31703370110322276,0.006582680736965802,1.2483867622019937,0.09002687749433512,1,7507,0.0,,,1,1,1,,1,ok,,171.2607736000209
erp-v6-hierarchical-v1-surface-calibration-037-eeg-10-meg+20,deep_only,-10,20,0.3320268572759925,0.013396363285641666,1.287918339247045,0.09002687749433512,1,7503,0.0,,,1,1,1,,1,ok,,122.92096180003136
erp-v6-hierarchical-v1-surface-calibration-038-eeg+20-meg-10,deep_only,20,-10,0.41026207350293964,0.5070631419628661,0.11985886812316036,0.09002687749433512,1,7511,0.0,,,1,1,1,,1,ok,,125.646152399946
