case_id,scenario,eeg_snr_db,meg_snr_db,gate_score,gate_eeg_score,gate_meg_score,gate_eeg_response_excess,gate_meg_response_excess,gate_reliability_balance,gate_reliability_eeg_weight,gate_formula,primary_channel_weight_min,primary_channel_weight_max,gate_threshold,deep_present_decision,selected_deep_index,secondary_surface_score,surface_threshold,surface_present_decision,null_converged,full_converged,selection_surface_converged,final_surface_converged,all_converged,status,error,elapsed_seconds
erp-v6-hierarchical-v2-gate-calibration-000-eeg-10-meg-10,surface_only,-10,-10,0.009308981609493885,0.008360920014948732,0.012424190570291345,0.0,0.1032161540106642,0.9064406792490944,0.7266101698122736,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,53.64469200000167
erp-v6-hierarchical-v2-gate-calibration-001-eeg-10-meg-10,surface_only,-10,-10,-0.007873177197344863,-0.011599951738670237,0.0013860512641882755,0.0860069371255403,0.1414209441519263,0.9514517345153864,0.7378629336288466,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,26.30768959998386
erp-v6-hierarchical-v2-gate-calibration-002-eeg-10-meg-10,surface_only,-10,-10,-0.004709512281203681,-0.004555144993376998,-0.006326218823272749,0.11254963235571003,0.19924116168396755,0.9277113460594316,0.7319278365148579,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,37.341011599986814
erp-v6-hierarchical-v2-gate-calibration-003-eeg-10-meg-10,surface_only,-10,-10,4.9123907496130296e-05,5.012387846481409e-05,6.287645150168872e-05,0.15875676468953337,0.25824617695739827,0.9209300897631629,0.7302325224407907,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,36.20122380001703
erp-v6-hierarchical-v2-gate-calibration-004-eeg-10-meg-10,surface_only,-10,-10,-0.010541883407183726,-0.014238009064262825,-0.00601991420440977,0.31729572549233387,0.22522375779160053,0.9301053165823325,0.7325263291455831,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,23.930323000007775
erp-v6-hierarchical-v2-gate-calibration-005-eeg-10-meg-10,surface_only,-10,-10,-4.037178944897601e-05,-4.743549008831582e-05,-2.8830090411353094e-05,0.1211162438140243,0.01244402185179494,0.9030678374683719,0.725766959367093,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,22.30024339997908
erp-v6-hierarchical-v2-gate-calibration-006-eeg-10-meg-10,surface_only,-10,-10,-0.04610764193303662,-0.061328326730738604,-0.01330144665617019,0.1372190293224489,0.150001857953181,0.9888845148011469,0.7472211287002868,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,32.747907100012526
erp-v6-hierarchical-v2-gate-calibration-007-eeg-10-meg-10,surface_only,-10,-10,7.390659382531148e-06,7.3549225443462765e-06,8.405879748330925e-06,0.043709658569681675,0.12900765034887351,0.9244487034673025,0.7311121758668256,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,29.56944489997113
erp-v6-hierarchical-v2-gate-calibration-008-eeg-10-meg-10,surface_only,-10,-10,-0.028400614736610607,-0.03561264066060316,-0.018485313013457252,0.20773897443278933,0.22982603309927652,0.9820405016058851,0.7455101254014713,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,52.34006680001039
erp-v6-hierarchical-v2-gate-calibration-009-eeg-10-meg-10,surface_only,-10,-10,8.483282606892251e-07,9.919538788363281e-07,7.287341760751855e-07,0.2045344342319102,0.07189325096256183,0.889881783783185,0.7224704459457962,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,,,,,,,1,1,,,1,ok,,24.65591809997568
