case_id,scenario,eeg_snr_db,meg_snr_db,gate_score,gate_eeg_score,gate_meg_score,gate_eeg_response_excess,gate_meg_response_excess,gate_reliability_balance,gate_reliability_eeg_weight,gate_formula,primary_channel_weight_min,primary_channel_weight_max,gate_threshold,deep_present_decision,selected_deep_index,secondary_surface_score,surface_threshold,surface_present_decision,null_converged,full_converged,selection_surface_converged,final_surface_converged,all_converged,status,error,elapsed_seconds
erp-v6-hierarchical-v2-surface-calibration-000-eeg-10-meg-10,deep_only,-10,-10,0.02185986831801949,0.019844207753283643,0.0281963822805732,0.0,0.04634276196365961,0.9557097696392637,0.7389274424098159,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7499,0.0,,,1,1,1,,1,ok,,168.18444429995725
erp-v6-hierarchical-v2-surface-calibration-001-eeg-10-meg-10,deep_only,-10,-10,0.03446430677286647,0.025939921592874775,0.06039390295003814,0.04046817661087032,0.0028992537570999843,0.9638922903186294,0.7409730725796574,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7505,0.0,,,1,1,1,,1,ok,,36.237004599999636
erp-v6-hierarchical-v2-surface-calibration-002-eeg-10-meg-10,deep_only,-10,-10,0.016417766174417092,0.011696198088479623,0.03046361824635964,0.09684894081859663,0.0,0.911702571599042,0.7279256428997605,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7508,0.0,,,1,1,1,,1,ok,,31.246858300000895
erp-v6-hierarchical-v2-surface-calibration-003-eeg-10-meg-10,deep_only,-10,-10,0.008659732418121811,0.005069554027402031,0.019153445331483752,0.0,0.08454114859783424,0.9220489248313588,0.7305122312078397,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7511,0.0,,,1,1,1,,1,ok,,118.41560900001787
erp-v6-hierarchical-v2-surface-calibration-004-eeg-10-meg-10,deep_only,-10,-10,0.025571932489213835,0.02168093088380609,0.037389539851551565,0.0,0.0388211389334816,0.9626296217139576,0.7406574054284893,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7507,0.0,,,1,1,1,,1,ok,,68.4552199000027
erp-v6-hierarchical-v2-surface-calibration-005-eeg-10-meg-10,deep_only,-10,-10,0.015797679504004417,0.010101456238137034,0.03372852434065685,0.03399907397903923,0.07416329189876092,0.9626088340360944,0.7406522085090236,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7498,0.0,,,1,1,1,,1,ok,,37.4137347000069
erp-v6-hierarchical-v2-surface-calibration-006-eeg-10-meg-10,deep_only,-10,-10,0.022123964872327387,0.0095117020959537,0.058998775660059344,0.1394576004646757,0.04494853724688741,0.9170578499987652,0.7292644624996913,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7503,0.0,,,1,1,1,,1,ok,,20.124134199984837
erp-v6-hierarchical-v2-surface-calibration-007-eeg-10-meg-10,deep_only,-10,-10,0.026591511425432358,0.0211465566919051,0.043872781713527424,0.01798178642080872,0.03317632564577511,0.9852933726336894,0.7463233431584224,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7499,0.0,,,1,1,1,,1,ok,,71.04285459994571
erp-v6-hierarchical-v2-surface-calibration-008-eeg-10-meg-10,deep_only,-10,-10,0.017511085902289263,0.011595398606314785,0.03579609594580798,0.020051483750916477,0.04987174781656267,0.9715962791382243,0.7428990697845561,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,1,7503,0.0,,,1,1,1,,1,ok,,81.08161180000752
erp-v6-hierarchical-v2-surface-calibration-009-eeg-10-meg-10,deep_only,-10,-10,0.001697450611952393,0.0021205256742145105,0.0006973909894599484,0.06976731978254724,0.032877076096303304,0.9655156378363262,0.7413789094590816,"h_m=g_m/sqrt(1+q_m); b=min(1+q_E,1+q_M)/max(1+q_E,1+q_M); w_E=0.5+0.25*b; score=w_E*h_E+(1-w_E)*h_M",1.0,1.0,0.006348868975392994,0,,0.0,,0,1,1,,,1,ok,,75.59640469995793
