metric,scenario,comparison,analysis_unit,configuration_count,mean_difference,mean_difference_ci95_low,mean_difference_ci95_high,median_difference,cohen_dz,wins,ties,losses,wilcoxon_statistic,wilcoxon_p,holm_adjusted_p
auc_tie_corrected,all,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),369,0.06346821390751006,0.05761760554532258,0.06934873147099113,0.0586292759440773,1.0921230678836888,338,0,31,3275.0,3.463946540687902e-51,1.3855786162751607e-50
auc_tie_corrected,all,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),369,0.04257989297367344,0.03780488689774217,0.04734005049952498,0.04446831364124593,0.9068346584497768,329,0,40,5581.0,4.45924268374839e-44,5.878416574997625e-44
auc_tie_corrected,all,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),369,0.05516211296843643,0.04888394533861358,0.061588142279332264,0.052383401687118414,0.8792018982536277,327,0,42,5520.0,2.9392082874988124e-44,5.878416574997625e-44
auc_tie_corrected,all,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),369,0.05178818306947153,0.04614921876632212,0.05776925110803255,0.04646148175156406,0.9089146878377252,326,0,43,5237.0,4.201098418486112e-45,1.2603295255458337e-44
auc_tie_corrected,all,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),369,0.24897563001938747,0.22828858552496262,0.27003115333761896,0.19457977912102198,1.2237303774712922,345,0,24,641.0,5.615539045423337e-60,2.8077695227116684e-59
auc_tie_corrected,all,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),369,0.40132564599620074,0.38819857629576876,0.41329232968945545,0.4463893222047782,3.1891207792926224,362,0,7,28.0,3.99276532062314e-62,2.7949357244361978e-61
auc_tie_corrected,all,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),369,0.39561512593537085,0.382781623920537,0.40804995045456255,0.4399999570067836,3.1650399992614275,362,0,7,28.0,3.99276532062314e-62,2.7949357244361978e-61
auc_tie_corrected,surface_only,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),136,0.060451711049434725,0.05085301217286523,0.06996670507701928,0.049953029911097235,1.0401061402512932,125,0,11,416.0,3.13137760640383e-20,1.252551042561532e-19
auc_tie_corrected,surface_only,OASTER-ERP - dSPM,source configuration (49 SNR cells averaged),136,0.04482696643957854,0.03747795923499916,0.052089442876919634,0.04657623521302062,1.0350273267636023,123,0,13,614.0,1.5738238987683322e-18,3.1476477975366645e-18
auc_tie_corrected,surface_only,OASTER-ERP - sLORETA,source configuration (49 SNR cells averaged),136,0.06337754149017083,0.05336502520376567,0.0737415566928596,0.05502647720441828,1.0486933055103786,125,0,11,430.0,4.15559348786284e-20,1.252551042561532e-19
auc_tie_corrected,surface_only,OASTER-ERP - eLORETA,source configuration (49 SNR cells averaged),136,0.04959290814296402,0.040170235143761814,0.05888395355751606,0.04219537740409385,0.8770747072401397,120,0,16,700.0,8.149716559061649e-18,8.149716559061649e-18
auc_tie_corrected,surface_only,OASTER-ERP - LCMV,source configuration (49 SNR cells averaged),136,0.2976969319641966,0.2618488431607013,0.3342800881635333,0.22795432832090956,1.3726750016537232,133,0,3,17.0,6.700051726396102e-24,3.350025863198051e-23
auc_tie_corrected,surface_only,OASTER-ERP - Dipole fitting (grid),source configuration (49 SNR cells averaged),136,0.45295387238784013,0.4476024549923087,0.45790214728865014,0.45837699266154647,14.568536015555052,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
auc_tie_corrected,surface_only,OASTER-ERP - RAP-MUSIC,source configuration (49 SNR cells averaged),136,0.44698315634534075,0.44123813226565656,0.452343848643566,0.45343551122238723,13.619953120241371,136,0,0,0.0,4.597822277805021e-24,3.2184755944635145e-23
auc_tie_corrected,deep_only,OASTER-ERP - MNE,source configuration (49 SNR cells averaged),30,0.032294317966771416,0.02720631630796869,0.03768306477389306,0.03043160562507974,2.14200281375752,30,0,0,0.0,1.862645149230957e-09,1.30385160446167e-08
