scenario,method,snr_pair_count,an_auc_mean,an_auc_sd,an_auc_min,an_auc_max,an_auc_ge_0_90_pairs,surface_auc_tie_corrected_mean,deep_auc_tie_corrected_mean
surface_only,OASTER-ERP,49,0.9748884068268769,0.008791575761681148,0.9329648225390748,0.9847566104246775,49,0.9753561985349027,nan
surface_only,MNE,49,0.9144366957774422,0.049255262581343655,0.737937710690396,0.9537086282595661,37,0.9144189324917745,nan
surface_only,dSPM,49,0.9300614403872983,0.0231339357357286,0.8374092856278995,0.9509255630924734,45,0.9301362248597328,nan
surface_only,sLORETA,49,0.911510865336706,0.045488099106176495,0.7354025421671101,0.9463244170284234,38,0.911751203015666,nan
surface_only,eLORETA,49,0.9252954986839129,0.04121009653689487,0.7530777347372395,0.9542774168419069,42,0.9252868771690206,nan
surface_only,LCMV,49,0.6771914748626803,0.008042983215841048,0.6469370868775783,0.6926391830745987,0,0.678161145949743,nan
surface_only,Dipole fitting (grid),49,0.5219345344390367,0.0018030635429221492,0.5168211312238234,0.5251039892872047,0,0.5219345839249495,nan
surface_only,RAP-MUSIC,49,0.527905250481536,0.0030620675191409437,0.5182857181550057,0.5326880272490735,0,0.5279052258536924,nan
deep_only,OASTER-ERP,49,0.9996452407663451,0.0014005100519269389,0.9918030968543413,1.0,49,nan,0.9941950113378685
deep_only,MNE,49,0.9673509227995737,0.054766858534444816,0.7721726784684324,0.9995962553795644,43,nan,0.8881632653061226
deep_only,dSPM,49,0.9954134828428909,0.021171837109474328,0.8585296597009628,0.9999911264918585,48,nan,0.9604081632653062
deep_only,sLORETA,49,0.9978844832222787,0.007737616931261856,0.9535205643551179,1.0,49,nan,0.9872562358276644
deep_only,eLORETA,49,0.9818543096727577,0.06237035758988611,0.6992013842672701,1.0,46,nan,0.9870294784580499
deep_only,LCMV,49,0.9996568306545299,0.001415875718080057,0.9908869071387373,1.0,49,nan,0.9879818594104308
deep_only,Dipole fitting (grid),49,0.9863922489000924,0.05504180995247745,0.666613425617818,1.0,47,nan,0.9861451247165532
deep_only,RAP-MUSIC,49,0.9887737445570535,0.05074194922643308,0.6832845290385554,1.0,47,nan,0.9886167800453515
deep_plus_surface,OASTER-ERP,49,0.9732636982131357,0.010278542783295442,0.9243704058868283,0.9855346281459276,49,0.9722303376475258,0.8571928771508603
deep_plus_surface,MNE,49,0.8960220530296947,0.05648537284672178,0.7095863209918986,0.9478539447952682,31,0.9116791286892542,0.6283213285314125
deep_plus_surface,dSPM,49,0.9198751027503653,0.02855006937967568,0.7986975442009756,0.9463406125090894,41,0.9282708360600442,0.6686974789915966
deep_plus_surface,sLORETA,49,0.9057039205374012,0.04644713086646051,0.7307745593167317,0.9428047039782432,36,0.9078475006615121,0.6568127250900361
deep_plus_surface,eLORETA,49,0.9076586174332214,0.051469430919742036,0.7100552672860917,0.9464077836540715,37,0.9234747085731541,0.641016406562625
deep_plus_surface,LCMV,49,0.6964355831664696,0.007622198032576149,0.6692953526045423,0.7091759460973674,0,0.6779424959041687,0.8380652260904363
deep_plus_surface,Dipole fitting (grid),49,0.5247082065505463,0.0038687861022592214,0.5153733646523876,0.5319115201077144,0,0.5214738819078262,0.5784713885554222
deep_plus_surface,RAP-MUSIC,49,0.5318589426979528,0.006209866898878688,0.5157189255579915,0.5429631713182524,0,0.5263203540094326,0.6255302120848338
deep_plus_two_surface,OASTER-ERP,49,0.8924289406398516,0.026267082919240032,0.7782726264226714,0.9334430904058058,16,0.889881798446,0.820103563813585
deep_plus_two_surface,MNE,49,0.8368372250398969,0.06464389713036904,0.6579694164384375,0.9059629641028453,3,0.8433910604589737,0.6232713981114834
deep_plus_two_surface,dSPM,49,0.8591795174926516,0.036644224047419606,0.7159135920747242,0.8955027345170693,0,0.8618310488094991,0.6523911056960098
deep_plus_two_surface,sLORETA,49,0.8551972756776441,0.050469845645539795,0.69043564104139,0.9005669591450586,1,0.8553178445342758,0.6399634480657934
deep_plus_two_surface,eLORETA,49,0.8490082671127483,0.0626856749984973,0.6363146407923669,0.9024220100315782,2,0.8555792853826906,0.6210985886892071
deep_plus_two_surface,LCMV,49,0.6873998543663863,0.010759969435824253,0.6433249502211483,0.6976862700630684,0,0.6793582151556969,0.815473652147426
deep_plus_two_surface,Dipole fitting (grid),49,0.5180065510017611,0.0024610786933056805,0.5105500399347788,0.5218536339594743,0,0.5180325430865277,0.5169966494060312
deep_plus_two_surface,RAP-MUSIC,49,0.5217560962989285,0.0034676345745735986,0.5105724048291009,0.5263952406597542,0,0.5206534893450244,0.5597827190577723
