method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,case_weighted,369,4,0.5240846897911378,0.527327118925012,0.515505985846648,0.5207439198855508,1.7715968220215543,11.016043171889539,13.16251972531452,3.609475595001451,3.609475595001451,0.04015326440376816,3.609475595001451,1.2845528455284554,1.2439024390243902,0.04065040650406504,11.016043171889539,36.617379066655715,220.1389506219386,220.1389506219386,0.060085836909871244,1.0,0.5300429184549357
Dipole fitting (grid),-10,-5,case_weighted,369,4,0.5465285579316724,0.550770012843873,0.5189979234373817,0.5532188841201717,1.6387866544904177,8.61173224945466,9.370961375602908,1.0714285352716588,1.0714285352716588,0.07859078590785908,1.0714285352716588,1.3875338753387534,1.3089430894308942,0.07859078590785908,8.61173224945466,25.275963179544465,206.03419712242257,206.03419712242257,0.12017167381974249,0.9926470588235294,0.556409366321636
Dipole fitting (grid),-10,0,case_weighted,369,4,0.5560106467048872,0.5585292583943963,0.5197940365134067,0.5706723891273248,1.5854283633638404,7.99030998754646,9.577522697779866,0.2941176293927516,0.2941176293927516,0.08804865271576125,0.2941176293927516,1.5230352303523036,1.4308943089430894,0.0921409214092141,7.99030998754646,16.860612611477425,199.92185947982207,199.92185947982207,0.1459227467811159,1.0,0.572961373390558
Dipole fitting (grid),-10,5,case_weighted,369,4,0.5649170545884382,0.5591450079300873,0.5192254987744791,0.6001430615164521,1.579423950132632,9.32547098738858,10.212552423511541,0.9615384341511409,0.9615384341511409,0.12548421343298174,0.9615384341511409,1.6693766937669376,1.5257452574525745,0.14363143631436315,9.32547098738858,17.475036652893326,182.014031092541,182.014031092541,0.22317596566523606,0.9926470588235294,0.6079115122443828
Dipole fitting (grid),-10,10,case_weighted,369,4,0.5680060785141765,0.559424632519995,0.5193481081932365,0.6105865522174536,1.5723618045398413,8.001677630083597,10.496996029417756,1.186440606702964,1.186440606702964,0.12977532377968187,1.186440606702964,1.7046070460704608,1.5447154471544715,0.15989159891598917,8.001677630083597,17.75025052527456,175.0689504669001,175.0689504669001,0.2532188841201717,1.0,0.6266094420600858
Dipole fitting (grid),-10,15,case_weighted,369,4,0.5676054837093882,0.5590285591629137,0.5189340995610447,0.6105865522174536,1.5666203433090982,7.934352567945808,9.97363446215733,1.2566463237680456,1.2566463237680456,0.13307016232938224,1.2566463237680456,1.7154471544715446,1.5501355013550135,0.16531165311653118,7.934352567945808,15.922009968195914,176.03044881040233,176.03044881040233,0.24892703862660945,0.9852941176470589,0.6171105781368341
Dipole fitting (grid),-10,20,case_weighted,369,4,0.5669097429624549,0.5588931189420997,0.5188919357250562,0.6082975679542204,1.5705786386050122,8.433499090715186,9.911484641099902,1.4963435577058963,1.4963435577058963,0.12720180808188344,1.4963435577058963,1.6720867208672088,1.5094850948509486,0.16260162601626016,8.433499090715186,19.16707986532552,177.03486560102863,177.03486560102863,0.2446351931330472,1.0,0.6223175965665236
Dipole fitting (grid),-5,-10,case_weighted,369,4,0.5389016610454009,0.5428320697573144,0.5191977665109424,0.5407725321888412,1.6836047288740608,6.425980050524794,10.651842769322736,0.0,0.0,0.051490514905149054,0.0,1.2222222222222223,1.170731707317073,0.051490514905149054,6.425980050524794,33.71439267505553,214.94519286370536,214.94519286370536,0.0815450643776824,1.0,0.5407725321888412
Dipole fitting (grid),-5,-5,case_weighted,369,4,0.5530644014266991,0.5564758285730295,0.5192078369836363,0.5642346208869814,1.6076949198743822,7.319455497748261,10.155472321221037,0.32258062578559865,0.32258062578559865,0.08303803384921724,0.32258062578559865,1.4146341463414633,1.3306233062330624,0.08401084010840108,7.319455497748261,23.363356659572442,202.93510984707027,202.93510984707027,0.13304721030042918,1.0,0.5665236051502146
Dipole fitting (grid),-5,0,case_weighted,369,4,0.5577487184936157,0.5597537608166095,0.5209684054888181,0.5738197424892705,1.5699994457657847,6.626958102393758,8.700253770635056,2.6087973877864377,2.6087973877864377,0.11292286178798785,2.6087973877864377,1.5474254742547426,1.4281842818428185,0.11924119241192412,6.626958102393758,16.011809637720795,194.0670325615338,194.0670325615338,0.17167381974248927,1.0,0.5858369098712446
Dipole fitting (grid),-5,5,case_weighted,369,4,0.5675917460018508,0.5607013884920654,0.5207613414540038,0.6064377682403433,1.5431953537745673,7.325782464027488,9.174097799677995,1.9746932146993912,1.9746932146993912,0.13218012389093892,1.9746932146993912,1.6612466124661247,1.5094850948509486,0.15176151761517614,7.325782464027488,16.47027819679479,179.96227905862918,179.96227905862918,0.2317596566523605,1.0,0.6158798283261803
Dipole fitting (grid),-5,10,case_weighted,369,4,0.5685126663375308,0.5596790487425949,0.5195671101404672,0.6100143061516453,1.5628699809906765,7.260171434252491,9.489506921451206,1.8117798694742333,1.8117798694742333,0.13793848949224924,1.8117798694742333,1.8048780487804879,1.6314363143631436,0.17344173441734417,7.260171434252491,16.775452804292172,172.18445546350236,172.18445546350236,0.26609442060085836,0.9926470588235294,0.6293707397121939
Dipole fitting (grid),-5,15,case_weighted,369,4,0.5651288897669897,0.5590125772654737,0.5191120198052164,0.601716738197425,1.5781179804763776,7.687819839924631,10.257958536670715,1.8696235260234082,1.8696235260234082,0.12481354748479916,1.8696235260234082,1.7154471544715446,1.5609756097560976,0.15447154471544716,7.687819839924631,14.8786018205564,181.00961430345825,181.00961430345825,0.22746781115879827,1.0,0.6137339055793991
Dipole fitting (grid),-5,20,case_weighted,369,4,0.5678417969608779,0.559131241850733,0.518932700578571,0.6101573676680974,1.5712680449615517,7.741938776542385,10.2294123025815,1.7465204806361199,1.7465204806361199,0.13488138032040234,1.7465204806361199,1.7073170731707317,1.5365853658536586,0.17073170731707318,7.741938776542385,18.151525561119403,174.10745214034094,174.10745214034094,0.2575107296137339,0.9926470588235294,0.6250788942186316
Dipole fitting (grid),0,-10,case_weighted,369,4,0.5503741301092684,0.5548928997856156,0.5206076111679249,0.5575107296137339,1.6096671389146473,4.083780374958599,8.720362882834841,1.2761423674512116,1.2761423674512116,0.08130081300813008,1.2761423674512116,1.3224932249322494,1.2411924119241193,0.08130081300813008,4.083780374958599,22.677542022782607,205.94836021431846,205.94836021431846,0.12017167381974249,1.0,0.5600858369098712
Dipole fitting (grid),0,-5,case_weighted,369,4,0.5569301429266582,0.5600600266675804,0.521573373610972,0.5706723891273248,1.568045949489856,4.694363316379999,8.513738588916892,0.4159451507971119,0.4159451507971119,0.08861969062739522,0.4159451507971119,1.4417344173441735,1.3495934959349594,0.0921409214092141,4.694363316379999,18.492294928180634,200.88335781654703,200.88335781654703,0.14163090128755365,1.0,0.5708154506437768
Dipole fitting (grid),0,0,case_weighted,369,4,0.5613183322794902,0.5609467329497313,0.5221173926603297,0.5831187410586552,1.556810051082569,5.425070601791115,8.525843876837037,1.2192187257343567,1.2192187257343567,0.10773773722505357,1.2192187257343567,1.5718157181571815,1.4552845528455285,0.11653116531165311,5.425070601791115,13.182253540129315,193.89535874532567,193.89535874532567,0.17167381974248927,1.0,0.5858369098712446
Dipole fitting (grid),0,5,case_weighted,369,4,0.5695841974724637,0.5614824547553705,0.521729677347926,0.6108726752503577,1.527974656151526,5.789947136657609,8.710645122895006,0.9498619986845924,0.9498619986845924,0.1342386655173436,0.9498619986845924,1.6558265582655827,1.4986449864498645,0.15718157181571815,5.789947136657609,17.351176295561583,177.9534454804637,177.9534454804637,0.24034334763948498,0.9926470588235294,0.6164952032315072
Dipole fitting (grid),0,10,case_weighted,369,4,0.5714826296196441,0.5616275565991726,0.5215194790777118,0.6163090128755366,1.5366427557890625,6.1427413656574865,8.74862602743541,2.0383364284035443,2.0383364284035443,0.1412233780285445,2.0383364284035443,1.8319783197831978,1.6476964769647697,0.1842818428184282,6.1427413656574865,15.394068087283255,171.09420177309275,171.09420177309275,0.2703862660944206,0.9926470588235294,0.631516662458975
