method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,scenario_macro,369,4,0.5497768920745045,0.552339490357202,0.5147253249210628,0.5537037037037037,1.7308467247917572,11.166095492414685,16.183108030353925,3.609475595001451,3.609475595001451,11.166095492414685,53.639128747275066,198.06902777182265,198.06902777182265,0.1234712880415871,3.609475595001451,1.3466802019315187,1.221680201931519,0.125,0.15555555555555556,1.0,0.5777777777777777
Dipole fitting (grid),-10,-5,scenario_macro,369,4,0.6139805991046665,0.6174750573857655,0.518330377669424,0.638066448801743,1.450796551527374,8.18558712929091,9.757602048641465,5.370370442573874,5.370370442573874,8.18558712929091,36.37992090609996,163.49350954829958,163.49350954829958,0.2286764705882353,5.370370442573874,1.477143693298215,1.2484672227099796,0.2286764705882353,0.30245098039215684,0.9926470588235294,0.6475490196078432
Dipole fitting (grid),-10,0,scenario_macro,369,4,0.6368927823713836,0.6392103211678858,0.5193104876213379,0.6702614379084967,1.3232532132057355,8.05892977891266,9.662436182794583,1.2499999249191942,1.2499999249191942,8.05892977891266,21.922156751123676,153.7495146492198,153.7495146492198,0.25457711921344833,1.2499999249191942,1.6553537459760024,1.3980008047995318,0.25735294117647056,0.34313725490196073,1.0,0.6715686274509803
Dipole fitting (grid),-10,5,scenario_macro,369,4,0.6432137238358551,0.6396035132913357,0.5187689596285119,0.6882694371280852,1.3064147831013089,9.060906958308673,10.13641798206396,2.333333219500689,2.333333219500689,9.060906958308673,22.406334877216366,142.36653519240625,142.36653519240625,0.28274871083029135,2.333333219500689,1.73647205150717,1.4404064237635352,0.29606562774363476,0.3923031899326895,0.9926470588235294,0.6924751243781094
Dipole fitting (grid),-10,10,scenario_macro,369,4,0.6457402919063643,0.6400126691849344,0.5191346213667013,0.695411423275778,1.2930305563271483,7.558108467400416,10.033976653903016,2.333333193182496,2.333333193182496,7.558108467400416,22.39630830097681,137.24414453084307,137.24414453084307,0.28857433906219415,2.333333193182496,1.9084174714661981,1.5975362159789288,0.3108812554872695,0.4145083406496927,1.0,0.7072541703248464
Dipole fitting (grid),-10,15,scenario_macro,369,4,0.6452411691924564,0.6394381457847383,0.5183656815240199,0.6955796995415081,1.2877105812301675,7.593785222787471,9.852911248167395,0.9153349765717861,0.9153349765717861,7.593785222787471,19.91352106909119,138.9241989703905,138.9241989703905,0.28810853742263315,0.9153349765717861,1.9669154228855723,1.6561439127889963,0.31077151009657594,0.4070090722856307,0.9852941176470589,0.6961515949663448
Dipole fitting (grid),-10,20,scenario_macro,369,4,0.6449386070101266,0.6395914574660684,0.5186688645144958,0.6941883718661593,1.2880716242510328,8.177663662946733,9.798135771034223,2.1147555380302365,2.1147555380302365,8.177663662946733,25.447127653180804,138.9323179987392,138.9323179987392,0.284968794213919,2.1147555380302365,1.862825577992391,1.5519991952004681,0.3108263827919227,0.4070822358794264,1.0,0.7035411179397132
Dipole fitting (grid),-5,-10,scenario_macro,369,4,0.589102269219506,0.592200542408249,0.5179452217230849,0.6055555555555555,1.5826271435360795,6.504251417116997,10.980600165015204,0.0,0.0,6.504251417116997,49.65255787004901,184.62296601995214,184.62296601995214,0.15833333333333333,0.0,1.2727410740415568,1.1144077407082236,0.15833333333333333,0.2111111111111111,1.0,0.6055555555555555
Dipole fitting (grid),-5,-5,scenario_macro,369,4,0.631635055935106,0.6345287524736098,0.5187677653186217,0.6619662309368192,1.378205343136042,6.967711574404106,10.221853428550453,0.16666665665589264,0.16666665665589264,6.967711574404106,32.46755796969821,155.55691824426853,155.55691824426853,0.2511783722249286,0.16666665665589264,1.506884694176178,1.2550464588820602,0.25183823529411764,0.33578431372549017,1.0,0.6678921568627451
Dipole fitting (grid),-5,0,scenario_macro,369,4,0.6385698353372689,0.6403077407772921,0.5206104538140873,0.6731526192566579,1.3057336438988247,6.307312299780313,8.665397494129353,6.0934009358665335,6.0934009358665335,6.307312299780313,21.00655608146286,149.2497443646497,149.2497443646497,0.27669341500197325,6.0934009358665335,1.602344893181153,1.3209302750951126,0.28141461808604035,0.3628914252268072,1.0,0.6814457126134036
Dipole fitting (grid),-5,5,scenario_macro,369,4,0.6454302592844372,0.6408266596916314,0.5202373762687463,0.6931262803628915,1.2720289941545198,6.967656139448316,8.947932501749786,2.5688330823988834,2.5688330823988834,6.967656139448316,21.31655453078643,140.6041006840846,140.6041006840846,0.28901462133376354,2.5688330823988834,1.7066085016095989,1.4031350599941468,0.30347344161545214,0.39972929470295576,1.0,0.6998646473514779
Dipole fitting (grid),-5,10,scenario_macro,369,4,0.6453869660488768,0.640091708813759,0.5192615056700797,0.6925604819042045,1.286386723230114,6.919848427518313,9.242407987210001,4.345614255984339,4.345614255984339,6.919848427518313,21.599611492155372,136.77831800145336,136.77831800145336,0.2919799396230283,4.345614255984339,2.021897863623061,1.7056116476441323,0.3162862159789289,0.4168129938542582,0.9926470588235294,0.7047300263388938
Dipole fitting (grid),-5,15,scenario_macro,369,4,0.6436485916429442,0.6395901753552901,0.5187388069488136,0.6904302019315188,1.2941136947184368,7.544011531897809,10.075676237306418,2.452340788594572,2.452340788594572,7.544011531897809,17.902780964526578,141.20221125282276,141.20221125282276,0.28359600481778974,2.452340788594572,1.9160319724904888,1.610720295580919,0.3053116769095698,0.3972783143107989,1.0,0.6986391571553995
Dipole fitting (grid),-5,20,scenario_macro,369,4,0.6452281897460158,0.6397258369264345,0.5187094100629913,0.693904253243586,1.2906274400478814,7.479723358019186,10.084214653902157,3.236983824385836,3.236983824385836,7.479723358019186,23.48905438451615,137.2857767499742,137.2857767499742,0.29028678307615874,3.236983824385836,1.937051872988001,1.6207107843137256,0.31634108867427563,0.41443517705589694,0.9926470588235294,0.7035411179397132
Dipole fitting (grid),0,-10,scenario_macro,369,4,0.623141335642021,0.6267240081821611,0.5196077804911622,0.648888888888889,1.4133801765129548,4.1927133050352134,8.970154060102729,1.2761423674512116,1.2761423674512116,4.1927133050352134,32.391565047000185,161.33116593876164,161.33116593876164,0.25,1.2761423674512116,1.37483172373427,1.1248317237342698,0.25,0.3111111111111111,1.0,0.6555555555555556
Dipole fitting (grid),0,-5,scenario_macro,369,4,0.6378664284544018,0.640332549707073,0.5208469109678842,0.671523509901473,1.3175807505964459,4.649717049370722,8.602895364743558,1.5713483474557561,1.5713483474557561,4.649717049370722,25.400083877466546,153.70788243589416,153.70788243589416,0.25644414166539115,1.5713483474557561,1.5247128328943518,1.2654667837284168,0.259246049165935,0.3432104184957565,1.0,0.6716052092478783
Dipole fitting (grid),0,0,scenario_macro,369,4,0.6409494919996493,0.6411010532844197,0.5215487939047,0.6786313530387279,1.2945287560711674,5.436966313442984,8.547466194653506,1.4562890335160377,1.4562890335160377,5.436966313442984,16.396771328548397,149.71718688786822,149.71718688786822,0.2692702849787079,1.4562890335160377,1.6256456687152472,1.3498555019022533,0.27579016681299384,0.36036728124085454,1.0,0.6801836406204272
Dipole fitting (grid),0,5,scenario_macro,369,4,0.646966937515009,0.6416050748436957,0.5213808246947149,0.6955748219685884,1.2608684366050515,5.7038094314643395,8.624781963537144,2.1614801191142106,2.1614801191142106,5.7038094314643395,23.225249366462744,138.89141741849093,138.89141741849093,0.2915182571028417,2.1614801191142106,1.7132133450395082,1.4041703248463564,0.3090430201931519,0.40715539947322216,0.9926470588235294,0.6999012291483758
