method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,surface_auc_tie_corrected,deep_auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_active_count,deep_active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,deep_only,case_weighted_within_scenario,30,1,0.6665,0.666613425617818,nan,0.661111111111111,1.5191962512727344,nan,nan,3.609475595001451,3.609475595001451,0.4938851521663484,3.609475595001451,1.4,0.9,0.5,nan,nan,126.14885960291323,126.14885960291323,0.4666666666666667,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_surface,case_weighted_within_scenario,136,1,0.5080550634003584,0.5153733646523876,0.5164650505470039,0.5,1.8152390598278165,11.09132137082566,13.372293081941622,nan,nan,0.0,nan,1.1911764705882353,1.1911764705882353,0.0,11.09132137082566,13.372293081941622,234.02911185627732,234.02911185627732,0.0,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.5078605616753721,0.5105500399347788,0.5108899038518842,0.5,1.8380664974761238,11.903309067168662,24.899662853467632,nan,nan,0.0,nan,1.5970149253731343,1.5970149253731343,0.0,11.903309067168662,137.26772500423107,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-10,surface_only,case_weighted_within_scenario,136,1,0.5166919432222878,0.5168211312238234,0.5168210203643006,nan,1.750885090590354,10.503656039249732,10.277368155652516,nan,nan,0.0,nan,1.1985294117647058,1.1985294117647058,0.0,10.503656039249732,10.277368155652516,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,-5,deep_only,case_weighted_within_scenario,30,1,0.9163333333333334,0.9166511380274192,nan,0.9144444444444445,0.5711544328423449,nan,nan,0.7407406962484114,0.7407406962484114,0.9,0.7407406962484114,1.6333333333333333,0.7333333333333333,0.9,nan,nan,24.069577812251303,24.069577812251303,0.9,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_surface,case_weighted_within_scenario,136,1,0.5100029827202466,0.5190800561346873,0.5203692106597761,0.4997549019607843,1.748438150073972,10.960402161997521,9.964136354614777,10.000000188899337,10.000000188899337,0.007352941176470588,10.000000188899337,1.3088235294117647,1.3014705882352942,0.007352941176470588,10.960402161997521,9.964136354614777,232.38183897637012,232.38183897637012,0.007352941176470588,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.5102184739538855,0.5145982006892877,0.5150506962877184,0.5,1.7967924440962126,6.091917625877707,11.067191425062376,nan,nan,0.0,nan,1.7164179104477613,1.7164179104477613,0.0,6.091917625877707,90.93414799743788,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-5,surface_only,case_weighted_within_scenario,136,1,0.5193676064112005,0.5195708346916676,0.5195712260607775,nan,1.6868011790969657,7.504441599997506,8.24147836624724,nan,nan,0.007352941176470588,nan,1.25,1.2426470588235294,0.007352941176470588,7.504441599997506,8.24147836624724,nan,nan,nan,0.9926470588235294,nan
Dipole fitting (grid),-10,0,deep_only,case_weighted_within_scenario,30,1,1.0,1.0,nan,1.0,0.1128306366240818,nan,nan,0.0,0.0,1.0,0.0,1.8333333333333333,0.8333333333333334,1.0,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,0,deep_plus_surface,case_weighted_within_scenario,136,1,0.5154783744000063,0.5197551781625906,0.5203327380157099,0.5107843137254902,1.7346921815149134,8.324463581022579,9.191220905498865,2.4999998498383884,2.4999998498383884,0.018308476853793363,2.4999998498383884,1.3970588235294117,1.3676470588235294,0.029411764705882353,8.324463581022579,9.191220905498865,227.21943209138203,227.21943209138203,0.029411764705882353,nan,nan
Dipole fitting (grid),-10,0,deep_plus_two_surface,case_weighted_within_scenario,67,1,0.5116194924047727,0.5164220053304007,0.5169347908907392,0.5,1.780675861166816,8.39606179736399,10.010581471354921,nan,nan,0.0,nan,2.08955223880597,2.08955223880597,0.0,8.39606179736399,46.78974317634219,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,0,surface_only,case_weighted_within_scenario,136,1,0.5204732626807553,0.5206641011785519,0.5206639339575646,nan,1.6648141735171302,7.45626395835141,9.785506171529963,nan,nan,0.0,nan,1.3014705882352942,1.3014705882352942,0.0,7.45626395835141,9.785506171529963,nan,nan,nan,1.0,nan
