method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,case_weighted,186,4,0.5249196930740002,0.5282267028999006,1.7610227354349879,9.535171152422585,16.049750351976023,3.749999873450805,3.749999873450805,0.043010752688172046,3.749999873450805,1.2311827956989247,9.535171152422585,16.049750351976023,218.41696867100097,218.41696867100097,0.06779661016949153,1.0,0.5338983050847458
Dipole fitting (grid),-10,-5,case_weighted,186,4,0.5450813387205601,0.5490459474687495,1.6503981037490683,8.056318933089416,10.701784661878282,1.9999999564837074,1.9999999564837074,0.08064516129032258,1.9999999564837074,1.39247311827957,8.056318933089416,10.701784661878282,204.53388576732056,204.53388576732056,0.1271186440677966,1.0,0.5635593220338984
Dipole fitting (grid),-10,0,case_weighted,186,4,0.5552746661214465,0.5590326103788509,1.5673444711869273,7.614246293064705,11.34649678323136,2.1052630729978943,2.1052630729978943,0.09863595814165592,2.1052630729978943,1.5053763440860215,7.614246293064705,11.34649678323136,196.68544128947812,196.68544128947812,0.16101694915254236,1.0,0.5805084745762712
Dipole fitting (grid),-10,5,case_weighted,186,4,0.5641880721026724,0.5626113951905791,1.542986585099554,8.553286597285004,10.531264219620905,1.7656853760924103,1.7656853760924103,0.11935090384126258,1.7656853760924103,1.6666666666666667,8.553286597285004,10.531264219620905,184.82075878844157,184.82075878844157,0.2033898305084746,1.0,0.6016949152542372
Dipole fitting (grid),-10,10,case_weighted,186,4,0.569939001753347,0.5623280835951602,1.527116712744379,5.932013180073295,10.731563558354988,1.6129031543972112,1.6129031543972112,0.14838566688424043,1.6129031543972112,1.6129032258064515,5.932013180073295,10.731563558354988,172.9706163498512,172.9706163498512,0.2627118644067797,0.9852941176470589,0.6240029910269193
Dipole fitting (grid),-10,15,case_weighted,186,4,0.5693138245189202,0.5628536229178007,1.5226560765183803,7.399181302630295,10.895971600826153,1.3793103560586455,1.3793103560586455,0.13098613019803054,1.3793103560586455,1.6881720430107527,7.399181302630295,10.895971600826153,176.85246572486767,176.85246572486767,0.2457627118644068,1.0,0.6228813559322034
Dipole fitting (grid),-10,20,case_weighted,186,4,0.5693847890316367,0.5631814125680003,1.5260853340271099,7.065632056924243,11.090986562708839,1.379310316431234,1.379310316431234,0.1321577242606918,1.379310316431234,1.6989247311827957,7.065632056924243,11.090986562708839,176.85246571512874,176.85246571512874,0.2457627118644068,1.0,0.6228813559322034
Dipole fitting (grid),-5,-10,case_weighted,186,4,0.5342805035023713,0.5381229983641147,1.7038797692515257,7.070851813436056,11.828151570835706,1.999999958825289,1.999999958825289,0.053763440860215055,1.999999958825289,1.2741935483870968,7.070851813436056,11.828151570835706,214.36562779717124,214.36562779717124,0.0847457627118644,1.0,0.5423728813559322
Dipole fitting (grid),-5,-5,case_weighted,186,4,0.5567313746272017,0.5608548282349601,1.5966739004226385,5.7908797642558,8.844289808532261,0.5882352587855032,0.5882352587855032,0.08947978805742637,0.5882352587855032,1.435483870967742,5.7908797642558,8.844289808532261,200.39779912613022,200.39779912613022,0.1440677966101695,1.0,0.5720338983050848
Dipole fitting (grid),-5,0,case_weighted,186,4,0.5635500577137117,0.5635271182366965,1.5377437507488934,5.073918380157269,9.148152241360998,0.4761904475882643,0.4761904475882643,0.10950009360678413,0.4761904475882643,1.521505376344086,5.073918380157269,9.148152241360998,192.46460889371406,192.46460889371406,0.17796610169491525,1.0,0.5889830508474576
