method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,deep_only,case_weighted_within_scenario,16,1,0.6559375000000001,0.6561876081458804,1.5538337870624976,nan,nan,3.749999873450805,3.749999873450805,0.5,3.749999873450805,1.25,nan,nan,118.88955586486408,118.88955586486408,0.5,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.5088268210324942,0.5165303951885536,1.7948603219500345,9.554091027568754,13.437173471526739,nan,nan,0.0,nan,1.1323529411764706,9.554091027568754,13.437173471526739,234.02911185627738,234.02911185627738,0.0,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.507782707185366,0.5100295091020502,1.8515404353075549,8.942330989335792,31.34353839482126,nan,nan,0.0,nan,1.5588235294117647,8.942330989335792,31.34353839482126,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-10,surface_only,case_weighted_within_scenario,68,1,0.5187533387831175,0.5189131592170009,1.7306766397771847,9.812671358819811,11.015433211002689,nan,nan,0.0,nan,1.161764705882353,9.812671358819811,11.015433211002689,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,-5,deep_only,case_weighted_within_scenario,16,1,0.875,0.8749708838014109,0.701385399810651,nan,nan,1.4285713427647941,1.4285713427647941,0.875,1.4285713427647941,1.375,nan,nan,30.503638906953864,30.503638906953864,0.875,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.5097368024585505,0.5184317831859029,1.755554876231982,8.762550491292041,10.446881906338229,10.000000548548492,10.000000548548492,0.014705882352941176,10.000000548548492,1.2352941176470589,8.762550491292041,10.446881906338229,230.73456610175194,230.73456610175194,0.014705882352941176,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5110766802336348,0.515015026590423,1.8052114929516565,9.948241871761347,17.630783025005886,nan,nan,0.0,nan,2.0294117647058822,9.948241871761347,17.630783025005886,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-5,surface_only,case_weighted_within_scenario,68,1,0.5198002839249877,0.5199873518771918,1.6911317434738995,6.404125905550826,7.49218823585453,nan,nan,0.0,nan,1.2352941176470589,6.404125905550826,7.49218823585453,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,0,deep_only,case_weighted_within_scenario,16,1,0.9375,0.937487521629176,0.34486988111129074,nan,nan,1.2499999742658052,1.2499999742658052,1.0,1.2499999742658052,1.625,nan,nan,1.2499999742658052,1.2499999742658052,1.0,nan,nan
Dipole fitting (grid),-10,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.5160633323235386,0.5237701336106847,1.6978576785741157,9.147821813342762,11.47018275699387,6.666666266235701,6.666666266235702,0.03450423844629415,6.666666266235702,1.4411764705882353,9.147821813342762,11.47018275699387,223.99841572730497,223.99841572730497,0.04411764705882353,nan,nan
Dipole fitting (grid),-10,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5127341028512735,0.5176441648604705,1.784553682200718,5.9598898232641515,13.915035216744354,nan,nan,0.0,nan,2.088235294117647,5.9598898232641515,13.915035216744354,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,0,surface_only,case_weighted_within_scenario,68,1,0.5258209088771341,0.5259410954943662,1.6158677383106412,6.907849007686919,9.938541592712355,nan,nan,0.0,nan,1.25,6.907849007686919,9.938541592712355,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.049514368713755946,nan,nan,0.0,0.0,1.0,0.0,1.75,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.5285753719242483,0.5216377005319791,1.6804343988615509,10.592244614355874,11.774139379027682,4.904681600256695,4.904681600256695,0.09116570756580647,4.904681600256695,1.6029411764705883,10.592244614355874,11.774139379027682,203.70381961650995,203.70381961650995,0.11764705882352941,nan,nan
Dipole fitting (grid),-10,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.511574859487278,0.5161947503289285,1.7758295912907824,5.994166024644216,11.996903258516845,nan,nan,0.0,nan,2.1176470588235294,5.994166024644216,11.996903258516845,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,5,surface_only,case_weighted_within_scenario,68,1,0.5235633955541285,0.5238784464424935,1.6405224956268374,7.7938888665345285,8.555569540766157,nan,nan,0.0,nan,1.4852941176470589,7.7938888665345285,8.555569540766157,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,10,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.017748082043443074,nan,nan,0.0,0.0,1.0,0.0,2.5,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.5472744361894516,0.5238781928093051,1.6247636455707357,7.173942502034685,10.34056249002585,2.857142741925714,2.857142741925714,0.15361899715055718,2.857142741925714,1.5294117647058822,7.173942502034685,10.34056249002585,186.43488292096967,186.43488292096967,0.20588235294117646,nan,nan
Dipole fitting (grid),-10,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5110198783612354,0.5152737802017655,1.7917738288811629,6.424516466498674,16.258711440824147,9.999999399353554,9.999999399353554,0.029411764705882353,9.999999399353554,2.0588235294117645,6.424516466498674,16.258711440824147,227.44002031342666,227.44002031342666,0.029411764705882353,nan,nan
Dipole fitting (grid),-10,10,surface_only,case_weighted_within_scenario,68,1,0.5208723058964386,0.5213234986883385,1.652286782014556,4.443832214899218,8.358990685449546,nan,nan,0.00225944462104167,nan,1.2647058823529411,4.443832214899218,8.358990685449546,nan,nan,nan,0.9852941176470589,nan
Dipole fitting (grid),-10,15,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.004573053602977635,nan,nan,0.0,0.0,1.0,0.0,2.625,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.5431703006310422,0.5230483076909788,1.6436881855653855,7.430990741991332,9.617542028353434,1.8181818852225298,1.8181818852225298,0.10780674393731537,1.8181818852225298,1.5147058823529411,7.430990741991332,9.617542028353434,196.46557906684205,196.46557906684205,0.16176470588235295,nan,nan
Dipole fitting (grid),-10,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.51125720360612,0.5152883484674531,1.7945927072997434,6.958739877903753,13.41796943541743,9.999999794126445,9.999999794126445,0.03036945967930108,9.999999794126445,2.176470588235294,6.958739877903753,13.41796943541743,220.8509287937979,220.8509287937979,0.058823529411764705,nan,nan
Dipole fitting (grid),-10,15,surface_only,case_weighted_within_scenario,68,1,0.5231477352205912,0.5235836042916316,1.6228516574725538,7.587592575632527,10.913402256003238,nan,nan,0.0,nan,1.3970588235294117,7.587592575632527,10.913402256003238,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,20,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.00104953916121537,nan,nan,0.0,0.0,1.0,0.0,2.625,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,20,deep_plus_surface,case_weighted_within_scenario,68,1,0.5437710913257083,0.5240920873505596,1.6481423787061793,8.288165643184035,11.64309657977509,1.8181818525271518,1.8181818525271518,0.1024774734560428,1.8181818525271518,1.6029411764705883,8.288165643184035,11.64309657977509,196.4655790615531,196.4655790615531,0.16176470588235295,nan,nan
Dipole fitting (grid),-10,20,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5117130979749248,0.5161276792200599,1.8042306194442232,6.05533850166415,13.398911122698314,9.999999399353554,9.999999399353554,0.04743730933758146,9.999999399353554,2.2058823529411766,6.05533850166415,13.398911122698314,220.85092877057596,220.85092877057596,0.058823529411764705,nan,nan
Dipole fitting (grid),-10,20,surface_only,case_weighted_within_scenario,68,1,0.5225131061557174,0.5230167603577639,1.623787598372635,6.348245248294497,9.38491426564785,nan,nan,0.0,nan,1.3235294117647058,6.348245248294497,9.38491426564785,nan,nan,nan,1.0,nan
Dipole fitting (grid),-5,-10,deep_only,case_weighted_within_scenario,16,1,0.75,0.749958405430587,1.2733981757871864,nan,nan,1.999999958825289,1.999999958825289,0.625,1.999999958825289,1.25,nan,nan,89.01091692036982,89.01091692036982,0.625,nan,nan
Dipole fitting (grid),-5,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.5098457864448191,0.5185927875107437,1.7621200561701618,7.613400352491408,9.437109808717636,nan,nan,0.0,nan,1.1470588235294117,7.613400352491408,9.437109808717636,234.02911185627738,234.02911185627738,0.0,nan,nan
Dipole fitting (grid),-5,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5091958424975551,0.5124259383745311,1.821434219861388,5.975434177318765,23.84478678840801,nan,nan,0.0,nan,1.6764705882352942,5.975434177318765,23.84478678840801,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-5,-10,surface_only,case_weighted_within_scenario,68,1,0.5205000224746543,0.5206581140201664,1.6881520437254505,7.076012092439346,8.210875724167622,nan,nan,0.0,nan,1.2058823529411764,7.076012092439346,8.210875724167622,nan,nan,nan,1.0,nan
Dipole fitting (grid),-5,-5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.27521875298241294,nan,nan,0.0,0.0,1.0,0.0,2.0,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-5,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.5098972097486985,0.51882966838872,1.749882448656099,4.790805606557725,8.109181185588165,9.999999399353554,9.999999399353554,0.009459420274725058,9.999999399353554,1.2205882352941178,4.790805606557725,8.109181185588165,230.73456608485205,230.73456608485205,0.014705882352941176,nan,nan
Dipole fitting (grid),-5,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5131241728327629,0.5174543773431468,1.7668436789699005,5.458060730489142,11.697524157063306,nan,nan,0.0,nan,2.088235294117647,5.458060730489142,11.697524157063306,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-5,-5,surface_only,case_weighted_within_scenario,68,1,0.5210706403152071,0.5212519378176856,1.6693110858426585,6.957363438837205,8.152781257210835,nan,nan,0.0,nan,1.1911764705882353,6.957363438837205,8.152781257210835,nan,nan,nan,1.0,nan
Dipole fitting (grid),-5,0,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.10064940320426637,nan,nan,0.0,0.0,1.0,0.0,1.875,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-5,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.5263710766761209,0.5236290558835507,1.6752481875487737,4.553434002661078,8.244802999074253,1.99999987987071,1.99999987987071,0.0642208442773801,1.99999987987071,1.3529411764705883,4.553434002661078,8.244802999074253,216.96814774036514,216.96814774036514,0.07352941176470588,nan,nan
Dipole fitting (grid),-5,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5126420671741391,0.5175932365634996,1.7605407534085504,5.774991526934099,13.24724115303158,nan,nan,0.0,nan,2.0588235294117645,5.774991526934099,13.24724115303158,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-5,0,surface_only,case_weighted_within_scenario,68,1,0.5234889299537269,0.5236926198350752,1.6269806591002733,5.243866184265043,8.001957027812452,nan,nan,0.0,nan,1.338235294117647,5.243866184265043,8.001957027812452,nan,nan,nan,1.0,nan
Dipole fitting (grid),-5,5,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.03549635417659571,nan,nan,0.0,0.0,1.0,0.0,1.625,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-5,5,deep_plus_surface,case_weighted_within_scenario,68,1,0.5342179696807421,0.5255694867566285,1.6472157973454848,7.532279142395289,8.590369207608035,3.7935705239282984,3.7935705239282984,0.10164920671503029,3.7935705239282984,1.6029411764705883,7.532279142395289,8.590369207608035,203.55676079758413,203.55676079758413,0.11764705882352941,nan,nan
Dipole fitting (grid),-5,5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5116678471388365,0.5160879494744876,1.7934129814443116,6.780630075912713,10.968068952819792,nan,nan,0.0,nan,2.2058823529411766,6.780630075912713,10.968068952819792,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-5,5,surface_only,case_weighted_within_scenario,68,1,0.5243299276514415,0.5246409294653016,1.6495406290246768,4.963650137244292,9.222568539159015,nan,nan,0.0,nan,1.338235294117647,4.963650137244292,9.222568539159015,nan,nan,nan,1.0,nan
Dipole fitting (grid),-5,10,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.016750721653706446,nan,nan,0.0,0.0,1.0,0.0,2.5625,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-5,10,deep_plus_surface,case_weighted_within_scenario,68,1,0.541070485711035,0.5255463362183774,1.6350957342840133,7.85417717006232,10.447607541390104,2.4142136086610257,2.4142136086610257,0.08962252062610675,2.4142136086610257,1.6470588235294117,7.85417717006232,10.447607541390104,199.96809740809852,199.96809740809852,0.1323529411764706,nan,nan
Dipole fitting (grid),-5,10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5176148985528517,0.5180344727479089,1.7549463526842428,6.054168553911458,12.263727933172587,4.999999699676777,4.999999699676777,0.038933034464257464,4.999999699676777,2.264705882352941,6.054168553911458,12.263727933172587,220.5568111411832,220.5568111411832,0.058823529411764705,nan,nan
Dipole fitting (grid),-5,10,surface_only,case_weighted_within_scenario,68,1,0.5221099387753134,0.5225603853922407,1.644787659390707,6.355059576355516,9.01602108813616,nan,nan,0.0,nan,1.4852941176470589,6.355059576355516,9.01602108813616,nan,nan,nan,1.0,nan
Dipole fitting (grid),-5,15,deep_only,case_weighted_within_scenario,16,1,1.0,1.0,0.0034863556258302245,nan,nan,0.0,0.0,1.0,0.0,2.75,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-5,15,deep_plus_surface,case_weighted_within_scenario,68,1,0.5502396705372595,0.5232866486504335,1.6383863381036392,8.734819125138646,10.73293253422808,1.5384615067886835,1.5384615067886835,0.1229745526957004,1.5384615067886835,1.6470588235294117,8.734819125138646,10.73293253422808,189.58236987769868,189.58236987769868,0.19117647058823528,nan,nan
Dipole fitting (grid),-5,15,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5116836662601306,0.5160364886651727,1.791851949306385,6.124475111222894,11.91155201735757,9.999999794126445,9.999999794126445,0.030459804430088354,9.999999794126445,2.2058823529411766,6.124475111222894,11.91155201735757,220.8509287937979,220.8509287937979,0.058823529411764705,nan,nan
Dipole fitting (grid),-5,15,surface_only,case_weighted_within_scenario,68,1,0.5222709869175274,0.5227354739231075,1.6316908751139816,4.4720585208292745,8.312346509810885,nan,nan,0.0,nan,1.2941176470588236,4.4720585208292745,8.312346509810885,nan,nan,nan,1.0,nan
