source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
0,626,-2.0,-48.0,-72.0,2.532827283652572e-23,2.8427790758502914e-23,0.5013753440677318,-0.5013753440677318
1,702,-2.0,-40.0,-72.0,2.268920052509454e-23,2.4019476921744484e-23,0.24744352040553785,-0.24744352040553785
2,704,6.000000000000001,-40.0,-72.0,2.064227198930101e-23,2.4233529076242017e-23,0.696591679474654,-0.696591679474654
3,4052,22.0,-72.0,-64.0,1.9017574220737522e-23,2.280175997080759e-23,0.7881324976592892,-0.7881324976592892
4,4114,-34.0,-64.0,-64.0,2.2707983481825563e-23,2.746061970690224e-23,0.8253176414351094,-0.8253176414351094
5,4116,-26.000000000000007,-64.0,-64.0,2.5080369414397816e-23,3.084739811244523e-23,0.8988460942138577,-0.8988460942138577
6,4118,-18.0,-64.0,-64.0,2.551773425071443e-23,3.108537875840111e-23,0.8571405312881355,-0.8571405312881355
7,4120,-10.0,-64.0,-64.0,2.3953137722602358e-23,2.903914211444547e-23,0.8362137057799173,-0.8362137057799173
8,4122,-2.0,-64.0,-64.0,2.3466192745478176e-23,2.715555297759592e-23,0.6341601736480005,-0.6341601736480005
9,4124,6.000000000000001,-64.0,-64.0,2.3251599830723013e-23,2.656377912495679e-23,0.5783702050061315,-0.5783702050061315
10,4126,14.000000000000002,-64.0,-64.0,2.2279443395601183e-23,2.5471911012970418e-23,0.5815719212149248,-0.5815719212149248
11,4128,22.0,-64.0,-64.0,2.0199033370051586e-23,2.3275033664733115e-23,0.6155973114262248,-0.6155973114262248
12,4130,30.000000000000004,-64.0,-64.0,1.8374052788927652e-23,2.1446476080699066e-23,0.6715098269225593,-0.6715098269225593
13,4188,-42.0,-56.0,-64.0,2.2061825531849715e-23,2.5288320843539061e-23,0.5927854714109331,-0.5927854714109331
14,4190,-34.0,-56.0,-64.0,2.4268079420016652e-23,2.868148040269278e-23,0.7256615625444619,-0.7256615625444619
15,4192,-26.000000000000007,-56.0,-64.0,2.461486261354197e-23,3.0028439730531375e-23,0.8633535083775851,-0.8633535083775851
16,4194,-18.0,-56.0,-64.0,2.688077610596015e-23,3.231623060072198e-23,0.7997889490855477,-0.7997889490855477
17,4196,-10.0,-56.0,-64.0,2.6647196903825735e-23,3.1434809179742365e-23,0.7175929731001672,-0.7175929731001672
18,4198,-2.0,-56.0,-64.0,2.5314314400282482e-23,2.932949971348791e-23,0.6393848541030469,-0.6393848541030469
19,4200,6.000000000000001,-56.0,-64.0,2.399229659003961e-23,2.739994416089984e-23,0.5767785627694259,-0.5767785627694259
20,4202,14.000000000000002,-56.0,-64.0,2.2609669004908163e-23,2.5723944327707582e-23,0.5604335648093199,-0.5604335648093199
21,4204,22.0,-56.0,-64.0,2.0442639604251708e-23,2.3441273576299894e-23,0.5944423116433866,-0.5944423116433866
22,4206,30.000000000000004,-56.0,-64.0,1.919775209082978e-23,2.203298087249648e-23,0.5982287829185142,-0.5982287829185142
23,4208,38.0,-56.0,-64.0,1.596658191263193e-23,1.960751463408081e-23,0.8921059444512252,-0.8921059444512252
24,4266,-34.0,-48.0,-64.0,2.3227795547261628e-23,2.7150298543351206e-23,0.6776661474523489,-0.6776661474523489
25,4268,-26.000000000000007,-48.0,-64.0,2.148123956130367e-23,2.504033880442175e-23,0.6658086229400124,-0.6658086229400124
