source_index,mni_x_mm,mni_y_mm,mni_z_mm,DICS_erd_db,LCMV_erd_db,MNE_erd_db,dSPM_erd_db,sLORETA_erd_db,eLORETA_erd_db
0,-2.0,-48.0,-72.0,-0.536744959278186,-0.5013753440677318,-0.3322380608992706,-0.3322380608990405,-0.3322380608992373,-0.5467167891778747
1,-2.0,-40.0,-72.0,-0.3032763708723437,-0.24744352040553785,-0.34631785414490246,-0.3463178541446612,-0.3463178541448816,-0.6100845909659788
2,6.000000000000001,-40.0,-72.0,-0.714616019229098,-0.696591679474654,-0.6609132417242668,-0.6609132417238721,-0.6609132417242802,-0.7709134552735473
3,22.0,-72.0,-64.0,-0.7989511138404927,-0.7881324976592892,-1.1249419959856688,-1.12494199598454,-1.1249419959851727,-0.826287396075081
4,-34.0,-64.0,-64.0,-0.8748680070391278,-0.8253176414351094,-0.30623214435268464,-0.3062321443524022,-0.3062321443525833,-0.35273243321195297
5,-26.000000000000007,-64.0,-64.0,-0.9421295028289196,-0.8988460942138577,-0.43734368162526327,-0.4373436816248847,-0.4373436816251305,-0.44781771486597377
6,-18.0,-64.0,-64.0,-0.8980393889673587,-0.8571405312881355,-0.33458700910214745,-0.3345870091018506,-0.33458700910205685,-0.5375939733572445
7,-10.0,-64.0,-64.0,-0.8707028027359269,-0.8362137057799173,-0.25488435701930845,-0.2548843570190906,-0.25488435701925016,-0.4446674557742297
8,-2.0,-64.0,-64.0,-0.649142067997026,-0.6341601736480005,-0.3016367165233173,-0.3016367165230568,-0.3016367165232403,-0.5188215754769295
9,6.000000000000001,-64.0,-64.0,-0.591376545210821,-0.5783702050061315,-0.37749251336412165,-0.37749251336380507,-0.3774925133640212,-0.6103187552005398
10,14.000000000000002,-64.0,-64.0,-0.5941474797798069,-0.5815719212149248,-0.5481657341191096,-0.5481657341186551,-0.548165734118927,-0.7218538291463841
11,22.0,-64.0,-64.0,-0.6109539306915641,-0.6155973114262248,-0.5904593783644114,-0.59045937836389,-0.5904593783642226,-0.7002416660788414
12,30.000000000000004,-64.0,-64.0,-0.6594691851688541,-0.6715098269225593,-0.5827871809106725,-0.5827871809101106,-0.5827871809104994,-0.6713241122482606
13,-42.0,-56.0,-64.0,-0.648798021922406,-0.5927854714109331,-0.1771163149022956,-0.17711631490212332,-0.17711631490223684,-0.26034319022410507
14,-34.0,-56.0,-64.0,-0.7776499338166118,-0.7256615625444619,-0.28950906196825393,-0.28950906196799575,-0.28950906196817716,-0.32608328569056744
15,-26.000000000000007,-56.0,-64.0,-0.9064625664462693,-0.8633535083775851,-0.41861512485796165,-0.41861512485764363,-0.41861512485784963,-0.3594357138405744
16,-18.0,-56.0,-64.0,-0.8429684397708492,-0.7997889490855477,-0.33890232103113005,-0.33890232103089496,-0.3389023210310649,-0.5016304643259479
17,-10.0,-56.0,-64.0,-0.7566475455826233,-0.7175929731001672,-0.269450868284793,-0.2694508682846206,-0.2694508682847627,-0.5732270793967161
18,-2.0,-56.0,-64.0,-0.668205346652839,-0.6393848541030469,-0.19746320847941964,-0.1974632084793046,-0.19746320847940552,-0.5266480416180133
19,6.000000000000001,-56.0,-64.0,-0.5927508131343827,-0.5767785627694259,-0.1850462186571053,-0.18504621865700568,-0.1850462186570872,-0.5118855612510519
20,14.000000000000002,-56.0,-64.0,-0.5674677179226958,-0.5604335648093199,-0.2553860872662127,-0.255386087266048,-0.2553860872661626,-0.4948012101397297
21,22.0,-56.0,-64.0,-0.5889591514738005,-0.5944423116433866,-0.3798536032270795,-0.379853603226768,-0.37985360322696954,-0.5270096807085801
22,30.000000000000004,-56.0,-64.0,-0.6109086913891012,-0.5982287829185142,-0.6195489950100038,-0.61954899500942,-0.6195489950098253,-0.5919251414399277
23,38.0,-56.0,-64.0,-0.8487928103224176,-0.8921059444512252,-0.8534085158675152,-0.853408515866672,-0.8534085158672905,-0.6982677814486307
24,-34.0,-48.0,-64.0,-0.7175280676954611,-0.6776661474523489,-0.16476977184687652,-0.16476977184672528,-0.16476977184682692,-0.24669179903030816
25,-26.000000000000007,-48.0,-64.0,-0.6913931736716122,-0.6658086229400124,-0.18278692905837685,-0.18278692905822294,-0.1827869290583341,-0.3126885962003394
26,-18.0,-48.0,-64.0,-0.7171752237659679,-0.6779657371459731,-0.32933223764837294,-0.329332237648195,-0.32933223764834696,-0.5009841322262683
27,-10.0,-48.0,-64.0,-0.6289540481113519,-0.5905133646564735,-0.3161757044260219,-0.31617570442591614,-0.31617570442606546,-0.6316008153861998
28,-2.0,-48.0,-64.0,-0.5437749703345585,-0.509910113824977,-0.24426064978589612,-0.24426064978583695,-0.2442606497859456,-0.5642227467505598
29,6.000000000000001,-48.0,-64.0,-0.5041911991227321,-0.4796301776769648,-0.2231153101185389,-0.223115310118478,-0.22311531011857344,-0.48491658870530396
30,14.000000000000002,-48.0,-64.0,-0.512061656063389,-0.5013686232224118,-0.38449805528323966,-0.3844980552830305,-0.38449805528321535,-0.6278498107941134
31,22.0,-48.0,-64.0,-0.539530899766695,-0.5297362713025113,-0.6082817271204464,-0.6082817271199538,-0.6082817271202955,-0.598578187766843
