source_index,original_4mm_grid_index,mni_x_mm,mni_y_mm,mni_z_mm,rest_beta_power,hold_beta_power,hold_vs_rest_db,rest_vs_hold_erd_db
0,626,-2.0,-48.0,-72.0,1.1931563914351165e-24,1.3501184368665028e-24,0.536744959278186,-0.536744959278186
1,702,-2.0,-40.0,-72.0,1.0707471855330853e-24,1.1481921639301634e-24,0.3032763708723437,-0.3032763708723437
2,704,6.000000000000001,-40.0,-72.0,9.84731478562898e-25,1.160858866996005e-24,0.714616019229098,-0.714616019229098
3,4052,22.0,-72.0,-64.0,9.149290985057237e-25,1.0997210841571052e-24,0.7989511138404927,-0.7989511138404927
4,4114,-34.0,-64.0,-64.0,1.082078109327251e-24,1.3235654196209884e-24,0.8748680070391278,-0.8748680070391278
5,4116,-26.000000000000007,-64.0,-64.0,1.1865430981378866e-24,1.4739965524840334e-24,0.9421295028289196,-0.9421295028289196
6,4118,-18.0,-64.0,-64.0,1.2034184974207354e-24,1.4798599658760529e-24,0.8980393889673587,-0.8980393889673587
7,4120,-10.0,-64.0,-64.0,1.1330070299879562e-24,1.3845316397228488e-24,0.8707028027359269,-0.8707028027359269
8,4122,-2.0,-64.0,-64.0,1.1143614705523836e-24,1.294017931786721e-24,0.649142067997026,-0.649142067997026
9,4124,6.000000000000001,-64.0,-64.0,1.1110344574849463e-24,1.2731078113378636e-24,0.591376545210821,-0.591376545210821
10,4126,14.000000000000002,-64.0,-64.0,1.0647693124757293e-24,1.220872394542274e-24,0.5941474797798069,-0.5941474797798069
11,4128,22.0,-64.0,-64.0,9.67498258768356e-25,1.1136419578211898e-24,0.6109539306915641,-0.6109539306915641
12,4130,30.000000000000004,-64.0,-64.0,8.736333698866388e-25,1.0168950488280738e-24,0.6594691851688541,-0.6594691851688541
13,4188,-42.0,-56.0,-64.0,1.0524353326891916e-24,1.2220113007127489e-24,0.648798021922406,-0.648798021922406
14,4190,-34.0,-56.0,-64.0,1.1513587291235879e-24,1.3771322579833471e-24,0.7776499338166118,-0.7776499338166118
15,4192,-26.000000000000007,-56.0,-64.0,1.1684880432483217e-24,1.4396951095137638e-24,0.9064625664462693,-0.9064625664462693
16,4194,-18.0,-56.0,-64.0,1.2708043220469379e-24,1.543034112093509e-24,0.8429684397708492,-0.8429684397708492
17,4196,-10.0,-56.0,-64.0,1.2579955201541856e-24,1.4974207575261972e-24,0.7566475455826233,-0.7566475455826233
