method,metric,subjects,mean,sd,median,q1,q3,bootstrap_median_ci_low,bootstrap_median_ci_high
OASTER Joint,n20_left_s1_enrichment_median,5,3.6572167151373924,8.096413912695825,0.023235323913357173,0.013423225662870622,0.1042050856585672,0.004871515039295098,18.140348425412874
OASTER Joint,n20_peak_euclidean_distance_to_left_s1_mm_median,5,22.650731902996124,19.32986755528439,22.775528673167774,8.054066133979623,34.91133840749168,0.0,47.51272630034156
OASTER Joint,p30_left_s1_enrichment_median,5,3.921072482351177,8.679103970019797,0.021204331741909124,0.013718334303870544,0.11902355152910388,0.004910044793329492,19.44650614938767
OASTER Joint,p30_peak_euclidean_distance_to_left_s1_mm_median,5,22.650731902996124,19.32986755528439,22.775528673167774,8.054066133979623,34.91133840749168,0.0,47.51272630034156
OASTER Joint,n20_run_map_spearman_mean,5,0.23428023457499866,0.07189553022046014,0.2483471310025164,0.24080305855425252,0.2608224291001701,0.11422529467535876,0.3072032595426956
OASTER Joint,p30_run_map_spearman_mean,5,0.23050357900909932,0.07176601053998223,0.24419134359064035,0.2408088343209951,0.2544939015601588,0.11012427440777206,0.3028995411659304
OASTER EEG,n20_left_s1_enrichment_median,5,1.0150079638821439,2.2250034219707193,0.023840359327311073,0.022675586344517742,0.03191109986684556,0.0014487342461214148,4.995164039625923
OASTER EEG,n20_peak_euclidean_distance_to_left_s1_mm_median,5,35.48439250601457,13.127068843902618,34.91133840749168,32.31151421400146,36.8214461863153,18.328614852472473,55.04904886979191
OASTER EEG,p30_left_s1_enrichment_median,5,0.9916613181345619,2.1697533914615517,0.02439888603892831,0.02237257925083153,0.03691460928221237,0.0016523536905748736,4.872968162410262
OASTER EEG,p30_peak_euclidean_distance_to_left_s1_mm_median,5,35.48439250601457,13.127068843902618,34.91133840749168,32.31151421400146,36.8214461863153,18.328614852472473,55.04904886979191
OASTER EEG,n20_run_map_spearman_mean,5,0.24254271043048609,0.08764011444112006,0.25786524142999817,0.24453437492496,0.2657360027813702,0.10161159734237807,0.34296633567372387
OASTER EEG,p30_run_map_spearman_mean,5,0.23266970709741347,0.08534834634974114,0.24804434770122427,0.23428102189655972,0.25283562205638116,0.09619213891750523,0.331995404915397
OASTER MAG,n20_left_s1_enrichment_median,5,8.79645722165343,15.01851821889551,0.03531859341934532,0.013861150971911445,9.230669106602406,0.00510106966340587,34.697336187610084
OASTER MAG,n20_peak_euclidean_distance_to_left_s1_mm_median,5,32.57129006615512,18.51044789443025,40.189439816174215,35.50712244257161,43.02247357773753,0.0,44.13741449429225
OASTER MAG,p30_left_s1_enrichment_median,5,8.34662124322131,15.199929105272801,0.029341537491832215,0.013070958612797395,6.636357565573934,0.0052347509155977676,35.04910140351239
OASTER MAG,p30_peak_euclidean_distance_to_left_s1_mm_median,5,32.57129006615512,18.51044789443025,40.189439816174215,35.50712244257161,43.02247357773753,0.0,44.13741449429225
OASTER MAG,n20_run_map_spearman_mean,5,0.31860250910033594,0.11366435229596852,0.3036992460822709,0.29457490455324326,0.39711589235369543,0.150603343608568,0.4470191589039021
OASTER MAG,p30_run_map_spearman_mean,5,0.3353327481059029,0.13743416609881254,0.29542379322554224,0.29140914017843556,0.3968856858775663,0.1620902986817134,0.5308548225662572
dSPM Joint,n20_left_s1_enrichment_median,5,2.1393064039808394,0.5685902339305443,2.1713271005813564,2.0580115484739414,2.562624133110755,1.2324259376219808,2.6721433001161627
dSPM Joint,n20_peak_euclidean_distance_to_left_s1_mm_median,5,20.004328901581665,14.82934313824378,20.24312271090311,11.689380535119328,31.215053676906894,0.0,36.87408758497901
dSPM Joint,p30_left_s1_enrichment_median,5,6.134282929838278,1.8170199922527224,5.619075039364918,5.528989621250188,7.859192391905906,3.662233167578095,8.001924429092282
dSPM Joint,p30_peak_euclidean_distance_to_left_s1_mm_median,5,2.979878844730984,2.7805404466558614,4.172139973530336,0.0,4.927584399979452,0.0,5.799669850145132
dSPM Joint,n20_run_map_spearman_mean,5,0.4932551545674956,0.19488787016044828,0.5456162187667898,0.3863105214749038,0.5767760720481334,0.22349070727427967,0.7340822532733712
dSPM Joint,p30_run_map_spearman_mean,5,0.49277749264499615,0.22018339928773717,0.5674953371148724,0.4718318743127057,0.5767964158478943,0.13117979789052456,0.7165840380589837
eLORETA Joint,n20_left_s1_enrichment_median,5,2.072104398845309,0.48092600378637196,2.282640124294569,1.7060543915950026,2.441391248573466,1.423176026021442,2.5072602037420655
eLORETA Joint,n20_peak_euclidean_distance_to_left_s1_mm_median,5,20.678247096568384,14.428141220999796,20.24312271090311,15.05897151005291,31.215053676906894,0.0,36.87408758497901
eLORETA Joint,p30_left_s1_enrichment_median,5,6.8417500494552215,2.2260816598639273,6.813604244784329,6.041349736861814,8.884187391003344,3.563474325509161,8.906134549117462
eLORETA Joint,p30_peak_euclidean_distance_to_left_s1_mm_median,5,2.145450850024917,2.953915267921548,0.0,0.0,4.927584399979452,0.0,5.799669850145132
eLORETA Joint,n20_run_map_spearman_mean,5,0.4767600868337719,0.19512535058721556,0.5467075265372272,0.35532523708572605,0.5526197864294946,0.21297421586499157,0.71617366825142
eLORETA Joint,p30_run_map_spearman_mean,5,0.47017739489312776,0.21094082931156866,0.5320169713823028,0.44962239388438013,0.5509356224812131,0.1265180815510247,0.6917939051667182
