source_index,hemisphere,vertex,x_m,y_m,z_m,label,beta_pmbr_db
0,left,1305,-0.016951787251395827,-0.06149063143964617,0.07385308993460674,superiorparietal-lh,1.2663173330423712
1,left,1420,-0.018588779982772002,-0.06647134363365587,0.061476481489897344,lateraloccipital-lh,1.100539636623435
2,left,1763,-0.007507201583699014,-0.06023288050548406,0.07040116659609486,cuneus-lh,1.3928017312258498
3,left,2320,-0.015367233847943158,-0.06074024892700719,0.06997844450220259,cuneus-lh,1.252934518282141
4,left,2387,-0.023960849091196158,-0.06367146458213852,0.06464495957275398,lateraloccipital-lh,1.0701343472297615
5,left,2819,-0.011490810838362706,-0.05689314144546148,0.07350374536607979,superiorparietal-lh,1.3569569370011458
6,left,2845,-0.007795863645861576,-0.05844110803496956,0.07212501154259107,cuneus-lh,1.3382019232066849
7,left,2960,-0.006031010265582629,-0.06243180845960139,0.06232794020637051,cuneus-lh,1.7146556171809062
8,left,3255,-0.0038832580066343004,-0.05187526797118583,0.08336893950513201,cuneus-lh,0.9234260286253343
9,left,3260,-0.01626768807115587,-0.05235247277774016,0.08362277579639132,superiorparietal-lh,1.1570925402958805
10,left,3347,-0.017846794183142434,-0.05580352481297578,0.07594415328338769,superiorparietal-lh,1.2455454637019694
11,left,3562,-0.01682682174812763,-0.06295868380539839,0.06117543247515107,pericalcarine-lh,1.164925229719839
12,left,3915,-0.025933159939893966,-0.05231791170855568,0.08294544012504163,superiorparietal-lh,1.0428787937007944
13,left,3924,-0.012771427503910943,-0.051788419084087337,0.08219150260697228,cuneus-lh,1.15498658946408
14,left,3943,-0.022036691312008982,-0.05250954657790152,0.08136846607116953,superiorparietal-lh,1.1421289610861678
15,left,4018,-0.0035884329893449505,-0.055345896832017946,0.07368849028288713,cuneus-lh,1.0391737343752294
16,left,4107,-0.022825357497655144,-0.058002203313074374,0.06879792961694829,lateraloccipital-lh,0.9404592565278799
17,left,4272,-0.014275126928468931,-0.06458835356375324,0.05513999445284434,lingual-lh,1.3226451548247757
18,left,4450,-0.013455956117540434,-0.0408906534288362,0.1006081562220205,superiorparietal-lh,1.0988506357447383
19,left,4702,-0.021922771664339886,-0.054167648749801275,0.0754724033264348,lateraloccipital-lh,1.05033515636395
20,left,4778,-0.03201831168944687,-0.055673937316288835,0.07109499791139734,inferiorparietal-lh,0.6985486158852615
21,left,4835,-0.0033481970792324416,-0.05773085357269715,0.06695947702865854,cuneus-lh,1.2650488223365464
22,left,4854,-0.014957672661748207,-0.05874596696629246,0.06534403668699507,pericalcarine-lh,1.1884511829802662
23,left,5243,-0.008629718166883318,-0.04153633396139432,0.0984508900355132,superiorparietal-lh,0.9236212042154338
24,left,5287,-0.031680421706589385,-0.044703336114502265,0.09259356421113925,inferiorparietal-lh,1.3774533632381638
25,left,5364,-0.009199738257984029,-0.04723593179374616,0.08509122916743236,superiorparietal-lh,0.812821265871261
26,left,5446,-0.02956104424923857,-0.050215706070051436,0.07855692907974132,superiorparietal-lh,0.6429183218623743
27,left,5479,-0.008491619929110492,-0.051949612614711274,0.07639541618803161,cuneus-lh,1.2279664690557437
