subject,run,band,contrast,n_trials,baseline_start_ms,baseline_stop_ms,active_start_ms,active_stop_ms,definition,aggregation,roi,roi_mass_pct,roi_enrichment,peak_distance_to_roi_mm,peak_positive_db,peak_label,peak_hemi,roi_used_before_inverse
sm09,1,mu_8_14Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_precentral,0.0,0.0,60.25757047677581,0.41674072547509716,lateraloccipital-rh,right,False
sm09,1,mu_8_14Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_postcentral,0.0,0.0,55.43338790330113,0.41674072547509716,lateraloccipital-rh,right,False
sm09,1,mu_8_14Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_precentral,7.47757181497449,2.390279589018036,50.63267495711914,1.991268859012233,middletemporal-rh,right,False
sm09,1,mu_8_14Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_postcentral,4.0208551965681485,1.6148716725362162,47.52508524903222,1.991268859012233,middletemporal-rh,right,False
sm09,1,beta_15_30Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_precentral,5.503978256804427,1.759400940729524,15.432009628010524,0.45535696918880625,superiorfrontal-rh,right,False
sm09,1,beta_15_30Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_postcentral,0.17852991479881927,0.07170188629398733,27.47376603118068,0.45535696918880625,superiorfrontal-rh,right,False
sm09,1,beta_15_30Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_precentral,8.947470022219132,2.860147049959708,5.257108094875539,2.9643041834487933,paracentral-rh,right,False
sm09,1,beta_15_30Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_postcentral,3.2896877750079594,1.3212173380138805,20.59328430297865,2.9643041834487933,paracentral-rh,right,False
sm09,2,mu_8_14Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_precentral,3.5946115541499606,1.14905304033678,6.4108072829133365,0.5087732098380716,postcentral-rh,right,False
sm09,2,mu_8_14Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_postcentral,3.126502556601364,1.2556782490145137,0.0,0.5087732098380716,postcentral-rh,right,False
sm09,2,mu_8_14Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_precentral,1.6147009377088724,0.5161550820608156,43.21953752478073,2.0337224710318527,superiorparietal-lh,left,False
sm09,2,mu_8_14Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_postcentral,1.5515501695933371,0.6231396792238539,42.68574413240325,2.0337224710318527,superiorparietal-lh,left,False
sm09,2,beta_15_30Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_precentral,49.671949606359064,15.878128653080358,14.785998004122302,1.5448331623922105,superiorparietal-rh,right,False
sm09,2,beta_15_30Hz,ERD,38,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_postcentral,8.271891231085155,3.322189478193944,5.609517668170545,1.5448331623922105,superiorparietal-rh,right,False
sm09,2,beta_15_30Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_precentral,5.244929938429058,1.6765935905223226,38.74359269428655,3.2026567645969592,superiorfrontal-lh,left,False
sm09,2,beta_15_30Hz,PMBR,38,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_postcentral,1.5935782150225355,0.6400191480675979,54.52427115448301,3.2026567645969592,superiorfrontal-lh,left,False
sm09,3,mu_8_14Hz,ERD,37,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_precentral,6.629378994557584,2.119146387443952,35.232361029922295,0.911096917292751,superiorparietal-rh,right,False
sm09,3,mu_8_14Hz,ERD,37,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_postcentral,8.452757642052791,3.3948297572654766,28.876075242170575,0.911096917292751,superiorparietal-rh,right,False
sm09,3,mu_8_14Hz,PMBR,37,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_precentral,0.5756049248253085,0.18399779195606292,86.96788422027849,2.605138464541227,lateraloccipital-lh,left,False
sm09,3,mu_8_14Hz,PMBR,37,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_postcentral,0.28586022808771533,0.11480830869950209,86.89656063115454,2.605138464541227,lateraloccipital-lh,left,False
sm09,3,beta_15_30Hz,ERD,37,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_precentral,23.759389463609647,7.594923203367466,8.10767236816369,1.1979124444104892,postcentral-rh,right,False
sm09,3,beta_15_30Hz,ERD,37,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),single_run,right_postcentral,26.67850067742035,10.714724331897283,0.0,1.1979124444104892,postcentral-rh,right,False
sm09,3,beta_15_30Hz,PMBR,37,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_precentral,4.101429355604335,1.3110623497948821,5.257108094875539,2.919979529472607,paracentral-rh,right,False
sm09,3,beta_15_30Hz,PMBR,37,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),single_run,right_postcentral,0.5486363056621506,0.22034547011166206,20.59328430297865,2.919979529472607,paracentral-rh,right,False
sm09,pooled_1_2_3,mu_8_14Hz,ERD,113,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),trial_weighted_dB,right_precentral,0.0,0.0,37.196208861723974,0.2362158062812184,superiorparietal-rh,right,False
sm09,pooled_1_2_3,mu_8_14Hz,ERD,113,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),trial_weighted_dB,right_postcentral,0.42560724468593947,0.1709340549383957,31.663635189487984,0.2362158062812184,superiorparietal-rh,right,False
sm09,pooled_1_2_3,mu_8_14Hz,PMBR,113,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),trial_weighted_dB,right_precentral,2.401708455717841,0.7677297981917098,86.96788422027849,1.5511344171484969,lateraloccipital-lh,left,False
sm09,pooled_1_2_3,mu_8_14Hz,PMBR,113,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),trial_weighted_dB,right_postcentral,1.7116472614962457,0.687438502715458,86.89656063115454,1.5511344171484969,lateraloccipital-lh,left,False
sm09,pooled_1_2_3,beta_15_30Hz,ERD,113,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),trial_weighted_dB,right_precentral,54.71469571597248,17.490092188391476,14.785998004122302,0.7269128158086064,superiorparietal-rh,right,False
sm09,pooled_1_2_3,beta_15_30Hz,ERD,113,-1500.0,-1000.0,-400.0,200.0,10log10(baseline/movement),trial_weighted_dB,right_postcentral,10.570935539211892,4.245540692201425,5.609517668170545,0.7269128158086064,superiorparietal-rh,right,False
sm09,pooled_1_2_3,beta_15_30Hz,PMBR,113,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),trial_weighted_dB,right_precentral,5.9922962277872625,1.9154965968960782,5.257108094875539,2.979361917063636,paracentral-rh,right,False
sm09,pooled_1_2_3,beta_15_30Hz,PMBR,113,-1500.0,-1000.0,500.0,1000.0,10log10(postmovement/baseline),trial_weighted_dB,right_postcentral,1.367154051793606,0.5490817854169363,20.59328430297865,2.979361917063636,paracentral-rh,right,False
