subject,run,pair_number,stimulus_sample,response_sample,reaction_time_ms
sm09,1,1,87411,87944,530.8679740787122
sm09,1,2,90457,90669,211.15198968984424
sm09,1,3,93503,93676,172.30799158652385
sm09,1,4,98072,98329,255.9719875013678
sm09,1,5,101118,101389,269.9159868205084
sm09,1,6,104164,104358,193.22399056523486
sm09,1,7,107211,107430,218.12398934941456
sm09,1,8,114826,115029,202.18799012753954
sm09,1,9,127010,127240,229.07998881445369
sm09,1,10,130056,130378,320.7119843402351
sm09,1,11,139194,139475,279.87598633418037
sm09,1,12,146810,147069,257.9639874041022
sm09,1,13,154425,154762,335.651983610743
sm09,1,14,162040,162273,232.06798866855524
sm09,1,15,166609,166911,300.79198531289137
sm09,1,16,172701,172913,211.15198968984424
sm09,1,17,175748,176024,274.89598657734444
sm09,1,18,180317,180553,235.0559885226568
sm09,1,19,184886,185153,265.9319870150397
sm09,1,20,187932,188169,236.051988474024
sm09,1,21,192501,192751,248.99998784179746
sm09,1,22,203162,203526,362.5439822976571
sm09,1,23,206208,206495,285.8519860423835
sm09,1,24,219916,220132,215.13598949531303
sm09,1,25,224485,224750,263.93998711230535
sm09,1,26,236669,236860,190.23599071113327
sm09,1,27,242762,242990,227.0879889117193
sm09,1,28,247331,247594,261.9479872095709
sm09,1,29,253423,253722,297.8039854587898
sm09,1,30,256469,256715,245.0159880363287
sm09,1,31,259515,259758,242.02798818222715
sm09,1,32,262561,262797,235.0559885226568
sm09,1,33,268653,268863,209.15998978710988
sm09,1,34,282361,282609,247.0079879390631
sm09,1,35,291499,291738,238.0439883767584
sm09,1,36,294545,294812,265.9319870150397
sm09,1,37,297591,297905,312.7439847292976
sm09,1,38,300637,300929,290.8319857992194
sm09,1,39,309775,310059,282.8639861882819
sm09,1,40,317391,318159,764.9279626500019
sm09,2,1,47856,48153,295.8119855560554
sm09,2,2,53948,54176,227.0879889117193
sm09,2,3,56994,57237,242.02798818222715
sm09,2,4,63086,63332,245.0159880363287
sm09,2,5,67656,67883,226.0919889603521
sm09,2,6,73748,73990,241.03198823085995
sm09,2,7,76794,77075,279.87598633418037
sm09,2,8,79840,80094,252.98398764726622
sm09,2,9,92025,92333,306.7679850210945
sm09,2,10,95070,95371,299.7959853615241
sm09,2,11,98116,98373,255.9719875013678
sm09,2,12,105732,105985,251.98798769589902
sm09,2,13,110301,110588,285.8519860423835
sm09,2,14,113347,113667,318.7199844375008
sm09,2,15,120962,121221,257.9639874041022
sm09,2,16,125531,125818,285.8519860423835
sm09,2,17,151423,151660,236.051988474024
sm09,2,18,159038,159253,214.13998954394583
sm09,2,19,162084,162371,285.8519860423835
sm09,2,20,168176,168421,244.01998808496154
sm09,2,21,171223,171499,274.89598657734444
sm09,2,22,177315,177552,236.051988474024
sm09,2,23,181884,182129,244.01998808496154
sm09,2,24,184930,185204,272.90398667461
sm09,2,25,189499,189751,250.99198774453185
sm09,2,26,201684,201951,265.9319870150397
sm09,2,27,207776,208013,236.051988474024
sm09,2,28,212345,212629,282.8639861882819
sm09,2,29,215391,215701,308.7599849238288
sm09,2,30,218437,218747,308.7599849238288
sm09,2,31,226052,226327,273.8999866259772
sm09,2,32,229098,229399,299.7959853615241
sm09,2,33,233667,233934,265.9319870150397
sm09,2,34,242806,243055,248.00398789043027
sm09,2,35,247375,247706,329.6759839025398
sm09,2,36,251944,252275,329.6759839025398
sm09,2,37,254990,255308,316.72798453476634
sm09,2,38,268697,269019,320.7119843402351
sm09,2,39,276313,276663,348.59998297851644
sm09,2,40,279359,279696,335.651983610743
sm09,3,1,101880,102123,242.02798818222715
sm09,3,2,104926,105146,219.11998930078178
sm09,3,3,107972,108173,200.19599022480517
sm09,3,4,115588,115824,235.0559885226568
sm09,3,5,118634,118891,255.9719875013678
sm09,3,6,121680,121916,235.0559885226568
sm09,3,7,127772,127993,220.11598925214895
sm09,3,8,136910,137159,248.00398789043027
sm09,3,9,139956,140378,420.31197947695415
sm09,3,10,147571,147783,211.15198968984424
sm09,3,11,153664,153963,297.8039854587898
sm09,3,12,156710,157039,327.6839839998055
sm09,3,13,161279,161574,293.819985653321
sm09,3,14,165848,166141,291.82798575058666
sm09,3,15,171940,172211,269.9159868205084
sm09,3,16,178032,178319,285.8519860423835
sm09,3,17,182602,182884,280.87198628554756
sm09,3,18,200878,201304,424.29597928242293
sm09,3,19,205447,205733,284.8559860910163
sm09,3,20,208493,208797,302.7839852156257
sm09,3,21,214585,214831,245.0159880363287
sm09,3,22,220678,220930,250.99198774453185
sm09,3,23,226770,227054,282.8639861882819
sm09,3,24,229816,230146,328.67998395117263
sm09,3,25,237431,237795,362.5439822976571
sm09,3,26,240477,240864,385.45198117910246
sm09,3,27,264846,265246,398.39998054687595
sm09,3,28,269415,269682,265.9319870150397
sm09,3,29,273984,274269,283.85998613964915
sm09,3,30,277030,277329,297.8039854587898
sm09,3,31,280076,280337,259.95598730683656
sm09,3,32,283122,283441,317.7239844861336
sm09,3,33,296830,297245,413.3399798173838
sm09,3,34,304445,304843,396.40798064414156
sm09,3,35,307491,308211,717.1199649843767
sm09,3,36,312060,312433,371.50798185996183
sm09,3,37,319676,319947,269.9159868205084
sm09,3,38,322722,323112,388.43998103320405
