subject,run,component,lock,method,n_trials,baseline_start_ms,baseline_stop_ms,window_start_ms,window_stop_ms,sensor_gfp_peak_ms,localization_available,aggregation,roi,roi_vertices,roi_mass_pct,roi_enrichment,peak_distance_to_roi_mm,peak_label,peak_hemi,roi_used_before_inverse,available_runs
sm09,1,MF_response_-80_-20ms,response,OASTER-ERP,38,-1500.0,-1000.0,-80.0,-20.0,-45.81599776289073,True,single_run,right_precentral,147,0.0,0.0,18.10901360534062,superiorfrontal-rh,right,False,
sm09,1,MF_response_-80_-20ms,response,OASTER-ERP,38,-1500.0,-1000.0,-80.0,-20.0,-45.81599776289073,True,single_run,right_postcentral,117,0.0,0.0,35.06929005623241,superiorfrontal-rh,right,False,
sm09,1,MF_response_-80_-20ms,response,dSPM,38,-1500.0,-1000.0,-80.0,-20.0,-45.81599776289073,True,single_run,right_precentral,147,4.542244059076409,1.451973117931976,12.055075490519611,superiorfrontal-rh,right,False,
sm09,1,MF_response_-80_-20ms,response,dSPM,38,-1500.0,-1000.0,-80.0,-20.0,-45.81599776289073,True,single_run,right_postcentral,117,1.9316884538958423,0.7758123115262021,32.78671951398107,superiorfrontal-rh,right,False,
sm09,1,MF_response_-80_-20ms,response,eLORETA,38,-1500.0,-1000.0,-80.0,-20.0,-45.81599776289073,True,single_run,right_precentral,147,4.893585446581767,1.5642828580603894,5.257108094875539,paracentral-rh,right,False,
sm09,1,MF_response_-80_-20ms,response,eLORETA,38,-1500.0,-1000.0,-80.0,-20.0,-45.81599776289073,True,single_run,right_postcentral,117,2.1275976406600936,0.8544941293557077,20.59328430297865,paracentral-rh,right,False,
sm09,1,MEFI_response_20_60ms,response,OASTER-ERP,38,-1500.0,-1000.0,20.0,60.0,42.827997908789165,True,single_run,right_precentral,147,0.0,0.0,18.10901360534062,superiorfrontal-rh,right,False,
sm09,1,MEFI_response_20_60ms,response,OASTER-ERP,38,-1500.0,-1000.0,20.0,60.0,42.827997908789165,True,single_run,right_postcentral,117,0.0,0.0,35.06929005623241,superiorfrontal-rh,right,False,
sm09,1,MEFI_response_20_60ms,response,dSPM,38,-1500.0,-1000.0,20.0,60.0,42.827997908789165,True,single_run,right_precentral,147,10.251530170705898,3.277002739601838,0.0,precentral-rh,right,False,
sm09,1,MEFI_response_20_60ms,response,dSPM,38,-1500.0,-1000.0,20.0,60.0,42.827997908789165,True,single_run,right_postcentral,117,7.1973257204394905,2.8906182530209543,14.878107447067968,precentral-rh,right,False,
sm09,1,MEFI_response_20_60ms,response,eLORETA,38,-1500.0,-1000.0,20.0,60.0,42.827997908789165,True,single_run,right_precentral,147,10.945189966984662,3.498737935704825,6.218277396610623,postcentral-rh,right,False,
sm09,1,MEFI_response_20_60ms,response,eLORETA,38,-1500.0,-1000.0,20.0,60.0,42.827997908789165,True,single_run,right_postcentral,117,8.804137962363415,3.535952503003905,0.0,postcentral-rh,right,False,
sm09,1,MEFII_response_120_180ms,response,OASTER-ERP,38,-1500.0,-1000.0,120.0,180.0,122.50799401816435,True,single_run,right_precentral,147,0.0,0.0,18.434727621731348,paracentral-lh,left,False,
sm09,1,MEFII_response_120_180ms,response,OASTER-ERP,38,-1500.0,-1000.0,120.0,180.0,122.50799401816435,True,single_run,right_postcentral,117,0.0,0.0,22.713607246010337,paracentral-lh,left,False,
sm09,1,MEFII_response_120_180ms,response,dSPM,38,-1500.0,-1000.0,120.0,180.0,122.50799401816435,True,single_run,right_precentral,147,8.531634887633613,2.7272212474143096,0.0,precentral-rh,right,False,
sm09,1,MEFII_response_120_180ms,response,dSPM,38,-1500.0,-1000.0,120.0,180.0,122.50799401816435,True,single_run,right_postcentral,117,4.119468588772948,1.654477170824281,8.890505935356742,precentral-rh,right,False,
sm09,1,MEFII_response_120_180ms,response,eLORETA,38,-1500.0,-1000.0,120.0,180.0,122.50799401816435,True,single_run,right_precentral,147,8.686779752473576,2.776814833800907,0.0,precentral-rh,right,False,
sm09,1,MEFII_response_120_180ms,response,eLORETA,38,-1500.0,-1000.0,120.0,180.0,122.50799401816435,True,single_run,right_postcentral,117,4.64245588428191,1.8645213846359563,8.037659297043334,precentral-rh,right,False,
sm09,2,MF_response_-80_-20ms,response,OASTER-ERP,38,-1500.0,-1000.0,-80.0,-20.0,-77.6879962066408,False,single_run,right_precentral,147,,,,not_localized,none,False,
sm09,2,MF_response_-80_-20ms,response,OASTER-ERP,38,-1500.0,-1000.0,-80.0,-20.0,-77.6879962066408,False,single_run,right_postcentral,117,,,,not_localized,none,False,
sm09,2,MF_response_-80_-20ms,response,dSPM,38,-1500.0,-1000.0,-80.0,-20.0,-77.6879962066408,True,single_run,right_precentral,147,5.836167577322728,1.8655885337305784,12.055075490519611,superiorfrontal-rh,right,False,
sm09,2,MF_response_-80_-20ms,response,dSPM,38,-1500.0,-1000.0,-80.0,-20.0,-77.6879962066408,True,single_run,right_postcentral,117,2.114760859586577,0.8493385708715663,32.78671951398107,superiorfrontal-rh,right,False,
sm09,2,MF_response_-80_-20ms,response,eLORETA,38,-1500.0,-1000.0,-80.0,-20.0,-77.6879962066408,True,single_run,right_precentral,147,7.052612611553385,2.254437187870024,0.0,precentral-rh,right,False,
sm09,2,MF_response_-80_-20ms,response,eLORETA,38,-1500.0,-1000.0,-80.0,-20.0,-77.6879962066408,True,single_run,right_postcentral,117,2.403922913584599,0.9654729718747036,15.594080922392685,precentral-rh,right,False,
sm09,2,MEFI_response_20_60ms,response,OASTER-ERP,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_precentral,147,0.0,0.0,8.10767236816369,postcentral-rh,right,False,
sm09,2,MEFI_response_20_60ms,response,OASTER-ERP,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_postcentral,117,100.0,40.162393162393165,0.0,postcentral-rh,right,False,
sm09,2,MEFI_response_20_60ms,response,dSPM,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_precentral,147,8.320774304014641,2.659817581943184,0.0,precentral-rh,right,False,
sm09,2,MEFI_response_20_60ms,response,dSPM,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_postcentral,117,7.036408612334739,2.825990091398371,14.878107447067968,precentral-rh,right,False,
sm09,2,MEFI_response_20_60ms,response,eLORETA,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_precentral,147,9.275509545666802,2.965008119393762,0.0,precentral-rh,right,False,
sm09,2,MEFI_response_20_60ms,response,eLORETA,38,-1500.0,-1000.0,20.0,60.0,32.86799839511727,True,single_run,right_postcentral,117,9.006234450032828,3.617119288949082,8.037659297043334,precentral-rh,right,False,
sm09,2,MEFII_response_120_180ms,response,OASTER-ERP,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,False,single_run,right_precentral,147,,,,not_localized,none,False,
sm09,2,MEFII_response_120_180ms,response,OASTER-ERP,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,False,single_run,right_postcentral,117,,,,not_localized,none,False,
sm09,2,MEFII_response_120_180ms,response,dSPM,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,True,single_run,right_precentral,147,5.369225716061486,1.7163259618893143,40.77424892769796,superiorfrontal-lh,left,False,
sm09,2,MEFII_response_120_180ms,response,dSPM,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,True,single_run,right_postcentral,117,2.5096831511440083,1.0079488142927946,49.91535583114979,superiorfrontal-lh,left,False,
sm09,2,MEFII_response_120_180ms,response,eLORETA,38,-1500.0,-1000.0,120.0,180.0,146.41199285097693,True,single_run,right_precentral,147,6.126520178527969,1.9584026067280904,40.77424892769796,superiorfrontal-lh,left,False,
