method,metric,subjects,mean,sd,median,q1,q3,bootstrap_median_ci_low,bootstrap_median_ci_high
OASTER ERP Joint,n20_left_s1_enrichment_median,4,7.6180572927636385,15.236114585527277,0.0,0.0,7.6180572927636385,0.0,30.472229171054554
OASTER ERP Joint,n20_peak_euclidean_distance_to_left_s1_mm_median,4,14.9743660916734,16.299909532988263,11.130631843738772,5.456717574799744,20.64828036061243,0.0,37.63620067921606
OASTER ERP Joint,p30_left_s1_enrichment_median,4,27.75,18.5,37.0,27.75,37.0,0.0,37.0
OASTER ERP Joint,p30_peak_euclidean_distance_to_left_s1_mm_median,4,3.0939527554826043,6.187905510965209,0.0,0.0,3.0939527554826043,0.0,12.375811021930417
OASTER ERP Joint,n20_run_map_spearman_mean,4,0.15202500657377718,0.3064958680146357,-0.0006924921592215709,-0.0011456802957634862,0.15247819471031912,-0.00228241438135175,0.6117674249949037
OASTER ERP Joint,p30_run_map_spearman_mean,4,0.7491324765522213,0.5017350468955574,1.0,0.7491324765522213,1.0,-0.0034700937911148863,1.0
OASTER Joint,n20_left_s1_enrichment_median,4,29.30098654917643,4.71264379254196,28.124300410639492,26.058458037473756,31.36682892234216,25.25120145208615,35.70414392334058
OASTER Joint,n20_peak_euclidean_distance_to_left_s1_mm_median,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASTER Joint,p30_left_s1_enrichment_median,4,27.020996754438798,6.345991545668455,25.559929330130796,24.275504888372474,28.305421196197123,20.99194311582633,35.972185241667276
OASTER Joint,p30_peak_euclidean_distance_to_left_s1_mm_median,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASTER Joint,n20_run_map_spearman_mean,4,0.49326725062558263,0.18184762448883157,0.5041236040037844,0.4313600085094898,0.5660308461198772,0.2607940112782473,0.7040277832165143
OASTER Joint,p30_run_map_spearman_mean,4,0.5221701576697573,0.14776644153754698,0.5087679021322167,0.44569000339293063,0.5852480564090433,0.3588578966989086,0.7122869297156869
OASTER EEG,n20_left_s1_enrichment_median,4,29.176507016611257,7.284863749847296,32.10475348714681,27.523177079712223,33.75808342404585,18.5040118567794,33.99250923537201
OASTER EEG,n20_peak_euclidean_distance_to_left_s1_mm_median,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASTER EEG,p30_left_s1_enrichment_median,4,29.893547257878488,7.554215702339298,33.436103855094125,29.69703109202366,33.632620020948956,18.572887724969767,34.12909359635594
OASTER EEG,p30_peak_euclidean_distance_to_left_s1_mm_median,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASTER EEG,n20_run_map_spearman_mean,4,0.5762106350398544,0.2099379309663631,0.6352110483888098,0.4740512604512557,0.7373704229774084,0.296401775902893,0.7380186674789049
OASTER EEG,p30_run_map_spearman_mean,4,0.6171528432674257,0.15734299437660354,0.6119929468009874,0.4874850133827522,0.7416607766856609,0.47089992918554485,0.7737255502821831
OASTER MAG,n20_left_s1_enrichment_median,4,31.105949537256123,6.905352221030761,33.628050888302795,29.676215970719547,35.05778445483937,20.988531607071568,36.179164765347316
OASTER MAG,n20_peak_euclidean_distance_to_left_s1_mm_median,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASTER MAG,p30_left_s1_enrichment_median,4,31.599112652628527,6.757661223713709,34.315371815092384,30.589165485251023,35.325318982469895,21.58791839070111,36.17778858962824
OASTER MAG,p30_peak_euclidean_distance_to_left_s1_mm_median,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASTER MAG,n20_run_map_spearman_mean,4,0.6253613835215639,0.19288541225024722,0.6242017002384166,0.46487302322896973,0.7846900605310108,0.44678988383448015,0.8062522497749424
OASTER MAG,p30_run_map_spearman_mean,4,0.6675606058187029,0.16958188456081533,0.6693555439925246,0.5254888145771357,0.8114273352340918,0.5117088753519153,0.8198224599378469
dSPM Joint,n20_left_s1_enrichment_median,4,3.5000347577552624,1.4574092768125744,3.0690095021281922,2.651258877504875,3.9177853823785798,2.2793358685371654,5.582784158227501
dSPM Joint,n20_peak_euclidean_distance_to_left_s1_mm_median,4,18.244682701132945,14.048213814181286,15.966251623011217,9.81007039472208,24.400863929422083,4.172139973530336,36.87408758497901
dSPM Joint,p30_left_s1_enrichment_median,4,6.530608088949552,2.1459282677003046,7.081414053891798,5.398965406110287,8.213056736731062,3.7377624937742264,8.221841754240382
dSPM Joint,p30_peak_euclidean_distance_to_left_s1_mm_median,4,2.2749310933774467,2.6449066813524533,2.086069986765168,0.0,4.361001080142615,0.0,4.927584399979452
dSPM Joint,n20_run_map_spearman_mean,4,0.22143249151513938,0.0965353848415248,0.24031290941500955,0.18607262321409826,0.27567277771605064,0.08950599570668295,0.31559815152385545
dSPM Joint,p30_run_map_spearman_mean,4,0.4070713962626865,0.23086610182265202,0.418444202294057,0.33516778391492796,0.49034781464181554,0.11356111948883492,0.6778360609737972
eLORETA Joint,n20_left_s1_enrichment_median,4,3.4874202756183355,1.2529311148213076,3.0351665072606586,2.7293384067846116,3.7932483760943825,2.5677400881339087,5.311607999818116
eLORETA Joint,n20_peak_euclidean_distance_to_left_s1_mm_median,4,14.27930257397053,17.831511660703164,10.121561355451554,0.0,24.400863929422083,0.0,36.87408758497901
eLORETA Joint,p30_left_s1_enrichment_median,4,7.472825995102394,2.657019084102358,8.474807563615856,6.6724871424269105,9.275146416291339,3.6514124789715092,9.290276374206353
eLORETA Joint,p30_peak_euclidean_distance_to_left_s1_mm_median,4,1.231896099994863,2.463792199989726,0.0,0.0,1.231896099994863,0.0,4.927584399979452
eLORETA Joint,n20_run_map_spearman_mean,4,0.19761707925725513,0.08696045668434337,0.20429085262162489,0.16461186897092855,0.2372960629079515,0.08570467221100896,0.29618193957476185
eLORETA Joint,p30_run_map_spearman_mean,4,0.3769782593735825,0.2213232025198165,0.3718859281781318,0.30529113958685417,0.4435730479648601,0.1111082500035782,0.6530329311344879
