dataset,task,event_or_lock,n_trials,window_start_ms,window_stop_ms,baseline_start_ms,baseline_stop_ms,sensor_gfp_peak_ms,source_map,method,target_roi,target_roi_vertices,target_roi_mass_pct,target_roi_enrichment,peak_distance_to_target_roi_mm,peak_label,peak_hemi,roi_used_before_evaluation
MNE sample,听觉-左侧刺激,event 1/2/3/4,69,80.0,120.0,-200.0,-10.0,94.90272625023424,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,25.79573939011519,6.179439423229511,0.0,superiortemporal-lh,left,False
MNE sample,听觉-左侧刺激,event 1/2/3/4,69,80.0,120.0,-200.0,-10.0,94.90272625023424,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,27.14751841376709,6.503261759310723,0.0,superiortemporal-lh,left,False
MNE sample,听觉-左侧刺激,event 1/2/3/4,69,80.0,120.0,-200.0,-10.0,94.90272625023424,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,22.56243512608654,5.404892606242711,8.618111649468414,bankssts-lh,left,False
MNE sample,听觉-右侧刺激,event 1/2/3/4,70,80.0,120.0,-200.0,-10.0,89.90784592127454,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,28.747802850810906,6.886614242024925,0.0,superiortemporal-lh,left,False
MNE sample,听觉-右侧刺激,event 1/2/3/4,70,80.0,120.0,-200.0,-10.0,89.90784592127454,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,30.088359586050323,7.207748248441065,0.0,superiortemporal-lh,left,False
MNE sample,听觉-右侧刺激,event 1/2/3/4,70,80.0,120.0,-200.0,-10.0,89.90784592127454,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,transversetemporal-lh+transversetemporal-rh+superiortemporal-lh+superiortemporal-rh,313,24.521971694397344,5.87430491260675,0.0,superiortemporal-lh,left,False
MNE sample,视觉-左侧视野,event 1/2/3/4,72,80.0,150.0,-200.0,-10.0,134.86176888191181,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,pericalcarine-rh+cuneus-rh+lateraloccipital-rh+lingual-rh,246,48.473771194826256,14.774647821902734,0.0,pericalcarine-rh,right,False
MNE sample,视觉-左侧视野,event 1/2/3/4,72,80.0,150.0,-200.0,-10.0,134.86176888191181,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,pericalcarine-rh+cuneus-rh+lateraloccipital-rh+lingual-rh,246,47.693952832089835,14.53696172093535,0.0,pericalcarine-rh,right,False
MNE sample,视觉-左侧视野,event 1/2/3/4,72,80.0,150.0,-200.0,-10.0,134.86176888191181,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,pericalcarine-rh+cuneus-rh+lateraloccipital-rh+lingual-rh,246,54.873729885925535,16.725334418076006,0.0,lateraloccipital-rh,right,False
MNE sample,视觉-右侧视野,event 1/2/3/4,67,80.0,150.0,-200.0,-10.0,91.57280603092777,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,pericalcarine-lh+cuneus-lh+lateraloccipital-lh+lingual-lh,241,47.62312200805337,14.816521527650794,0.0,lingual-lh,left,False
MNE sample,视觉-右侧视野,event 1/2/3/4,67,80.0,150.0,-200.0,-10.0,91.57280603092777,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,pericalcarine-lh+cuneus-lh+lateraloccipital-lh+lingual-lh,241,47.49127196184128,14.775500297505637,0.0,lingual-lh,left,False
MNE sample,视觉-右侧视野,event 1/2/3/4,67,80.0,150.0,-200.0,-10.0,91.57280603092777,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,pericalcarine-lh+cuneus-lh+lateraloccipital-lh+lingual-lh,241,58.01816705227171,18.050631392445364,0.0,lingual-lh,left,False
ds006035,右腕刺激-N20,event 32,40,18.0,24.0,-400.0,-50.0,21.911998930078177,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,postcentral-lh,127,7.849800008767875,2.904426003244114,0.0,postcentral-lh,left,False
ds006035,右腕刺激-N20,event 32,40,18.0,24.0,-400.0,-50.0,21.911998930078177,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,postcentral-lh,127,7.520219100611196,2.782481067226142,0.0,postcentral-lh,left,False
ds006035,右腕刺激-N20,event 32,40,18.0,24.0,-400.0,-50.0,21.911998930078177,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,postcentral-lh,127,7.778153395765595,2.87791675643327,0.0,postcentral-lh,left,False
ds006035,右腕刺激-P30,event 32,40,28.0,40.0,-400.0,-50.0,38.8439981033204,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,postcentral-lh,127,13.614737875953272,5.03745301410271,5.799669848616894,precentral-lh,left,False
ds006035,右腕刺激-P30,event 32,40,28.0,40.0,-400.0,-50.0,38.8439981033204,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,postcentral-lh,127,16.907280844173005,6.255693912344012,5.799669848616894,precentral-lh,left,False
ds006035,右腕刺激-P30,event 32,40,28.0,40.0,-400.0,-50.0,38.8439981033204,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,postcentral-lh,127,18.3767805087594,6.799408788240977,5.799669848616894,precentral-lh,left,False
ds006035,左指反应-20到80ms,event 16,41,20.0,80.0,-550.0,-350.0,43.823997860156354,"sqrt(max(mean(active^2)-mean(baseline^2),0))",OASTER ERP,precentral-rh+postcentral-rh,264,16.68567070127935,2.9699229782315024,0.0,precentral-rh,right,False
ds006035,左指反应-20到80ms,event 16,41,20.0,80.0,-550.0,-350.0,43.823997860156354,"sqrt(max(mean(active^2)-mean(baseline^2),0))",dSPM,precentral-rh+postcentral-rh,264,17.465245772034088,3.1086814349540974,0.0,precentral-rh,right,False
ds006035,左指反应-20到80ms,event 16,41,20.0,80.0,-550.0,-350.0,43.823997860156354,"sqrt(max(mean(active^2)-mean(baseline^2),0))",eLORETA,precentral-rh+postcentral-rh,264,21.369205046622074,3.8035566103817096,0.0,postcentral-rh,right,False
