method,eeg_snr_db,meg_snr_db,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,case_weighted,185,4,0.5535095418636794,0.5577672299977828,1.67866334021792,22.544936786355173,14.314726396634853,1.4201256521535446,1.4201256521535446,0.0918918918918919,1.4201256521535446,1.9837837837837837,22.544936786355173,14.314726396634853,200.23122497191744,200.23122497191744,0.13675213675213677,1.0,0.5683760683760684
Dipole fitting (grid),-10,-5,case_weighted,185,4,0.5609018791084417,0.5607315037361585,1.5905308239547975,13.471254829031693,9.899702405661055,1.9254854569140905,1.9254854569140905,0.11573164776678442,1.9254854569140905,1.8,13.471254829031693,9.899702405661055,190.38569492648256,190.38569492648256,0.1794871794871795,1.0,0.5897435897435898
Dipole fitting (grid),-10,0,case_weighted,185,4,0.5827120054385166,0.564556458090886,1.5006518544736542,8.54684338222104,10.211808021794157,1.644122840405221,1.644122840405221,0.18077287570925293,1.644122840405221,1.7675675675675675,8.54684338222104,10.211808021794157,154.5812523636715,154.5812523636715,0.3247863247863248,0.9705882352941176,0.6476872800402212
Dipole fitting (grid),-10,5,case_weighted,185,4,0.5899327085954722,0.5631707993951678,1.5054701892557998,7.22341717709436,10.85724078187098,1.712095623768839,1.712095623768839,0.1912310828108434,1.712095623768839,1.7945945945945947,7.22341717709436,10.85724078187098,134.74833568853867,134.74833568853867,0.4017094017094017,0.9852941176470589,0.6935017596782302
Dipole fitting (grid),-10,10,case_weighted,185,4,0.5987980977778722,0.5643849736081059,1.4715633498631255,8.51001019463296,10.635422617897802,1.8601172552441132,1.8601172552441132,0.20295566015245486,1.8601172552441132,1.854054054054054,8.51001019463296,10.635422617897802,116.95243936515804,116.95243936515804,0.4700854700854701,1.0,0.7350427350427351
Dipole fitting (grid),-10,15,case_weighted,185,4,0.5957841489949609,0.5634297159912202,1.4927928448864525,7.687384598738516,10.92935106051979,1.2701983211418122,1.2701983211418122,0.1848256288240357,1.2701983211418122,1.8162162162162163,7.687384598738516,10.92935106051979,128.59131341728434,128.59131341728434,0.4358974358974359,1.0,0.717948717948718
Dipole fitting (grid),-10,20,case_weighted,185,4,0.5975185963142279,0.5630637164240473,1.4857061717002782,7.473508605903796,10.699683156259926,1.4546901171174613,1.4546901171174613,0.19409677913762902,1.4546901171174613,1.8054054054054054,7.473508605903796,10.699683156259926,122.71143991274784,122.71143991274784,0.46153846153846156,0.9852941176470589,0.7234162895927603
Dipole fitting (grid),-5,-10,case_weighted,185,4,0.5513081955538501,0.5548640117867719,1.6243305197121256,10.683767494730143,10.112685257421722,2.008360934088709,2.008360934088709,0.08949486488741312,2.008360934088709,1.6594594594594594,10.683767494730143,10.112685257421722,200.31669505561746,200.31669505561746,0.13675213675213677,1.0,0.5683760683760684
Dipole fitting (grid),-5,-5,case_weighted,185,4,0.56166905067382,0.5614873336704681,1.568320069112087,8.45598903840512,9.264210359456838,0.47619048518568274,0.47619048518568274,0.1143129103723006,0.47619048518568274,1.6486486486486487,8.45598903840512,9.264210359456838,192.1093567383891,192.1093567383891,0.1794871794871795,0.9852941176470589,0.5823906485671192
Dipole fitting (grid),-5,0,case_weighted,185,4,0.5719967246463867,0.5632077922412665,1.522465341090073,6.979329897765148,9.149875250663033,2.3275041961461858,2.3275041961461858,0.15930825087774247,2.3275041961461858,1.7621621621621621,6.979329897765148,9.149875250663033,164.71666512034068,164.71666512034068,0.28205128205128205,0.9852941176470589,0.6336726998491704
Dipole fitting (grid),-5,5,case_weighted,185,4,0.5930364804234636,0.5654926522780731,1.4772152631553652,6.92865198313083,10.269928116561223,2.304672773034519,2.304672773034519,0.20109073213517606,2.304672773034519,1.8486486486486486,6.92865198313083,10.269928116561223,131.040472263725,131.040472263725,0.41025641025641024,0.9705882352941176,0.6904223227752639
