method,eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
Dipole fitting (grid),-10,-10,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.6466941711785273,nan,nan,0.0,0.0,1.0,0.0,2.6666666666666665,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.5106792617363861,0.5203615227430046,1.7769668804487293,24.79072818182907,11.844223959990023,12.071068043305129,12.071068043305129,0.029411764705882353,12.071068043305129,1.8088235294117647,24.79072818182907,11.844223959990023,227.5009340970723,227.5009340970723,0.014705882352941176,nan,nan
Dipole fitting (grid),-10,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5085669200010312,0.5120998710758604,1.8523057433393622,19.01616993287568,21.79704212472504,nan,nan,0.0,nan,2.4705882352941178,19.01616993287568,21.79704212472504,234.02911185627735,234.02911185627735,0.0,nan,nan
Dipole fitting (grid),-10,-10,surface_only,case_weighted_within_scenario,68,1,0.5203205906863437,0.5204552703895038,1.7211788563027264,22.063528817621023,13.044070969234589,nan,nan,0.0,nan,1.7647058823529411,22.063528817621023,13.044070969234589,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,-5,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.25469156736368176,nan,nan,0.0,0.0,1.0,0.0,2.8666666666666667,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.525296299454239,0.5222003996151214,1.7215762990084063,15.75958455089425,9.275660959936072,0.0,0.0,0.050152277012575235,0.0,1.6029411764705883,15.75958455089425,9.275660959936072,220.26269351179047,220.26269351179047,0.058823529411764705,nan,nan
Dipole fitting (grid),-10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5126301643716463,0.5173538253420515,1.800202650546704,13.079779899522434,16.85163939315045,14.120226684036664,14.120226684036664,0.08823529411764706,14.120226684036664,2.3529411764705883,13.079779899522434,16.85163939315045,214.6253866940208,214.6253866940208,0.058823529411764705,nan,nan
Dipole fitting (grid),-10,-5,surface_only,case_weighted_within_scenario,68,1,0.5237834365226104,0.5240539846431079,1.6493198598532761,11.378662571923769,7.0477753576413456,nan,nan,0.0,nan,1.4852941176470589,11.378662571923769,7.0477753576413456,nan,nan,nan,1.0,nan
Dipole fitting (grid),-10,0,deep_only,case_weighted_within_scenario,15,1,1.0,1.0,0.10859649094439651,nan,nan,0.0,0.0,1.0,0.0,2.6666666666666665,nan,nan,0.0,0.0,1.0,nan,nan
Dipole fitting (grid),-10,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.5709059790364975,0.5299270216617405,1.5866184535386214,9.16890482969659,9.819887221744857,2.9349954246137027,2.9349954246137027,0.19785032714193276,2.9349954246137027,1.6764705882352942,9.16890482969659,9.819887221744857,169.4586969709596,169.4586969709596,0.25,nan,nan
Dipole fitting (grid),-10,0,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.5376672074805263,0.520439828442231,1.689009305601075,8.56266236796783,13.344724302571803,1.666666758091415,1.666666758091415,0.12944988178062292,1.666666758091415,2.2941176470588234,8.56266236796783,13.344724302571803,193.02397448600922,193.02397448600922,0.17647058823529413,nan,nan
Dipole fitting (grid),-10,0,surface_only,case_weighted_within_scenario,68,1,0.524991608489792,0.5251904868644077,1.6275775659176064,7.916872441872096,9.037270681454633,nan,nan,0.008645055588517456,nan,1.3970588235294117,7.916872441872096,9.037270681454633,nan,nan,nan,0.9705882352941176,nan
