eeg_snr_db,meg_snr_db,scenario,aggregation,case_count,scenario_count,auc,auc_tie_corrected,rmse,surface_sd_mm,surface_dle_mm,deep_sd_mm,deep_dle_mm,deep_score,deep_peak_distance_mm,active_count,surface_sd_mm_penalized,surface_dle_mm_penalized,deep_sd_mm_penalized,deep_dle_mm_penalized,deep_sensitivity,deep_specificity,deep_balanced_accuracy
-10,-10,deep_only,case_weighted_within_scenario,15,1,0.6726666666666667,0.9990060347887826,1.9263509274658686,nan,nan,20.84402475819813,13.23877339365709,0.7036285354997539,12.572106714397133,27.2,nan,nan,20.84402475819813,13.23877339365709,0.4,nan,nan
-10,-10,deep_plus_surface,case_weighted_within_scenario,68,1,0.6901776927341697,0.8114910880014317,1.9278378138287522,79.93572298521097,82.20446092949317,21.28785801421332,17.079458125389667,0.7306054349288789,16.55635768483852,28.441176470588236,79.93572298521097,82.20446092949317,21.28785801421332,17.079458125389667,0.35294117647058826,nan,nan
-10,-10,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.6558373309119921,0.7080170885553528,1.952919747049496,53.282529503631174,58.61673545807286,22.026726472421345,18.836988714375554,0.7536189236883578,19.894457275183388,29.58823529411765,53.282529503631174,58.61673545807286,22.026726472421345,18.836988714375554,0.3235294117647059,nan,nan
-10,-10,surface_only,case_weighted_within_scenario,68,1,0.7268582750821437,0.8198934904537284,1.9142085128382609,77.93369415447246,81.51580369391715,nan,nan,0.7532263715672252,nan,29.08823529411765,77.93369415447246,81.51580369391715,nan,nan,nan,0.0,nan
-10,-5,deep_only,case_weighted_within_scenario,15,1,0.6539999999999999,0.9992279020234294,1.7651306370583597,nan,nan,19.44689881757159,13.117746359451456,0.8635471926741471,13.117746359451456,26.8,nan,nan,19.44689881757159,13.117746359451456,0.5333333333333333,nan,nan
-10,-5,deep_plus_surface,case_weighted_within_scenario,68,1,0.7328630187974149,0.8800973997225063,1.8831333762925377,80.67209848680008,82.3208074267461,21.227379632455524,15.99102999649931,0.6814560179826791,15.575084817495751,25.66176470588235,80.67209848680008,82.3208074267461,21.227379632455524,15.99102999649931,0.38235294117647056,nan,nan
-10,-5,deep_plus_two_surface,case_weighted_within_scenario,34,1,0.7014657400428529,0.7528927630704092,1.9010552187538834,54.89655276049609,61.032125929186975,21.906869385474636,17.89025634087216,0.7187477825317435,17.110744034375905,26.823529411764707,54.89655276049609,61.032125929186975,21.906869385474636,17.89025634087216,0.4117647058823529,nan,nan
-10,-5,surface_only,case_weighted_within_scenario,68,1,0.8410148728895639,0.8850896403162893,1.8544959217521597,80.54380237154258,82.33007007277824,nan,nan,0.7038871791311113,nan,28.073529411764707,80.54380237154258,82.33007007277824,nan,nan,nan,0.0,nan
-10,0,deep_only,case_weighted_within_scenario,15,1,0.7806666666666667,0.9994763933262336,1.5509055986767504,nan,nan,14.221106003926002,8.985805938598697,0.8363535096822166,8.985805938598697,22.066666666666666,nan,nan,14.221106003926002,8.985805938598697,0.7333333333333333,nan,nan
-10,0,deep_plus_surface,case_weighted_within_scenario,68,1,0.759262442524468,0.9135659341941146,1.7971104053321105,79.01166692051169,75.9214490401504,20.988071845653536,16.40364378740134,0.7041372033616459,16.368927906434866,27.485294117647058,79.01166692051169,75.9214490401504,20.988071845653536,16.40364378740134,0.3382352941176471,nan,nan
