metric,metric_label,direction,method,n_snr_pairs,mean,sd_across_snr_pairs,median,q25,q75,min,max,bootstrap_mean_ci_low,bootstrap_mean_ci_high
auc_tie_corrected,An_auc,higher,OASTER V19,49,0.9689974211605492,0.007518925346305643,0.9693970854276344,0.9643611862842325,0.974441203676147,0.9551368395072867,0.9827812757410788,0.9668910386904003,0.9710672919497856
auc_tie_corrected,An_auc,higher,SISSES,49,0.9653203999035044,0.03591004809848259,0.9784500803676237,0.960813936363318,0.9881449215631053,0.8346019254498238,0.9944300964322805,0.9546882855666534,0.9745417213059648
auc_tie_corrected,An_auc,higher,MNE,49,0.9187962267374558,0.04162080731236799,0.9333441367682362,0.9101485753983287,0.9460980372597805,0.7795239942559453,0.9551417722726769,0.9067052266673902,0.9297988388168607
auc_tie_corrected,An_auc,higher,dSPM,49,0.9358162500946658,0.015483019458070945,0.9404530231119321,0.9317822395622246,0.9447778726896083,0.8671365914382387,0.9510643627283624,0.9311295297489037,0.9397987100836203
auc_tie_corrected,An_auc,higher,sLORETA,49,0.9192949851121558,0.036056812534656146,0.9320322730422927,0.9127720439315025,0.9416039564932784,0.7867301433693406,0.949174778976968,0.9085209217552005,0.9285132172124396
auc_tie_corrected,An_auc,higher,eLORETA,49,0.9324456226593362,0.034161294904779364,0.9451435724617693,0.9344437039538718,0.9509250546203167,0.7937333895201053,0.9558475155672609,0.922123015111172,0.9411158244289732
auc_tie_corrected,An_auc,higher,LCMV,49,0.758175145042155,0.006272257599651304,0.7601432947213853,0.7579543164645409,0.761798144698681,0.7305669849116181,0.7633234404110222,0.7562931792919327,0.7597538093848574
auc_tie_corrected,An_auc,higher,Dipole fitting (grid),49,0.6429165771965202,0.003545062888423441,0.6429895214009851,0.6417492026790806,0.6449175199955822,0.623942642781411,0.6466350040349159,0.6418388223058087,0.6437888918568019
auc_tie_corrected,An_auc,higher,RAP-MUSIC,49,0.6494040965591802,0.0045855365022150815,0.6501756799894698,0.6473950101486446,0.6529500286009657,0.6306689295496757,0.65497542249617,0.6480655320085414,0.6506125550548906
auc,Parcel AUC,higher,OASTER V19,49,0.9281813802530532,0.014080444754258042,0.9315728197073117,0.918284767915553,0.9371814668667263,0.9024999540893575,0.9521575857826132,0.9242367236563012,0.9320203322452976
auc,Parcel AUC,higher,SISSES,49,0.8593657954815677,0.052724138230355606,0.8775364229471554,0.8451912302549254,0.8914619879064671,0.6863849913487431,0.9144302569300311,0.844380689693033,0.8730919678069465
auc,Parcel AUC,higher,MNE,49,0.896614671239181,0.037740822361769635,0.9125210594365291,0.8852266350622994,0.9220379272604458,0.7759124285341398,0.9332822631148314,0.8858237363998229,0.9065123372712078
auc,Parcel AUC,higher,dSPM,49,0.8968937826595047,0.02342646341582066,0.9050363389867131,0.8871672682710179,0.9125594613236034,0.7970581053718032,0.9192736484800185,0.890047042409744,0.9028866494508135
auc,Parcel AUC,higher,sLORETA,49,0.9012834095504546,0.02427430758380695,0.9096258950823876,0.8976486479278003,0.9162509973669235,0.8128532766218443,0.9224853287599746,0.8940621522516567,0.9075636225266512
auc,Parcel AUC,higher,eLORETA,49,0.9167446322031418,0.023979216642857983,0.9256454375429963,0.9152513771175964,0.9307263644181951,0.8154592881077254,0.9339610384529233,0.9093858519739493,0.9227269822895251
auc,Parcel AUC,higher,LCMV,49,0.8048315206819298,0.01425473992100336,0.8093291734663479,0.7995736703106426,0.8159321283913026,0.7615351614397333,0.8191771391339765,0.8007435377521743,0.8085575578154028
auc,Parcel AUC,higher,Dipole fitting (grid),49,0.6625084813445238,0.012138795268879645,0.6661562106300423,0.6573462367417877,0.6702690709657027,0.6208918164756551,0.6765400795144804,0.6589742987209183,0.6656948211894163
auc,Parcel AUC,higher,RAP-MUSIC,49,0.6923130261311518,0.024492590459825516,0.703499281103255,0.6829756682620601,0.709109468109442,0.6280107839649225,0.7125795748347094,0.6852494223407901,0.6988515249327637
rmse,Squared relative error (historical RMSE field),lower,OASTER V19,49,0.6734688199533594,0.05995144167941645,0.6641900606805781,0.6237926686802873,0.716184245923457,0.5751574862642461,0.7829661684335998,0.6567124758842566,0.6903815494796373
rmse,Squared relative error (historical RMSE field),lower,SISSES,49,1.2524151019806506,0.33513663255436105,1.1294186157365187,0.9865178920443086,1.546222787686621,0.8534177550549171,1.9303292502955944,1.161167382370862,1.346787374358904
rmse,Squared relative error (historical RMSE field),lower,MNE,49,1.805369492511184,0.06986263547658308,1.7956848823357738,1.755200473026823,1.8604415881955965,1.6858826891070011,1.9505911741946889,1.786540321200631,1.8251020537788474
