metric,metric_label,method,mean_rank_1_is_best
auc_tie_corrected,An_auc,OASTER V19,1.6122448979591837
auc_tie_corrected,An_auc,SISSES,1.510204081632653
auc_tie_corrected,An_auc,MNE,5.0
auc_tie_corrected,An_auc,dSPM,4.204081632653061
auc_tie_corrected,An_auc,sLORETA,5.3061224489795915
auc_tie_corrected,An_auc,eLORETA,3.36734693877551
auc_tie_corrected,An_auc,LCMV,7.0
auc_tie_corrected,An_auc,Dipole fitting (grid),8.979591836734693
auc_tie_corrected,An_auc,RAP-MUSIC,8.020408163265307
auc,Parcel AUC,OASTER V19,1.469387755102041
auc,Parcel AUC,SISSES,6.061224489795919
auc,Parcel AUC,MNE,3.693877551020408
auc,Parcel AUC,dSPM,4.183673469387755
auc,Parcel AUC,sLORETA,3.877551020408163
auc,Parcel AUC,eLORETA,1.836734693877551
auc,Parcel AUC,LCMV,6.877551020408164
auc,Parcel AUC,Dipole fitting (grid),8.979591836734693
auc,Parcel AUC,RAP-MUSIC,8.020408163265307
rmse,Squared relative error (historical RMSE field),OASTER V19,1.0
rmse,Squared relative error (historical RMSE field),SISSES,2.938775510204082
rmse,Squared relative error (historical RMSE field),MNE,5.530612244897959
rmse,Squared relative error (historical RMSE field),dSPM,7.918367346938775
rmse,Squared relative error (historical RMSE field),sLORETA,7.489795918367347
rmse,Squared relative error (historical RMSE field),eLORETA,6.183673469387755
rmse,Squared relative error (historical RMSE field),LCMV,7.877551020408164
rmse,Squared relative error (historical RMSE field),Dipole fitting (grid),3.5510204081632653
rmse,Squared relative error (historical RMSE field),RAP-MUSIC,2.510204081632653
surface_sd_mm_penalized,Surface penalized SD (mm),OASTER V19,1.3061224489795917
surface_sd_mm_penalized,Surface penalized SD (mm),SISSES,6.408163265306122
surface_sd_mm_penalized,Surface penalized SD (mm),MNE,6.8979591836734695
surface_sd_mm_penalized,Surface penalized SD (mm),dSPM,5.163265306122449
surface_sd_mm_penalized,Surface penalized SD (mm),sLORETA,6.836734693877551
surface_sd_mm_penalized,Surface penalized SD (mm),eLORETA,5.551020408163265
surface_sd_mm_penalized,Surface penalized SD (mm),LCMV,8.142857142857142
surface_sd_mm_penalized,Surface penalized SD (mm),Dipole fitting (grid),2.979591836734694
surface_sd_mm_penalized,Surface penalized SD (mm),RAP-MUSIC,1.7142857142857142
surface_dle_mm_penalized,Surface penalized DLE (mm),OASTER V19,1.489795918367347
surface_dle_mm_penalized,Surface penalized DLE (mm),SISSES,7.571428571428571
surface_dle_mm_penalized,Surface penalized DLE (mm),MNE,7.1020408163265305
surface_dle_mm_penalized,Surface penalized DLE (mm),dSPM,5.571428571428571
surface_dle_mm_penalized,Surface penalized DLE (mm),sLORETA,6.163265306122449
surface_dle_mm_penalized,Surface penalized DLE (mm),eLORETA,3.5510204081632653
