metric,metric_label,direction,baseline,n_snr_pairs,oaster_mean,baseline_mean,mean_oriented_difference,median_oriented_difference,bootstrap_difference_ci_low,bootstrap_difference_ci_high,oaster_wins,ties,oaster_losses,win_rate_excluding_ties,common_language_win_probability,wilcoxon_p_value,holm_p_value_within_metric,paired_rank_biserial
auc_tie_corrected,An_auc,positive difference favors OASTER,SISSES,49,0.9689974211605492,0.9653203999035044,0.003677021257044805,-0.01266217973730066,-0.00567825977297238,0.014322442734545093,19,0,30,0.3877551020408163,0.3877551020408163,0.337686529201072,0.337686529201072,-0.15918367346938775
auc_tie_corrected,An_auc,positive difference favors OASTER,MNE,49,0.9689974211605492,0.9187962267374558,0.05020119442309361,0.03416331007707207,0.039244388331055015,0.0620927553100907,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,dSPM,49,0.9689974211605492,0.9358162500946658,0.03318117106588332,0.032421932149103494,0.028992282770420298,0.037869496963870715,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,sLORETA,49,0.9689974211605492,0.9192949851121558,0.0497024360483936,0.03451937702579999,0.040845241933833334,0.060061001579903114,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,eLORETA,49,0.9689974211605492,0.9324456226593362,0.036551798501213005,0.026561592850967153,0.027922797436741205,0.046895675369477335,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,LCMV,49,0.9689974211605492,0.758175145042155,0.2108222761183942,0.21144889642540143,0.20804110151294888,0.21364259616520317,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,Dipole fitting (grid),49,0.9689974211605492,0.6429165771965202,0.32608084396402914,0.32720557975374687,0.32395384825041806,0.32815434022266904,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc_tie_corrected,An_auc,positive difference favors OASTER,RAP-MUSIC,49,0.9689974211605492,0.6494040965591802,0.31959332460136913,0.3205226831396175,0.3173160347152224,0.32192795653859946,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,SISSES,49,0.9281813802530532,0.8593657954815677,0.06881558477148557,0.04889296451488234,0.056119766727466706,0.08193130549549954,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,MNE,49,0.9281813802530532,0.896614671239181,0.03156670901387211,0.023327272767626694,0.022974817097950753,0.04069219755947199,43,0,6,0.8775510204081632,0.8775510204081632,3.537437009981659e-11,7.074874019963318e-11,0.9330612244897959
auc,Parcel AUC,positive difference favors OASTER,dSPM,49,0.9281813802530532,0.8968937826595047,0.03128759759354844,0.03573576553212632,0.02538545296183236,0.03742941089816768,46,0,3,0.9387755102040817,0.9387755102040817,1.9539925233402755e-13,5.861977570020827e-13,0.9820408163265306
auc,Parcel AUC,positive difference favors OASTER,sLORETA,49,0.9281813802530532,0.9012834095504546,0.026897970702598438,0.024284134848210348,0.022415745333108337,0.03212931944043402,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,eLORETA,49,0.9281813802530532,0.9167446322031418,0.011436748049911374,0.00969797036601383,0.005969665583104711,0.01754457864153183,35,0,14,0.7142857142857143,0.7142857142857143,0.00028568647289262117,0.00028568647289262117,0.5771428571428572
auc,Parcel AUC,positive difference favors OASTER,LCMV,49,0.9281813802530532,0.8048315206819298,0.12334985957112315,0.12344359747773193,0.1202845453054791,0.1264326705447999,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
auc,Parcel AUC,positive difference favors OASTER,Dipole fitting (grid),49,0.9281813802530532,0.6625084813445238,0.2656728989085293,0.26745634691030695,0.2618277611203625,0.2692275869271638,49,0,0,1.0,1.0,3.552713678800501e-15,2.842170943040401e-14,1.0
