metric,metric_label,n_snr_pairs,method_count,friedman_chi_square,degrees_of_freedom,p_value,kendalls_w,holm_p_value_across_metrics
auc_tie_corrected,An_auc,49,9,365.92108843537403,8,3.608333616125766e-74,0.9334721643759541,2.8866668929006126e-73
auc,Parcel AUC,49,9,364.0054421768707,8,9.25727094977711e-74,0.9285853116756906,6.480089664843977e-73
rmse,Squared relative error (historical RMSE field),49,9,347.74421768707475,8,2.7438207103169868e-70,0.8871025961404968,1.646292426190192e-69
surface_sd_mm_penalized,Surface penalized SD (mm),49,9,311.5700680272107,8,1.4165605818309108e-62,0.7948216021102315,4.249681745492732e-62
surface_dle_mm_penalized,Surface penalized DLE (mm),49,9,339.42857142857133,8,1.6320198542168946e-68,0.8658892128279881,8.160099271084472e-68
deep_sd_mm_penalized,Deep penalized SD (mm),49,9,379.59183673469374,8,4.327846693280629e-77,0.968346522282382,4.3278466932806286e-76
deep_dle_mm_penalized,Deep penalized DLE (mm),49,9,369.2136054421767,8,7.144183956560447e-75,0.9418714424545324,6.429765560904402e-74
deep_sensitivity,Deep sensitivity,49,9,269.1466530403677,8,1.4927587161835294e-53,0.6865986046948156,1.4927587161835294e-53
deep_specificity,Deep specificity,49,9,305.21884057971005,8,3.189544270599698e-61,0.7786194912747705,6.379088541199396e-61
deep_balanced_accuracy,Deep balanced accuracy,49,9,335.3261868300152,8,1.2240484924444383e-67,0.8554239459949368,4.896193969777753e-67
