metric,metric_label,baseline,eeg_snr_db,meg_snr_db,oaster_value,baseline_value,oriented_difference_positive_favors_oaster,outcome
auc_tie_corrected,An_auc,SISSES,-10,-10,0.966418393692667,0.8346019254498238,0.1318164682428432,win
auc_tie_corrected,An_auc,SISSES,-10,-5,0.9609055251466245,0.8793269262831587,0.08157859886346586,win
auc_tie_corrected,An_auc,SISSES,-10,0,0.9616233689343496,0.9226228162096876,0.039000552724662074,win
auc_tie_corrected,An_auc,SISSES,-10,5,0.955369519992614,0.9463129084401308,0.009056611552483163,win
auc_tie_corrected,An_auc,SISSES,-10,10,0.9560313051165774,0.9719240177793638,-0.015892712662786357,loss
auc_tie_corrected,An_auc,SISSES,-10,15,0.9559655662396762,0.9728555895669045,-0.016890023327228332,loss
auc_tie_corrected,An_auc,SISSES,-10,20,0.9551368395072867,0.9771854404247856,-0.02204860091749894,loss
auc_tie_corrected,An_auc,SISSES,-5,-10,0.9694490638584193,0.8569964849999717,0.11245257885844762,win
auc_tie_corrected,An_auc,SISSES,-5,-5,0.9707949115984988,0.9082779563436791,0.0625169552548197,win
auc_tie_corrected,An_auc,SISSES,-5,0,0.9701572075827777,0.9423139826808351,0.027843224901942576,win
auc_tie_corrected,An_auc,SISSES,-5,5,0.9643611862842325,0.960813936363318,0.003547249920914486,win
auc_tie_corrected,An_auc,SISSES,-5,10,0.9600162572875274,0.9778443432542435,-0.017828085966716145,loss
auc_tie_corrected,An_auc,SISSES,-5,15,0.9620391208010692,0.9812130840118071,-0.019173963210737832,loss
auc_tie_corrected,An_auc,SISSES,-5,20,0.9558985641940829,0.9784500803676237,-0.022551516173540787,loss
auc_tie_corrected,An_auc,SISSES,0,-10,0.9714652885564108,0.9046243627205499,0.06684092583586088,win
auc_tie_corrected,An_auc,SISSES,0,-5,0.9786225137999071,0.930556509893594,0.048066003906313104,win
auc_tie_corrected,An_auc,SISSES,0,0,0.9730742153561448,0.9570430888105091,0.016031126545635654,win
auc_tie_corrected,An_auc,SISSES,0,5,0.9724575100801544,0.9724387847933762,1.8725286778153993e-05,win
auc_tie_corrected,An_auc,SISSES,0,10,0.9663900507367749,0.9795752727239361,-0.01318522198716121,loss
auc_tie_corrected,An_auc,SISSES,0,15,0.9618726236019073,0.9842614234792268,-0.022388799877319565,loss
auc_tie_corrected,An_auc,SISSES,0,20,0.9574695324947682,0.9833266383224412,-0.025857105827672977,loss
auc_tie_corrected,An_auc,SISSES,5,-10,0.9720267684549251,0.9324828678026346,0.03954390065229052,win
auc_tie_corrected,An_auc,SISSES,5,-5,0.9758174269322173,0.9491901519560262,0.026627274976191107,win
auc_tie_corrected,An_auc,SISSES,5,0,0.9770801767733162,0.9625239498874821,0.014556226885834023,win
auc_tie_corrected,An_auc,SISSES,5,5,0.9744125489097935,0.9740558488404969,0.00035670006929655607,win
auc_tie_corrected,An_auc,SISSES,5,10,0.9697400582479868,0.9858456852576503,-0.016105627009663448,loss
auc_tie_corrected,An_auc,SISSES,5,15,0.9643694261224045,0.9881449215631053,-0.02377549544070079,loss
auc_tie_corrected,An_auc,SISSES,5,20,0.9633911523737921,0.9855246366454647,-0.02213348427167261,loss
auc_tie_corrected,An_auc,SISSES,10,-10,0.967003089126867,0.964073890958258,0.0029291981686090374,win
auc_tie_corrected,An_auc,SISSES,10,-5,0.9740202589816831,0.9685913119741623,0.005428947007520835,win
auc_tie_corrected,An_auc,SISSES,10,0,0.9755767990670356,0.975061459275578,0.0005153397914576807,win
auc_tie_corrected,An_auc,SISSES,10,5,0.9816150219014919,0.987415023659554,-0.005800001758062168,loss
auc_tie_corrected,An_auc,SISSES,10,10,0.9745960653967717,0.9899991275772873,-0.01540306218051557,loss
