method,scenario,cases,dle_mm,surface_dle_mm,deep_dle_mm,surface_support_centroid_dle_mm,deep_support_centroid_dle_mm,surface_energy_centroid_dle_mm,deep_energy_centroid_dle_mm,surface_hit_rate_10mm,deep_hit_rate_10mm
SISSES_0.10,all,21,21.484165740791248,10.954579628365146,13.57508671585066,3.59458812824309,0.0,3.1313621748769718,2.913705788614459e-16,1.0,0.4
SISSES_0.10,deep,5,9.656854303537576,nan,9.656854303537576,nan,0.0,nan,3.4964469463373513e-16,nan,1.0
SISSES_0.10,surface,6,12.781316006824865,12.781316006824865,nan,3.3581546041740804,nan,2.956904187332382,nan,1.0,nan
SISSES_0.10,mixed,6,35.16125038300748,8.580872195826926,33.166248777416065,3.5331687759724084,0.0,2.7786782054843475,0.0,1.0,0.16666666666666666
SISSES_0.10,mixed2,4,28.806952674983545,11.775036209482895,nan,4.041367442752624,nan,3.922075110282793,nan,1.0,0.0
V11_compact_refined,all,21,4.317327036135827,7.791816078328021,0.66666662662357,1.9407739242560547,0.66666662662357,2.123426069965908,0.6666666266235706,1.0,1.0
V11_compact_refined,deep,5,0.0,nan,0.0,nan,0.0,nan,1.0408340855860843e-15,nan,1.0
V11_compact_refined,surface,6,6.153040090858496,6.153040090858496,nan,1.4296183385300851,nan,1.6851583154613827,nan,1.0,nan
V11_compact_refined,mixed,6,5.710791762299603,9.754916958040283,1.666666566558925,2.0243088854156075,1.666666566558925,2.009689260652996,1.6666665665589253,1.0,1.0
V11_compact_refined,mixed2,4,4.870219159975946,7.305328739963919,0.0,2.582204861105681,0.0,2.951432915692064,4.3368086899420177e-16,1.0,1.0
V11_range,all,21,5.4998266393888695,7.791816078328021,4.828427110770524,1.39490178037137,4.161760484146955,1.469880863729058,4.161760484146955,1.0,0.7333333333333333
V11_range,deep,5,0.0,nan,0.0,nan,0.0,nan,0.0,nan,1.0
V11_range,surface,6,6.153040090858496,6.153040090858496,nan,0.9999924918475229,nan,1.0204652140016082,nan,1.0,nan
V11_range,mixed,6,7.722636386089152,9.754916958040283,5.69035581413802,1.9722969305958002,4.023689247579096,1.8060729744965023,4.023689247579099,1.0,0.8333333333333334
V11_range,mixed2,4,8.060575141370089,7.305328739963919,9.571067944182435,1.121172987820496,9.571067944182435,1.6397161721690667,9.571067944182435,1.0,0.25
V9b_balanced,all,21,5.427742150800376,7.542842727322388,4.828427110770524,1.7920781738514469,4.161760484146955,1.564832129357772,4.161760484146955,1.0,0.7333333333333333
V9b_balanced,deep,5,0.0,nan,0.0,nan,0.0,nan,0.0,nan,1.0
V9b_balanced,surface,6,5.84945154380443,5.84945154380443,nan,1.5299004243434087,nan,1.0865831160617005,nan,1.0,nan
V9b_balanced,mixed,6,6.848077097184223,8.005798380230424,5.69035581413802,1.9891682837379114,4.023689247579096,1.8134967078898072,4.023689247579097,1.0,0.8333333333333334
V9b_balanced,mixed2,4,9.449353330218994,9.388496023237272,9.571067944182435,1.889709633283807,9.571067944182435,1.9092087815038268,9.571067944182435,1.0,0.25
