case_id,scenario,method,auc,rmse,surface_sd_mm,deep_sd_mm,dle_mm,active_count,deep_grid,eeg_drop,meg_drop
deep_00,deep,SISSES_0.10,1.0,1.2016114517412533,nan,0.0,0.0,47,coarse,nan,nan
deep_00,deep,V9b_balanced,1.0,0.540239691891316,nan,0.0,0.0,12,coarse,nan,nan
deep_00,deep,V11_range,1.0,0.5378135750515257,nan,0.0,0.0,12,coarse,nan,nan
deep_00,deep,V11_compact_refined,1.0,0.0485490115995462,nan,0.0,0.0,1,coarse,0.2947697988988305,0.32858180109965884
deep_01,deep,SISSES_0.10,1.0,1.4453224735737287,nan,0.0,14.142136031724077,64,coarse,nan,nan
deep_01,deep,V9b_balanced,1.0,0.32550942235244396,nan,0.0,0.0,6,coarse,nan,nan
deep_01,deep,V11_range,1.0,0.3253756612716931,nan,0.0,0.0,6,coarse,nan,nan
deep_01,deep,V11_compact_refined,1.0,0.04508843617411289,nan,0.0,0.0,1,coarse,0.4498102173026176,0.3216266612202384
deep_02,deep,SISSES_0.10,1.0,2.074120144800708,nan,0.0,10.000000548548492,76,coarse,nan,nan
deep_02,deep,V9b_balanced,1.0,0.6333419407504621,nan,0.0,0.0,6,coarse,nan,nan
deep_02,deep,V11_range,1.0,0.6299088393484682,nan,0.0,0.0,6,coarse,nan,nan
deep_02,deep,V11_compact_refined,1.0,0.09656954794589562,nan,0.0,0.0,1,coarse,0.4030752787906574,0.19816828388441166
deep_03,deep,SISSES_0.10,0.99,1.5257819980089216,nan,0.0,9.99999939935355,99,coarse,nan,nan
deep_03,deep,V9b_balanced,1.0,0.7003405368220798,nan,0.0,0.0,13,coarse,nan,nan
deep_03,deep,V11_range,1.0,0.6399103802810561,nan,0.0,0.0,13,coarse,nan,nan
deep_03,deep,V11_compact_refined,1.0,0.07204163375435188,nan,0.0,0.0,1,coarse,0.41683866997872876,0.17416662800571858
deep_04,deep,SISSES_0.10,0.99,1.4944361120547953,nan,0.0,14.142135538061767,81,coarse,nan,nan
deep_04,deep,V9b_balanced,1.0,0.43742606246616633,nan,0.0,0.0,10,coarse,nan,nan
deep_04,deep,V11_range,1.0,0.43205822662311855,nan,0.0,0.0,10,coarse,nan,nan
deep_04,deep,V11_compact_refined,1.0,0.06017188791358911,nan,0.0,0.0,1,coarse,0.27362126194528624,0.32741498057857377
mixed2_00,mixed2,SISSES_0.10,0.5858940972222224,0.6780509655596346,2.6555505449341394,67.5301610215274,24.49199098363558,69,coarse,nan,nan
mixed2_00,mixed2,V9b_balanced,0.6665740740740741,0.13673372871313963,1.3336020331091327,14.142135142060221,9.32109759777317,67,coarse,nan,nan
mixed2_00,mixed2,V11_range,0.6666203703703704,0.1765851814759058,1.3420126497346212,14.142135142060221,8.940138777529823,66,coarse,nan,nan
mixed2_00,mixed2,V11_compact_refined,0.9276620370370371,0.24382391475877402,0.5390920930835532,0.0,4.2260937301764185,40,coarse,0.3329261781751126,0.30540657178469666
mixed2_01,mixed2,SISSES_0.10,0.6405439814814816,0.8072413550253045,6.269517651837811,72.68280419730111,29.550748806067475,143,coarse,nan,nan
mixed2_01,mixed2,V9b_balanced,0.6435850694444446,0.5135434832819695,3.2680617914303243,14.14213608612103,12.594530138864794,80,coarse,nan,nan
mixed2_01,mixed2,V11_range,0.6443344907407408,0.47043756098818496,2.3296532007947715,14.14213608612103,11.271731832502798,74,coarse,nan,nan
